source_term	target_id	target_label	source_authority	search_method	justification	citation	curator	date_added	priority_level	notes
(+)-d-glucosamine	CHEBI:5417	D-glucosamine	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:5417	original curator	pre-2026	Original	Amino sugar
(+)-l-glutamate	CHEBI:29985	L-glutamate	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29985	original curator	pre-2026	Original	Amino acid anion
(+)-l-lyxitol	CHEBI:25064	L-lyxitol	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:25064	original curator	pre-2026	Original	Sugar alcohol
(2)-d-fructose	CHEBI:15824	D-fructose	ChEBI	ChEBI web search	Typo in stereochemistry notation	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15824	original curator	pre-2026	Original	Same as (-)-D-fructose above
(-)-d-rhamnose	CHEBI:16988	L-rhamnose	ChEBI	ChEBI web search	Stereochemistry inversion (D-rhamnose → L-rhamnose)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16988	original curator	pre-2026	Original	Optical isomer correction
aconitate	CHEBI:32805	cis-aconitate	ChEBI	ChEBI web search	Cis isomer is most common in biology (TCA cycle)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32805	original curator	pre-2026	Original	TCA cycle intermediate
maltose hydrate	CHEBI:17306	maltose	ChEBI	ChEBI web search	Remove hydrate suffix	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17306	original curator	pre-2026	Original	Disaccharide
3-dehydro-d-gluconate	CHEBI:29042	3-dehydro-D-gluconate	ChEBI	ChEBI web search	Add D- prefix for biological form	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29042	original curator	pre-2026	Original	Glucose oxidation product
glycerol 3-phosphate	CHEBI:15978	sn-glycerol 3-phosphate	ChEBI	ChEBI web search	Add stereochemistry prefix	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15978	original curator	pre-2026	Original	Glycerol phosphate derivative
D-saccharate	CHEBI:16659	D-saccharate	ChEBI	ChEBI web search	Exact match in ChEBI database	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16659	marcin p. joachimiak	2026-04-07	Priority 2	Oxidized form of D-galactose
2,3-butanone	CHEBI:16583	butane-2,3-dione	ChEBI	ChEBI web search	Systematic name for diacetyl	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16583	marcin p. joachimiak	2026-04-07	Priority 2	Diacetyl (butter flavor compound)
L-tartrate	CHEBI:30956	L-tartrate(1-)	ChEBI	ChEBI web search	Use tartrate anion form	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30956	marcin p. joachimiak	2026-04-07	Priority 2	Tartaric acid anion
coumarate	CHEBI:32374	4-coumarate	ChEBI	ChEBI web search	Para isomer (position 4) is most common	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32374	marcin p. joachimiak	2026-04-07	Priority 2	Hydroxycinnamic acid derivative
3-coumarate	CHEBI:18392	3-coumarate	ChEBI	ChEBI web search	Meta isomer (position 3)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18392	marcin p. joachimiak	2026-04-07	Priority 2	Hydroxycinnamic acid derivative
D-sorbose	CHEBI:17266	D-sorbose	ChEBI	ChEBI web search	Exact match in ChEBI database	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17266	marcin p. joachimiak	2026-04-07	Priority 2	Ketohexose sugar
(-)-D-sorbitol	CHEBI:17924	D-glucitol	ChEBI	ChEBI web search	Sorbitol = glucitol (IUPAC name)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17924	marcin p. joachimiak	2026-04-07	Priority 2	Sugar alcohol (glucose reduction product)
3-nitropropanoate	CHEBI:77041	3-nitropropanoic acid	ChEBI	ChEBI web search	Add acid suffix for ChEBI match	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77041	marcin p. joachimiak	2026-04-07	Priority 2	Fungal toxin, mitochondrial inhibitor
3-hydroxy 2-butanone	CHEBI:15688	acetoin	ChEBI	ChEBI web search	Common name is acetoin	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15688	marcin p. joachimiak	2026-04-07	Priority 2	Butanediol fermentation intermediate
5-aminovalerate	CHEBI:17431	5-aminopentanoate	ChEBI	ChEBI web search	IUPAC systematic name (pentanoate)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17431	marcin p. joachimiak	2026-04-07	Priority 2	Lysine degradation product
glycine-proline	CHEBI:73390	Gly-Pro	ChEBI	ChEBI web search	Standard dipeptide abbreviation	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73390	marcin p. joachimiak	2026-04-07	Priority 2	Dipeptide
glycyl L-aspartic acid	CHEBI:73394	Gly-Asp	ChEBI	ChEBI web search	Standard dipeptide abbreviation	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73394	marcin p. joachimiak	2026-04-07	Priority 2	Dipeptide
potassium 5-dehydro-D-gluconate	CHEBI:17659	5-dehydro-D-gluconate	ChEBI	ChEBI web search	Strip potassium salt prefix (anionic form)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17659	marcin p. joachimiak	2026-04-07	Priority 2	Glucose oxidation product
3-O-methylgallate	CHEBI:68483	3-O-methylgallic acid	ChEBI	ChEBI web search	Add acid suffix for ChEBI match	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68483	marcin p. joachimiak	2026-04-07	Priority 2	Methylated gallic acid derivative
4,4-dihydroxy-biphenyl	CHEBI:34283	4,4'-dihydroxybiphenyl	ChEBI	ChEBI web search	Add prime notation for symmetry	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34283	marcin p. joachimiak	2026-04-07	Priority 2	Biphenyl derivative
alpha-hydroxyglutarate-gamma-lactone	CHEBI:90836	(2S)-2-hydroxyglutarate gamma-lactone	ChEBI	ChEBI web search	Use systematic numbering (alpha = position 2)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:90836	marcin p. joachimiak	2026-04-07	Priority 2	Hydroxyglutarate lactone
casein hydrolysate	CHEBI:80130	casein	ChEBI	ChEBI web search	Hydrolysate product maps to parent protein	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:80130	marcin p. joachimiak	2026-04-07	Priority 2	Milk protein mixture
1,4-propandiol	CHEBI:16277	propane-1,3-diol	ChEBI	ChEBI web search + data validation	Likely typo in source data (1,4 impossible for C3)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16277	marcin p. joachimiak	2026-04-07	Priority 2	1,3-propanediol (correct form)
2,4-butanediol	CHEBI:16982	butane-2,3-diol	ChEBI	ChEBI web search + data validation	Likely typo in source data (corrected to 2,3)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16982	marcin p. joachimiak	2026-04-07	Priority 2	Butanediol isomer
fluorescein	CHEBI:31624	fluorescein	ChEBI	ChEBI web search	Exact match in ChEBI database	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31624	marcin p. joachimiak	2026-04-07	Priority 3	Fluorescent dye, pH indicator
actinomycin X	CHEBI:27666	actinomycin D	ChEBI	ChEBI web search + literature	Map variant X to representative D (most studied)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27666	marcin p. joachimiak	2026-04-07	Priority 3	Peptide antibiotic (DNA intercalator)
actinomycin B	CHEBI:27666	actinomycin D	ChEBI	ChEBI web search + literature	Map variant B to representative D (same mechanism)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27666	marcin p. joachimiak	2026-04-07	Priority 3	Peptide antibiotic (DNA intercalator)
carbomycin	CHEBI:3393	carbomycin A	ChEBI	ChEBI web search	Exact match for carbomycin A in ChEBI	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:3393	marcin p. joachimiak	2026-04-07	Priority 3	Macrolide antibiotic
cephamycin B	CHEBI:28792	cephamycin B	ChEBI	ChEBI web search	Exact match in ChEBI database	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28792	marcin p. joachimiak	2026-04-07	Priority 3	Beta-lactam antibiotic (cephalosporin)
bottromycin	CHEBI:80108	bottromycin A2	ChEBI	ChEBI web search	Map to A2 variant (representative)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:80108	marcin p. joachimiak	2026-04-07	Priority 3	Thiazole antibiotic
poly(L-lysine) polymer	CHEBI:46850	poly-L-lysine	ChEBI	ChEBI web search	Standard polymer notation	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:46850	marcin p. joachimiak	2026-04-07	Priority 3	Polycationic polypeptide
phenazines	CHEBI:37766	phenazine	ChEBI	ChEBI web search	Map plural to parent class term	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37766	marcin p. joachimiak	2026-04-07	Priority 3	Heterocyclic compound class
demecycline	CHEBI:4387	demeclocycline	ChEBI	ChEBI web search	Demecycline = demeclocycline	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4387	marcin p. joachimiak	2026-04-07	Priority 3	Tetracycline antibiotic
tetrabromopyrrole	CHEBI:75259	tetrabromopyrrole	ChEBI	ChEBI web search	Exact match in ChEBI database	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75259	marcin p. joachimiak	2026-04-07	Priority 3	Halogenated pyrrole antimicrobial
streptovaricin	CHEBI:9677	streptovaricin A	ChEBI	ChEBI web search	Map to A variant (representative)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:9677	marcin p. joachimiak	2026-04-07	Priority 3	Ansamycin antibiotic (RNA polymerase inhibitor)
ristocetin A	CHEBI:8870	ristocetin A	ChEBI	ChEBI web search	Exact match in ChEBI database	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:8870	marcin p. joachimiak	2026-04-07	Priority 3	Glycopeptide antibiotic
netropsin	CHEBI:7524	netropsin	ChEBI	ChEBI web search	Exact match in ChEBI database	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:7524	marcin p. joachimiak	2026-04-07	Priority 3	DNA-binding antibiotic (minor groove)
abyssomicin C	CHEBI:65956	abyssomicin C	ChEBI	ChEBI web search	Exact match in ChEBI database	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65956	marcin p. joachimiak	2026-04-07	Priority 3	Polyketide antibiotic (chorismate pathway)
actinomycin C	CHEBI:27668	actinomycin C3	ChEBI	ChEBI web search	Map to C3 variant in ChEBI	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27668	marcin p. joachimiak	2026-04-07	Priority 3	Peptide antibiotic (actinomycin family)
carbapenem	CHEBI:46633	carbapenem	ChEBI	ChEBI web search	Exact match for antibiotic class	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:46633	marcin p. joachimiak	2026-04-07	Priority 3	Beta-lactam antibiotic class
anthracycline antibiotic	CHEBI:48120	anthracycline	ChEBI	ChEBI web search	Map to parent class term	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:48120	marcin p. joachimiak	2026-04-07	Priority 3	Anticancer/antibiotic compound class
