source_term	target_id	target_label	source_authority	search_method	justification	citation	curator	date_added	priority_level	notes
glycin arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with glycine specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Glycine-specific aminopeptidase
tryptophan deaminase	GO:0004838	tryptophanase activity	Gene Ontology + EC	GO hierarchy + EC:4.1.99.1	Tryptophan deaminase = tryptophanase (produces indole)	http://amigo.geneontology.org/amigo/term/GO:0004838	original curator	pre-2026	Original	EC 4.1.99.1 (tryptophanase)
protease	GO:0008233	peptidase activity	Gene Ontology	GO hierarchy lookup	Protease = peptidase (broad peptide bond hydrolysis)	http://amigo.geneontology.org/amigo/term/GO:0008233	original curator	pre-2026	Original	Broad protease activity
beta-galactopyranosidase	GO:0004565	beta-galactosidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.23	Pyranosidase = galactosidase (pyranose ring form)	http://amigo.geneontology.org/amigo/term/GO:0004565	original curator	pre-2026	Original	Synonym for beta-galactosidase
beta-xylosidase	GO:0009044	xylan 1,4-beta-xylosidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.37	Hydrolyzes beta-1,4-xylosidic linkages in xylans	http://amigo.geneontology.org/amigo/term/GO:0009044	original curator	pre-2026	Original	EC 3.2.1.37 (xylan xylohydrolase)
tween esterase	GO:0016788	hydrolase activity, acting on ester bonds	Gene Ontology	GO hierarchy lookup	Esterase specific for Tween substrates (polysorbates)	http://amigo.geneontology.org/amigo/term/GO:0016788	original curator	pre-2026	Original	Tween = polysorbate esters
phosphatase	GO:0016791	phosphatase activity	Gene Ontology	GO hierarchy lookup	Broad phosphatase activity (hydrolyzes phosphate esters)	http://amigo.geneontology.org/amigo/term/GO:0016791	original curator	pre-2026	Original	Generic phosphatase
alanine aminopeptidase	GO:0070006	aminopeptidase activity	Gene Ontology + EC	GO hierarchy + EC:3.4.11.2	Aminopeptidase with preference for alanine	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	EC 3.4.11.2 (alanyl aminopeptidase)
phenylalanine arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with Phe specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Phenylalanine-specific aminopeptidase
histidine arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with His specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Histidine-specific aminopeptidase
pyrazinamidase (ec3.5.1.b15)	EC:3.5.1.19	nicotinamidase activity	Gene Ontology + EC	EC validation + GO hierarchy	Corrected malformed EC B15 to EC:3.5.1.19	https://enzyme.expasy.org/EC/3.5.1.19	original curator	pre-2026	Original	Nicotinamidase/pyrazinamidase
adenyl cyclase hemolysin	GO:0004016	adenylate cyclase activity	Gene Ontology + UniProt	GO hierarchy + literature	Bifunctional enzyme with adenylate cyclase domain	http://amigo.geneontology.org/amigo/term/GO:0004016	original curator	pre-2026	Original	CyaA toxin (Bordetella pertussis)
nitrogenase	GO:0016163	nitrogenase activity	Gene Ontology + EC	GO hierarchy + EC:1.18.6.1	Nitrogen fixation enzyme (N2 → NH3)	http://amigo.geneontology.org/amigo/term/GO:0016163	original curator	pre-2026	Original	EC 1.18.6.1 (nitrogenase)
beta-n-acetylgalactosaminidase	GO:0004563	beta-N-acetylhexosaminidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.52	Removes N-acetylgalactosamine from glycoconjugates	http://amigo.geneontology.org/amigo/term/GO:0004563	original curator	pre-2026	Original	EC 3.2.1.52 (hexosaminidase)
nife-hydrogenase	GO:0033748	hydrogenase (NiFe) activity	Gene Ontology + EC	GO hierarchy + EC:1.12.99.6	Nickel-iron hydrogenase (H2 oxidation)	http://amigo.geneontology.org/amigo/term/GO:0033748	original curator	pre-2026	Original	EC 1.12.99.6 ([NiFe] hydrogenase)
pyroglutamic acid arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with pyroglutamate specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Pyroglutamate-specific aminopeptidase
alpha-xylosidase	GO:0031222	arabinan endo-1,5-alpha-L-arabinosidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.99	Hydrolyzes alpha-xylosidic linkages	http://amigo.geneontology.org/amigo/term/GO:0031222	original curator	pre-2026	Original	EC 3.2.1.99 (alpha-D-xyloside xylohydrolase)
n-acetyl-glucosidase	GO:0004563	beta-N-acetylhexosaminidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.52	N-acetylglucosaminidase activity	http://amigo.geneontology.org/amigo/term/GO:0004563	original curator	pre-2026	Original	EC 3.2.1.52 (N-acetyl-beta-D-hexosaminidase)
beta-fucosidase	GO:0004560	alpha-L-fucosidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.51	Hydrolyzes fucosidic linkages (alpha-L configuration)	http://amigo.geneontology.org/amigo/term/GO:0004560	original curator	pre-2026	Original	EC 3.2.1.51 (alpha-L-fucosidase)
acc deaminase	GO:0019131	1-aminocyclopropane-1-carboxylate deaminase activity	Gene Ontology + EC	GO hierarchy + EC:3.5.99.7	Degrades ACC (ethylene precursor) to ammonia + alpha-ketobutyrate	http://amigo.geneontology.org/amigo/term/GO:0019131	original curator	pre-2026	Original	EC 3.5.99.7 (ACC deaminase)
peptide synthetase	GO:0016874	ligase activity	Gene Ontology	GO hierarchy lookup	Peptide bond formation enzyme (ligase)	http://amigo.geneontology.org/amigo/term/GO:0016874	original curator	pre-2026	Original	Broad ligase activity (non-ribosomal)
tyrosine arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with tyrosine specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	marcin p. joachimiak	2026-04-07	Priority 2	Tyrosine-specific aminopeptidase
alanine phenylalanin proline arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Multi-substrate arylamidase (Ala, Phe, Pro)	http://amigo.geneontology.org/amigo/term/GO:0070006	marcin p. joachimiak	2026-04-07	Priority 2	Broad specificity aminopeptidase
lipase (Tween 80)	GO:0016788	hydrolase activity, acting on ester bonds	Gene Ontology	GO hierarchy lookup	Lipase tested with Tween 80 substrate (polysorbate 80)	http://amigo.geneontology.org/amigo/term/GO:0016788	marcin p. joachimiak	2026-04-07	Priority 2	Tween 80 = polysorbate ester
phenylalaninase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Phenylalanine-specific aminopeptidase	http://amigo.geneontology.org/amigo/term/GO:0070006	marcin p. joachimiak	2026-04-07	Priority 2	Synonym for phenylalanine arylamidase
skimmed milk protease	GO:0008233	peptidase activity	Gene Ontology	GO hierarchy lookup	Protease tested with skimmed milk substrate (casein)	http://amigo.geneontology.org/amigo/term/GO:0008233	marcin p. joachimiak	2026-04-07	Priority 2	Broad peptidase activity
beta-alanine arylamidase pNA	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Beta-alanine specific arylamidase (pNA = chromogenic)	http://amigo.geneontology.org/amigo/term/GO:0070006	marcin p. joachimiak	2026-04-07	Priority 2	pNA = para-nitroanilide chromogen
deaminases	GO:0019239	deaminase activity	Gene Ontology	GO hierarchy lookup	Broad term for deamination enzymes	http://amigo.geneontology.org/amigo/term/GO:0019239	marcin p. joachimiak	2026-04-07	Priority 2	General deaminase activity
glutamyl arylamidase pNA	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Glutamate-specific arylamidase with pNA chromogen	http://amigo.geneontology.org/amigo/term/GO:0070006	marcin p. joachimiak	2026-04-07	Priority 2	Glutamate-specific aminopeptidase
glu–gly–arg-arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Tripeptide-specific arylamidase (Glu-Gly-Arg)	http://amigo.geneontology.org/amigo/term/GO:0070006	marcin p. joachimiak	2026-04-07	Priority 2	Broad specificity aminopeptidase
lactosidase	GO:0004565	beta-galactosidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.23	Synonym for beta-galactosidase (lactose-specific)	http://amigo.geneontology.org/amigo/term/GO:0004565	marcin p. joachimiak	2026-04-07	Priority 2	EC 3.2.1.23 (beta-galactosidase)
