source_term	target_id	target_label	source_authority	search_method	justification	citation	curator	date_added	priority_level	notes
produces: methane from formate	CHEBI:16183	methane	ChEBI	ChEBI web search	Product is methane; substrate (formate) handled separately	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16183	original curator	pre-2026	Original	Methanogenesis from formate oxidation
produces: DL-lactate	CHEBI:422	(R,S)-lactate	ChEBI	ChEBI web search	Racemic lactate (D+L mixture) fermentation product	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:422	original curator	pre-2026	Original	Mixed stereoisomer lactate
reduction: arsenate detoxification	CHEBI:29242	arsenate	ChEBI	ChEBI web search	Arsenate (As(V)) reduction to arsenite (As(III))	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29242	original curator	pre-2026	Original	Dissimilatory arsenate reduction
reduction: amorphous iron (iii) oxide	CHEBI:82594	iron(III) oxide	ChEBI	ChEBI web search	Fe(III) reduction to Fe(II)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:82594	original curator	pre-2026	Original	Dissimilatory iron reduction
reduction: amorphous fe(iii) oxyhydroxid	CHEBI:82594	iron(III) oxide	ChEBI	ChEBI web search	Variant spelling maps to same iron(III) oxide	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:82594	original curator	pre-2026	Original	Same as above
reduction: glutathione oxidized	CHEBI:17858	glutathione disulfide	ChEBI	ChEBI web search	GSSG (oxidized) reduced to GSH	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17858	original curator	pre-2026	Original	Glutathione redox system
reduction: 3-O-methylgallate	CHEBI:68499	3-O-methylgallic acid	ChEBI	ChEBI web search	Polyphenol reduction	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68499	original curator	pre-2026	Original	Phenolic compound reduction
hydrolysis: 4-nitrophenyl beta-D-galactopyranoside	CHEBI:52701	4-nitrophenyl beta-D-galactopyranoside	ChEBI	ChEBI web search	Beta-galactosidase substrate	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52701	original curator	pre-2026	Original	Chromogenic assay
hydrolysis: casein hydrolysate	CHEBI:17895	casein	ChEBI	ChEBI web search	Hydrolysate product maps to parent protein	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17895	original curator	pre-2026	Original	Caseinase/protease activity
hydrolysis: cationic chitosan	CHEBI:16261	chitosan	ChEBI	ChEBI web search	Cationic (positively charged) chitosan polymer	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16261	original curator	pre-2026	Original	Chitosanase activity
hydrolysis: crab shell chitin	CHEBI:17029	chitin	ChEBI	ChEBI web search	Chitin from crab exoskeleton	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17029	original curator	pre-2026	Original	Chitinase activity
hydrolysis: milk	FOODON:03301422	milk	FOODON	FOODON web search	Lactose or protein hydrolysis	http://purl.obolibrary.org/obo/FOODON_03301422	original curator	pre-2026	Original	Lactase or protease activity
hydrolysis: 4-nitrophenyl-alpha-D-maltopyranoside	CHEBI:87626	4-nitrophenyl alpha-D-maltopyranoside	ChEBI	ChEBI web search	Alpha-glucosidase chromogenic substrate	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87626	original curator	pre-2026	Original	Alpha-glucosidase assay
aerobic catabolization: dihydrogen	CHEBI:29356	dihydrogen	ChEBI	ChEBI web search	H2 oxidation under aerobic conditions	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29356	original curator	pre-2026	Original	Aerobic hydrogen oxidation
aerobic catabolization: acetate	CHEBI:30089	acetate	ChEBI	ChEBI web search	Aerobic acetate oxidation via TCA cycle	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30089	original curator	pre-2026	Original	Oxidative catabolism
anaerobic catabolization: acetate	CHEBI:30089	acetate	ChEBI	ChEBI web search	Anaerobic acetate oxidation	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30089	original curator	pre-2026	Original	Fermentative catabolism
utilizes: 4-nitrophenyl beta-D-galactopyranoside	CHEBI:52701	4-nitrophenyl beta-D-galactopyranoside	ChEBI	ChEBI web search	Generic utilization of chromogenic substrate	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52701	original curator	pre-2026	Original	Beta-galactosidase activity
utilizes: 1,2-propandiol	CHEBI:16240	propane-1,2-diol	ChEBI	ChEBI web search	Propylene glycol utilization	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16240	original curator	pre-2026	Original	Diol metabolism
hydrolysis: urea	CHEBI:16199	urea	ChEBI	ChEBI web search	Urea hydrolysis to ammonia and CO2	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16199	original curator	pre-2026	Original	Urease activity
degradation: gelatin	FOODON:03311170	gelatin	FOODON	FOODON web search	Gelatin degradation; gelatinase activity	http://purl.obolibrary.org/obo/FOODON_03311170	original curator	pre-2026	Original	Collagen-derived protein
hydrolysis: gelatin	FOODON:03311170	gelatin	FOODON	FOODON web search	Gelatin hydrolysis; gelatinase activity	http://purl.obolibrary.org/obo/FOODON_03311170	original curator	pre-2026	Original	Same as degradation above
hydrolysis: esculin	CHEBI:4806	aesculin	ChEBI	ChEBI web search	Beta-glucosidase substrate (coumarin derivative)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4806	original curator	pre-2026	Original	Esculin hydrolysis test
degradation: starch	CHEBI:28017	starch	ChEBI	ChEBI web search	Starch degradation; amylase activity	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28017	original curator	pre-2026	Original	Alpha-amylase activity
