id,category,name,description,xref,provided_by,synonym,deprecated,iri,object,predicate,relation,same_as,subject,subsets,hop
EC:3.5.1.B15,biolink:PhenotypicQuality,pyrazinamidase,,,Graph,,,,,,,,,,1.0
BSL:1,biolink:Attribute,biosafety level 1,,,Graph,,,,,,,,,,1.0
temperature:mesophilic,biolink:PhenotypicQuality,mesophilic,,,Graph,,,,,,,,,,1.0
isolation_source:host,biolink:EnvironmentalFeature,Host,,,Graph,,,,,,,,,,1.0
isolation_source:engineered,biolink:EnvironmentalFeature,Engineered,,,Graph,,,,,,,,,,1.0
isolation_source:microbial,biolink:EnvironmentalFeature,Microbial,,,Graph,,,,,,,,,,1.0
oxygen:aerobe,biolink:ActivityAndBehavior|biolink:PhenotypicQuality,aerobe,,,Graph,,,,,,,,,,1.0
isolation_source:environmental,biolink:EnvironmentalFeature,Environmental,,,Graph,,,,,,,,,,1.0
isolation_source:aquatic,biolink:EnvironmentalFeature,Aquatic,,,Graph,,,,,,,,,,1.0
isolation_source:marine,biolink:EnvironmentalFeature,Marine,,,Graph,,,,,,,,,,1.0
isolation_source:terrestrial,biolink:EnvironmentalFeature,Terrestrial,,,Graph,,,,,,,,,,1.0
CHEBI:29016,biolink:ChemicalEntity|biolink:ChemicalSubstance,a,An alpha-amino acid that is glycine in which the alpha-is substituted by a 3-guanidinopropyl group.,CAS-RN:7200-25-1|KEGG:C02385|PMID:10848923|Reaxys:1725411|Wikipedia:L-Arginine,Graph,2-Amino-5-guanidinovaleric acid|2-amino-5-(carbamimidamido)pentanoic acid|2-amino-5-guanidinopentanoic acid|Arginin|Arginine|Harg|arginine,,http://purl.obolibrary.org/obo/CHEBI_29016,,,,,,3_STAR,1.0
CHEBI:24265,biolink:ChemicalEntity|biolink:ChemicalSubstance,gluconate,,,Graph,gluconate,,http://purl.obolibrary.org/obo/CHEBI_24265,,,,,,3_STAR,1.0
CHEBI:17632,biolink:ChemicalEntity|biolink:ChemicalSubstance,n,A nitrogen oxoanion formed by loss of a proton from nitric acid. Principal species present at pH 7.3.,Beilstein:3587575|CAS-RN:14797-55-8|Gmelin:1574|MetaCyc:NITRATE|PDBeChem:NO3|Wikipedia:Nitrate,Graph,NITRATE ION|NO3|NO3(-)|[NO3](-)|nitrate|nitrate(1-)|trioxidonitrate(1-)|trioxonitrate(1-)|trioxonitrate(V),,http://purl.obolibrary.org/obo/CHEBI_17632,,,,,,3_STAR,1.0
assay:API_20NE_NO3,biolink:PhenotypicQuality,API 20NE - NO3,,,Graph,,,,,,,,,,1.0
assay:API_20NE_GLU_ Assim,biolink:PhenotypicQuality,API 20NE - GLU_ Assim,,,Graph,,,,,,,,,,1.0
assay:API_20NE_CIT,biolink:PhenotypicQuality,API 20NE - CIT,,,Graph,,,,,,,,,,1.0
assay:API_20NE_ADH Arg,biolink:PhenotypicQuality,API 20NE - ADH Arg,,,Graph,,,,,,,,,,1.0
assay:API_20NE_GNT,biolink:PhenotypicQuality,API 20NE - GNT,,,Graph,,,,,,,,,,1.0
CHEBI:29985,biolink:ChemicalEntity|biolink:ChemicalSubstance,L-glutamate,"An alpha-amino-acid anion that is the conjugate base of L-glutamic acid, having anionic carboxy groups and a cationic amino group",CAS-RN:11070-68-1|Gmelin:936654|MetaCyc:GLT,Graph,"(2S)-2-ammoniopentanedioate|L-glutamate|L-glutamate(1-)|L-glutamic acid monoanion|L-glutamic acid, ion(1-)|hydrogen L-glutamate",,http://purl.obolibrary.org/obo/CHEBI_29985,,,,,,3_STAR,1.0
assay:API_coryne_SAC,biolink:PhenotypicQuality,API coryne - SAC,,,Graph,,,,,,,,,,1.0
assay:API_coryne_MAL,biolink:PhenotypicQuality,API coryne - MAL,,,Graph,,,,,,,,,,1.0
assay:API_coryne_PYZ,biolink:PhenotypicQuality,API coryne - PYZ,,,Graph,,,,,,,,,,1.0
assay:API_coryne_GLU,biolink:PhenotypicQuality,API coryne - GLU,,,Graph,,,,,,,,,,1.0
medium:535,biolink:ChemicalEntity,TRYPTICASE SOY BROTH AGAR DSMZ Medium 535,,,Graph,,,,,,,,,,1.0
medium:693,biolink:ChemicalEntity,COLUMBIA BLOOD MEDIUM DSMZ Medium 693,,,Graph,,,,,,,,,,1.0
isolation_source:soil,biolink:EnvironmentalFeature,Soil,,,Graph,,,,,,,,,,1.0
oxygen:facultative_anaerobe,biolink:ActivityAndBehavior|biolink:PhenotypicQuality,facultative anaerobe,,,Graph,,,,,,,,,,1.0
assay:API_zym_Leucine arylamidase,biolink:PhenotypicQuality,API zym - Leucine arylamidase,,,Graph,,,,,,,,,,1.0
assay:API_coryne_RIB,biolink:PhenotypicQuality,API coryne - RIB,,,Graph,,,,,,,,,,1.0
assay:API_20NE_MNE,biolink:PhenotypicQuality,API 20NE - MNE,,,Graph,,,,,,,,,,1.0
isolation_source:waste,biolink:EnvironmentalFeature,Waste,,,Graph,,,,,,,,,,1.0
assay:API_coryne_CAT,biolink:PhenotypicQuality,API coryne - CAT,,,Graph,,,,,,,,,,1.0
assay:API_20NE_MAL,biolink:PhenotypicQuality,API 20NE - MAL,,,Graph,,,,,,,,,,1.0
isolation_source:bacteria,biolink:EnvironmentalFeature,Bacteria,,,Graph,,,,,,,,,,1.0
assay:API_coryne_URE,biolink:PhenotypicQuality,API coryne - URE,,,Graph,,,,,,,,,,1.0
assay:API_coryne_NIT,biolink:PhenotypicQuality,API coryne - NIT,,,Graph,,,,,,,,,,1.0
isolation_source:wastewater,biolink:EnvironmentalFeature,Wastewater,,,Graph,,,,,,,,,,1.0
assay:API_20NE_URE,biolink:PhenotypicQuality,API 20NE - URE,,,Graph,,,,,,,,,,1.0
medium:53,biolink:ChemicalEntity,CORYNEBACTERIUM AGAR DSMZ Medium 53,,,Graph,,,,,,,,,,1.0
strain:bacdive_10825,biolink:OrganismTaxon,bacdive_10825 of NCBITaxon:648753,,,Graph,,,,,,,,,,2.0
strain:bacdive_166288,biolink:OrganismTaxon,bacdive_166288 of NCBITaxon:2219059,,,Graph,,,,,,,,,,2.0
strain:bacdive_166383,biolink:OrganismTaxon,bacdive_166383 of NCBITaxon:2495496,,,Graph,,,,,,,,,,2.0
CHEBI:33709,biolink:ChemicalEntity|biolink:ChemicalSubstance,amino acid,A carboxylic acid containing one or more amino groups.,Wikipedia:Amino_acid,Graph,Aminocarbonsaeure|Aminokarbonsaeure|Aminosaeure|amino acids,,http://purl.obolibrary.org/obo/CHEBI_33709,,,,,,3_STAR,1.0
medium:535a,biolink:ChemicalEntity,TRYPTICASE SOY BROTH AGAR+BLOOD DSMZ Medium 535a,,,Graph,,,,,,,,,,1.0
strain:IMET-7162,biolink:OrganismTaxon,IMET 7162,,,Graph,,,,,,,,,,1.0
strain:bacdive_2614,biolink:OrganismTaxon,bacdive_2614 as A25K of NCBITaxon:1121325,,,Graph,,,,,,,,,,2.0
NCBITaxon:394090,biolink:OrganismTaxon,Cystobacter armeniaca,,GC_ID:11|PMID:17473228,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_394090,,,,,,,2.0
NCBITaxon:2051041,biolink:OrganismTaxon,Ravibacter arvi,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_2051041,,,,,,,2.0
strain:IMET-7265,biolink:OrganismTaxon,IMET 7265,,,Graph,,,,,,,,,,1.0
NCBITaxon:2749,biolink:OrganismTaxon,Carnobacterium gallinarum,,GC_ID:11,Graph,Carnibacterium gallinarum,,http://purl.obolibrary.org/obo/NCBITaxon_2749,,,,,,,2.0
strain:bacdive_8164,biolink:OrganismTaxon,bacdive_8164 of NCBITaxon:1349775,,,Graph,,,,,,,,,,2.0
NCBITaxon:1495,biolink:OrganismTaxon,Clostridium cylindrosporum,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1495,,,,,,,2.0
NCBITaxon:1121457,biolink:OrganismTaxon,Halodesulfovibrio marinisediminis DSM 17456,,GC_ID:11,Graph,Desulfovibrio marinisediminis C/L2|Desulfovibrio marinisediminis DSM 17456|Desulfovibrio marinisediminis JCM 14577|Desulfovibrio sp. C/L2|Desulfovibrio sp. JCM 14577|Halodesulfovibrio marinisediminis JCM 14577,,http://purl.obolibrary.org/obo/NCBITaxon_1121457,,,,,,,2.0
NCBITaxon:1718,biolink:OrganismTaxon,Corynebacterium glutamicum,,GC_ID:11|PMID:10220171|PMID:11988527|PMID:1713055,Graph,Brevibacterium chang-fua|Brevibacterium divaricatum|Brevibacterium glutamigenes|Brevibacterium lactofermentum|Brevibacterium saccharolyticum|Brevibacterium seonmiso|Brevibacterium taipei|Brevibacterium thiogenitalis|Corynebacterium crenatum|Corynebacterium lactofermentum|Corynebacterium lilium|Micrococcus glutamicus|Micrococcus maripuniceus,,http://purl.obolibrary.org/obo/NCBITaxon_1718,,,,,,,0.0
strain:DSM-20301,biolink:OrganismTaxon,DSM 20301,,,Graph,,,,,,,,,,1.0
strain:ATCC-13868,biolink:OrganismTaxon,ATCC 13868,,,Graph,,,,,,,,,,1.0
strain:NCIB-9694,biolink:OrganismTaxon,NCIB 9694,,,Graph,,,,,,,,,,1.0
strain:bacdive_11914,biolink:OrganismTaxon,bacdive_11914 as 4B of NCBITaxon:1123517,,,Graph,,,,,,,,,,2.0
strain:bacdive_158604,biolink:OrganismTaxon,bacdive_158604 as 4M3-2 of NCBITaxon:1701758,,,Graph,,,,,,,,,,2.0
strain:bacdive_133843,biolink:OrganismTaxon,bacdive_133843 as HL-12 of NCBITaxon:764842,,,Graph,,,,,,,,,,2.0
strain:DSM-20412,biolink:OrganismTaxon,DSM 20412,,,Graph,,,,,,,,,,1.0
strain:ATCC-13655,biolink:OrganismTaxon,ATCC 13655,,,Graph,,,,,,,,,,1.0
strain:NCIB-9662,biolink:OrganismTaxon,NCIB 9662,,,Graph,,,,,,,,,,1.0
strain:bacdive_14741,biolink:OrganismTaxon,bacdive_14741 as 60B of NCBITaxon:1123313,,,Graph,,,,,,,,,,2.0
NCBITaxon:1591105,biolink:OrganismTaxon,Devosia humi,,GC_ID:11|PMID:26514816,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1591105,,,,,,,2.0
strain:bacdive_132931,biolink:OrganismTaxon,bacdive_132931 as OP3H of NCBITaxon:1481663,,,Graph,,,,,,,,,,2.0
strain:DSM-102070,biolink:OrganismTaxon,DSM 102070,,,Graph,,,,,,,,,,1.0
strain:bacdive_14793,biolink:OrganismTaxon,bacdive_14793 as MFe28 of NCBITaxon:764290,,,Graph,,,,,,,,,,2.0
NCBITaxon:1006155,biolink:OrganismTaxon,Listeria weihenstephanensis,,GC_ID:11|PMID:28919887,Graph,Paenilisteria weihenstephanensis,,http://purl.obolibrary.org/obo/NCBITaxon_1006155,,,,,,,2.0
strain:bacdive_166181,biolink:OrganismTaxon,bacdive_166181 as HLT2-9 of NCBITaxon:1168729,,,Graph,,,,,,,,,,2.0
strain:bacdive_131290,biolink:OrganismTaxon,bacdive_131290 as SS12 of NCBITaxon:1168039,,,Graph,,,,,,,,,,2.0
strain:DSM-5403,biolink:OrganismTaxon,DSM 5403,,,Graph,,,,,,,,,,1.0
strain:ATCC-21677,biolink:OrganismTaxon,ATCC 21677,,,Graph,,,,,,,,,,1.0
NCBITaxon:481719,biolink:OrganismTaxon,Lentilactobacillus sunkii,,GC_ID:11|PMID:19329601,Graph,Lactobacillus sunkii,,http://purl.obolibrary.org/obo/NCBITaxon_481719,,,,,,,2.0
strain:bacdive_133435,biolink:OrganismTaxon,bacdive_133435 as CL-UU02 of NCBITaxon:374515,,,Graph,,,,,,,,,,2.0
strain:DSM-20137,biolink:OrganismTaxon,DSM 20137,,,Graph,,,,,,,,,,1.0
strain:ATCC-15990,biolink:OrganismTaxon,ATCC 15990,,,Graph,,,,,,,,,,1.0
strain:NCIB-10337,biolink:OrganismTaxon,NCIB 10337,,,Graph,,,,,,,,,,1.0
strain:NRRL-B-2243,biolink:OrganismTaxon,NRRL B-2243,,,Graph,,,,,,,,,,1.0
strain:JCM-1321,biolink:OrganismTaxon,JCM 1321,,,Graph,,,,,,,,,,1.0
strain:BCRC-11669,biolink:OrganismTaxon,BCRC 11669,,,Graph,,,,,,,,,,1.0
strain:CGMCC-1.1888,biolink:OrganismTaxon,CGMCC 1.1888,,,Graph,,,,,,,,,,1.0
strain:IAM-12434,biolink:OrganismTaxon,IAM 12434,,,Graph,,,,,,,,,,1.0
strain:IMET-11081,biolink:OrganismTaxon,IMET 11081,,,Graph,,,,,,,,,,1.0
strain:KCTC-1448,biolink:OrganismTaxon,KCTC 1448,,,Graph,,,,,,,,,,1.0
strain:LMG-3654,biolink:OrganismTaxon,LMG 3654,,,Graph,,,,,,,,,,1.0
strain:NCIMB-10337,biolink:OrganismTaxon,NCIMB 10337,,,Graph,,,,,,,,,,1.0
NCBITaxon:225422,biolink:OrganismTaxon,Sulfitobacter indolifex,,GC_ID:11|PMID:15280288|PMID:28693681,Graph,Oceanibulbus indolifex,,http://purl.obolibrary.org/obo/NCBITaxon_225422,,,,,,,2.0
NCBITaxon:160689,biolink:OrganismTaxon,Nonomuraea roseoviolacea subsp. carminata,,GC_ID:11|PMID:11411710|PMID:4776400,Graph,Actinomadura carminata,,http://purl.obolibrary.org/obo/NCBITaxon_160689,,,,,,,2.0
strain:bacdive_17838,biolink:OrganismTaxon,bacdive_17838 as RODXS3 of NCBITaxon:431489,,,Graph,,,,,,,,,,2.0
strain:bacdive_141075,biolink:OrganismTaxon,bacdive_141075 as G16-7 of NCBITaxon:1767027,,,Graph,,,,,,,,,,2.0
strain:DSM-20297,biolink:OrganismTaxon,DSM 20297,,,Graph,,,,,,,,,,1.0
strain:ATCC-14020,biolink:OrganismTaxon,ATCC 14020,,,Graph,,,,,,,,,,1.0
strain:NCIB-9379,biolink:OrganismTaxon,NCIB 9379,,,Graph,,,,,,,,,,1.0
strain:JCM-1307,biolink:OrganismTaxon,JCM 1307,,,Graph,,,,,,,,,,1.0
strain:BCRC-11631,biolink:OrganismTaxon,BCRC 11631,,,Graph,,,,,,,,,,1.0
strain:CGMCC-1.1884,biolink:OrganismTaxon,CGMCC 1.1884,,,Graph,,,,,,,,,,1.0
strain:IAM-12432,biolink:OrganismTaxon,IAM 12432,,,Graph,,,,,,,,,,1.0
strain:IMET-11073,biolink:OrganismTaxon,IMET 11073,,,Graph,,,,,,,,,,1.0
strain:KCTC-3253,biolink:OrganismTaxon,KCTC 3253,,,Graph,,,,,,,,,,1.0
strain:NCCB-71034,biolink:OrganismTaxon,NCCB 71034,,,Graph,,,,,,,,,,1.0
strain:NCIMB-9379,biolink:OrganismTaxon,NCIMB 9379,,,Graph,,,,,,,,,,1.0
strain:NRRL-B-2312,biolink:OrganismTaxon,NRRL B-2312,,,Graph,,,,,,,,,,1.0
NCBITaxon:1077946,biolink:OrganismTaxon,Streptomyces hundungensis,,GC_ID:11|PMID:23340665,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1077946,,,,,,,2.0
strain:JCM-18229,biolink:OrganismTaxon,JCM 18229,,,Graph,,,,,,,,,,1.0
strain:DSM-46307,biolink:OrganismTaxon,DSM 46307,,,Graph,,,,,,,,,,1.0
strain:IMET-11022,biolink:OrganismTaxon,IMET 11022,,,Graph,,,,,,,,,,1.0
strain:NCMB-2026,biolink:OrganismTaxon,NCMB 2026,,,Graph,,,,,,,,,,1.0
strain:SN-130,biolink:OrganismTaxon,SN 130,,,Graph,,,,,,,,,,1.0
NCBITaxon:2306636,biolink:OrganismTaxon,Cellulomonas telluris,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_2306636,,,,,,,2.0
NCBITaxon:1123299,biolink:OrganismTaxon,Streptococcus castoreus DSM 17536,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1123299,,,,,,,2.0
NCBITaxon:525897,biolink:OrganismTaxon,Desulfomicrobium baculatum DSM 4028,,GC_ID:11,Graph,Desulfomicrobium baculatum str. DSM 4028|Desulfomicrobium baculatum strain DSM 4028,,http://purl.obolibrary.org/obo/NCBITaxon_525897,,,,,,,2.0
strain:DSM-1412,biolink:OrganismTaxon,DSM 1412,,,Graph,,,,,,,,,,1.0
strain:ATCC-13869,biolink:OrganismTaxon,ATCC 13869,,,Graph,,,,,,,,,,1.0
strain:NCIB-9567,biolink:OrganismTaxon,NCIB 9567,,,Graph,,,,,,,,,,1.0
NCBITaxon:68252,biolink:OrganismTaxon,Streptomyces parvisporogenes,,GC_ID:11,Graph,Streptoverticillium parvisporogenes|Streptoverticillium parvisporogenum,,http://purl.obolibrary.org/obo/NCBITaxon_68252,,,,,,,2.0
NCBITaxon:47479,biolink:OrganismTaxon,Streptosporangium album,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_47479,,,,,,,2.0
NCBITaxon:1130726,biolink:OrganismTaxon,Defluviimonas aestuarii,,GC_ID:11|PMID:23334880,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1130726,,,,,,,2.0
strain:DSM-10150,biolink:OrganismTaxon,DSM 10150,,,Graph,,,,,,,,,,1.0
strain:ATCC-39021,biolink:OrganismTaxon,ATCC 39021,,,Graph,,,,,,,,,,1.0
strain:DSM-20163,biolink:OrganismTaxon,DSM 20163,,,Graph,,,,,,,,,,1.0
strain:ATCC-13745,biolink:OrganismTaxon,ATCC 13745,,,Graph,,,,,,,,,,1.0
strain:CIP-102670,biolink:OrganismTaxon,CIP 102670,,,Graph,,,,,,,,,,1.0
strain:DSM-20156,biolink:OrganismTaxon,DSM 20156,,,Graph,,,,,,,,,,1.0
strain:ATCC-15354,biolink:OrganismTaxon,ATCC 15354,,,Graph,,,,,,,,,,1.0
strain:NCIB-10335,biolink:OrganismTaxon,NCIB 10335,,,Graph,,,,,,,,,,1.0
NCBITaxon:69666,biolink:OrganismTaxon,Caulobacter mirabilis,,GC_ID:11|PMID:18676485,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_69666,,,,,,,2.0
NCBITaxon:761193,biolink:OrganismTaxon,Runella slithyformis DSM 19594,,GC_ID:11,Graph,Runella slithyformis str. DSM 19594|Runella slithyformis strain DSM 19594,,http://purl.obolibrary.org/obo/NCBITaxon_761193,,,,,,,2.0
NCBITaxon:393006,biolink:OrganismTaxon,Tamlana crocina,,GC_ID:11|PMID:17392203,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_393006,,,,,,,2.0
strain:DSM-44475,biolink:OrganismTaxon,DSM 44475,,,Graph,,,,,,,,,,1.0
strain:bacdive_3080,biolink:OrganismTaxon,bacdive_3080 as 9.6 of NCBITaxon:649754,,,Graph,,,,,,,,,,2.0
strain:bacdive_140861,biolink:OrganismTaxon,bacdive_140861 as SMJ19 of NCBITaxon:1792290,,,Graph,,,,,,,,,,2.0
strain:bacdive_14301,biolink:OrganismTaxon,bacdive_14301 as D-427 of NCBITaxon:307497,,,Graph,,,,,,,,,,2.0
strain:DSM-20598,biolink:OrganismTaxon,DSM 20598,,,Graph,,,,,,,,,,1.0
strain:ATCC-13825,biolink:OrganismTaxon,ATCC 13825,,,Graph,,,,,,,,,,1.0
strain:CCUG-23601,biolink:OrganismTaxon,CCUG 23601,,,Graph,,,,,,,,,,1.0
NCBITaxon:196627,biolink:OrganismTaxon,Corynebacterium glutamicum ATCC 13032,,GC_ID:11|PMID:12743753|PMID:12948626,Graph,Corynebacterium glutamicum str. ATCC 13032|Corynebacterium glutamicum strain ATCC 13032,,http://purl.obolibrary.org/obo/NCBITaxon_196627,,,,,,,1.0
NCBITaxon:580033,biolink:OrganismTaxon,Campylobacter volucris LMG 24379,,GC_ID:11,Graph,Campylobacter sp. LMG 24379|Campylobacter volucris str. LMG 24379|Campylobacter volucris strain LMG 24379,,http://purl.obolibrary.org/obo/NCBITaxon_580033,,,,,,,2.0
strain:bacdive_5705,biolink:OrganismTaxon,bacdive_5705 as ECP37 of NCBITaxon:493375,,,Graph,,,,,,,,,,2.0
NCBITaxon:229204,biolink:OrganismTaxon,Flavobacterium frigoris,,GC_ID:11|PMID:14742463,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_229204,,,,,,,2.0
strain:bacdive_12522,biolink:OrganismTaxon,bacdive_12522 as MT01 of NCBITaxon:1121129,,,Graph,,,,,,,,,,2.0
strain:IMET-07015,biolink:OrganismTaxon,IMET 07015,,,Graph,,,,,,,,,,1.0
strain:IMET-7015,biolink:OrganismTaxon,IMET 7015,,,Graph,,,,,,,,,,1.0
NCBITaxon:2164084,biolink:OrganismTaxon,Streptomyces manganisoli,,GC_ID:11|PMID:29648527,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_2164084,,,,,,,2.0
NCBITaxon:374858,biolink:OrganismTaxon,Zoogloea caeni,,GC_ID:11|PMID:19244434,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_374858,,,,,,,2.0
strain:bacdive_13916,biolink:OrganismTaxon,bacdive_13916 as TL1 of NCBITaxon:82788,,,Graph,,,,,,,,,,2.0
strain:bacdive_10176,biolink:OrganismTaxon,bacdive_10176 as SHK-1 of NCBITaxon:215803,,,Graph,,,,,,,,,,2.0
NCBITaxon:56426,biolink:OrganismTaxon,Bartonella clarridgeiae,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_56426,,,,,,,2.0
NCBITaxon:1550566,biolink:OrganismTaxon,Methanoculleus sediminis,,GC_ID:11|PMID:25855623,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1550566,,,,,,,2.0
NCBITaxon:1476466,biolink:OrganismTaxon,Croceibacterium xixiisoli,,GC_ID:11|PMID:28879849,Graph,Altererythrobacter xixiisoli,,http://purl.obolibrary.org/obo/NCBITaxon_1476466,,,,,,,2.0
strain:DSM-102071,biolink:OrganismTaxon,DSM 102071,,,Graph,,,,,,,,,,1.0
NCBITaxon:285563,biolink:OrganismTaxon,Streptomyces coeruleoprunus,,GC_ID:11,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_285563,,,,,,,2.0
NCBITaxon:1129133,biolink:OrganismTaxon,Sphingopyxis italica,,GC_ID:11|PMID:23264504,Graph,,,http://purl.obolibrary.org/obo/NCBITaxon_1129133,,,,,,,2.0
NCBITaxon:110937,biolink:OrganismTaxon,Rathayibacter festucae,,GC_ID:11|PMID:12508848,Graph,Rathayibacter festuci,,http://purl.obolibrary.org/obo/NCBITaxon_110937,,,,,,,2.0
