id,subject,predicate,object,relation,knowledge_source,meta,primary_knowledge_source,primary_knowledge_source.1
urn:uuid:c403f6a9-fc56-409d-8e83-1496800d85d7,assay:API_coryne_GLU,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3096,
urn:uuid:682fa0b0-2f85-4813-aa20-bed872e87c30,isolation_source:soil,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:403ab55f-34a8-46f0-9493-a304592a3661,assay:API_zym_Leucine arylamidase,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:160017,
urn:uuid:1c3329be-78aa-4101-9aa9-fd7712b1cc7e,assay:API_coryne_RIB,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3086,
urn:uuid:c5421561-e0ef-4733-892b-6d170e5764c9,assay:API_20NE_MNE,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3095,
urn:uuid:4bd9342c-f781-4b01-96ba-11d2a4420f04,isolation_source:waste,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:3af6de62-8bf1-457e-bc97-ed1663eb333d,assay:API_coryne_CAT,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3096,
urn:uuid:a5e6e0ac-5555-43df-a345-7fa60baddc5a,assay:API_20NE_MAL,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:160018,
urn:uuid:144cc1ef-6b15-4bae-a203-24d97094e01b,isolation_source:bacteria,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:a3fffddf-25cf-45ba-b2a0-a081d9f83beb,assay:API_coryne_URE,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3096,
urn:uuid:619347e1-3c20-40a4-8119-e781a28f1486,assay:API_coryne_NIT,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3096,
urn:uuid:e5d77e35-1a1d-4413-aed0-81afd01ef7e4,isolation_source:wastewater,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:9abe93f3-3b7e-46c6-ae02-5fccd4923f63,assay:API_20NE_URE,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3095,
urn:uuid:7a171d41-5588-475d-aeaf-c36cd537b7e2,strain:IMET-7162,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:103171,
urn:uuid:5c0f8181-df15-4dfa-af3a-b96191cae723,strain:IMET-7265,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:103172,
urn:uuid:b5a4bb95-a057-48ed-89f7-11fc274454ae,NCBITaxon:1718,biolink:consumes,CHEBI:24265,RO:0000057,Graph,,bacdive:160018,
urn:uuid:e68201b4-dfb7-46c7-8a03-94ae71e8541d,NCBITaxon:1718,biolink:consumes,CHEBI:17306,RO:0000057,Graph,,bacdive:3088,
urn:uuid:08a5af8f-9e03-481b-9243-b700720081bd,NCBITaxon:1718,biolink:produces,CHEBI:33709,RO:0002215,Graph,,bacdive:3091,
urn:uuid:aec3ad68-6070-4f1f-bd4f-ca9be7d57b14,NCBITaxon:1718,biolink:capable_of,EC:3.4.11.1,RO:0002215,Graph,,bacdive:160018,
urn:uuid:89cc7fac-705b-48c4-ac47-0b7c68f9377a,NCBITaxon:1718,biolink:occurs_in,medium:53,BAO:0002924,Graph,,"['bacdive:3091', 'bacdive:3091']",
urn:uuid:ffc7d860-d8e5-4b06-9795-f1f90d0ced37,NCBITaxon:1718,biolink:consumes,CHEBI:17634,RO:0000057,Graph,,bacdive:3088,
urn:uuid:420aebcb-def6-47dc-b73d-8afc8466c893,NCBITaxon:1718,biolink:capable_of,EC:3.5.3.6,RO:0002215,Graph,,bacdive:160018,
urn:uuid:0a79cc91-cd2e-40eb-9ccf-536469775042,NCBITaxon:1718,biolink:capable_of,EC:3.5.1.5,RO:0002215,Graph,,bacdive:3088,
urn:uuid:e76d9348-5583-437c-9a96-a40f7084be6a,NCBITaxon:1718,biolink:consumes,CHEBI:16199,RO:0000057,Graph,,bacdive:3088,
urn:uuid:4bd35ffc-b460-439a-9a13-dd5f24f84802,NCBITaxon:1718,biolink:occurs_in,medium:535,BAO:0002924,Graph,,"['bacdive:3097', 'bacdive:130935']",
urn:uuid:8a03d2a9-277c-4979-93d5-f952e29108da,NCBITaxon:1718,biolink:associated_with,BSL:1,,Graph,,bacdive:3087,
urn:uuid:7917721e-c98a-46f5-afd5-0237b44d7491,NCBITaxon:1718,biolink:consumes,CHEBI:16024,RO:0000057,Graph,,bacdive:3095,
urn:uuid:bd4f26c0-d60e-4d31-b419-553129495865,NCBITaxon:1718,biolink:occurs_in,medium:693,BAO:0002924,Graph,,"['bacdive:3090', 'bacdive:3090']",
urn:uuid:f7f3e2c3-353b-4067-a15d-a733489dc7b9,NCBITaxon:1718,biolink:has_phenotype,temperature:mesophilic,RO:0002200,Graph,,bacdive:3091,
urn:uuid:1d0d0a42-4afa-47de-a755-dee03524df4e,NCBITaxon:1718,biolink:occurs_in,medium:535a,BAO:0002924,Graph,,"['bacdive:3086', 'bacdive:3090']",
urn:uuid:60ca3cbc-94ac-4418-8d24-2415a59032cf,NCBITaxon:1718,biolink:capable_of,EC:3.5.1.B15,RO:0002215,Graph,,bacdive:3086,
urn:uuid:9cc0a5bb-361f-4dd5-a3b7-2b3753c02d28,NCBITaxon:1718,biolink:consumes,CHEBI:17992,RO:0000057,Graph,,bacdive:3088,
urn:uuid:fe381096-b3e6-47e3-8b79-4fae3f132c38,NCBITaxon:1718,biolink:consumes,CHEBI:16988,RO:0000057,Graph,,bacdive:3088,
urn:uuid:5a95eb10-5b83-4dea-a6da-71c10c9d5cf5,NCBITaxon:1718,biolink:capable_of,EC:1.11.1.6,RO:0002215,Graph,,bacdive:3096,
urn:uuid:c3c33f6b-3a75-4c64-9e50-5ba69d9255ad,NCBITaxon:1718,biolink:consumes,CHEBI:17632,RO:0000057,Graph,,bacdive:3088,
urn:uuid:553a8200-75f6-4ca1-b07f-c4bc7cf8a01a,NCBITaxon:1718,biolink:consumes,CHEBI:29016,RO:0000057,Graph,,bacdive:160018,
urn:uuid:18e236de-848b-4030-8bf1-7d067670cb04,NCBITaxon:1718,biolink:produces,CHEBI:29985,RO:0002215,Graph,,bacdive:3091,
urn:uuid:add18066-37eb-4c29-8b25-e059acfaccf0,NCBITaxon:1718,biolink:subclass_of,NCBITaxon:1716,rdfs:subClassOf,Graph,,,
urn:uuid:5135237c-827a-4e99-a4e9-d0878b0c272f,NCBITaxon:1718,biolink:occurs_in,medium:J26,BAO:0002924,Graph,,bacdive:3091,
urn:uuid:c08c9d95-b506-47a2-971f-73830a1e0189,NCBITaxon:1718,biolink:occurs_in,medium:J22,BAO:0002924,Graph,,bacdive:3088,
urn:uuid:853e4a2b-96fa-4de3-9879-c48ac7df0bc5,NCBITaxon:1718,biolink:occurs_in,medium:J475,BAO:0002924,Graph,,bacdive:3091,
urn:uuid:9a58d368-ed06-4e91-8e8d-226ccb537ec8,NCBITaxon:1718,biolink:capable_of,pathways:nitrate_reduction,RO:0002215,Graph,,,
urn:uuid:2190c311-5d77-4219-a60b-7b24b5258d44,NCBITaxon:1718,biolink:has_phenotype,cell_shape:bacillus,RO:0002200,Graph,,,
urn:uuid:dab2a655-8069-4fe2-928e-c1450b5c0503,NCBITaxon:1718,biolink:has_phenotype,oxygen:facultative_anaerobe,RO:0002215,Graph,,,
urn:uuid:8c9310e7-4662-407b-a296-44d3a98ca399,NCBITaxon:1718,biolink:has_phenotype,cell_shape:coccobacillus,RO:0002200,Graph,,,
urn:uuid:565500e2-2473-4f8f-ab62-40995063689d,NCBITaxon:1718,biolink:has_phenotype,oxygen:aerobe,RO:0002215,Graph,,,
urn:uuid:e398b345-e06b-41c3-93b3-ce4caadc22f5,NCBITaxon:1718,biolink:has_phenotype,gc:mid1,RO:0002200,Graph,,BactoTraits.csv,
urn:uuid:3f5dfbe2-3829-44db-9e54-5c81ce704de6,strain:DSM-20301,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3093,
urn:uuid:7532a328-5a3d-4bd2-9185-e06e6ccf323e,strain:ATCC-13868,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3093,
urn:uuid:4a9819d4-e6c3-4ed0-8a91-99ab4d423f9c,strain:NCIB-9694,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3093,
urn:uuid:74ae4088-e133-4900-a546-22173331d2fb,strain:DSM-20412,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3095,
urn:uuid:51fc56ce-55f6-4ee6-9790-394471eb6f56,strain:ATCC-13655,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3095,
urn:uuid:9f26d643-41b4-461d-80c7-bb18de78d1c0,strain:NCIB-9662,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3095,
urn:uuid:7c805203-e44a-4a83-b995-e337ffe8dba1,strain:DSM-102070,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:130935,
urn:uuid:c7f31b8b-ca15-4ccc-86c5-e2b2244acd6c,strain:DSM-5403,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:160017,
urn:uuid:ae89185c-7f13-4624-a1e6-1b31937d0e25,strain:ATCC-21677,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:160017,
urn:uuid:8b59703b-580c-42f0-986f-6f6afd6b2bcd,strain:DSM-20137,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:50e173e7-67ca-4560-a13b-1da2b2ecbd29,strain:ATCC-15990,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:40f80832-3ad2-49f2-a71d-6182002fd849,strain:NCIB-10337,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:ed0b6106-4a42-4a33-a5e2-a826c5fbe995,strain:NRRL-B-2243,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:00903c7c-d8c2-4453-850a-2b7fc9b2a77e,strain:JCM-1321,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:b3664d15-da41-4092-a390-7406c7c28928,strain:BCRC-11669,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:6a244a40-ff44-47f5-8935-8465d15fb393,strain:CGMCC-1.1888,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:14c7c5eb-0183-4f94-9f61-dedfa185c3f1,strain:IAM-12434,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:87454921-9700-4b9e-8690-ac7a6226ce3d,strain:IMET-11081,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:f5a6be6a-f68a-42c4-846d-b27f4ddc180d,strain:KCTC-1448,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:9ee76827-0d1d-492d-8738-0b90bc04a55a,strain:LMG-3654,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:a63af953-66a7-41a1-8156-94e1e6dd75d9,strain:NCIMB-10337,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3088,
urn:uuid:4cc171ed-7452-4648-8707-10572db100cd,strain:DSM-20297,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:c4248993-4229-4677-ac16-1a877b7a5405,strain:ATCC-14020,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:0d3cd05a-7c97-4e3d-8c2e-3f444c75d6ca,strain:NCIB-9379,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:ec783263-d70d-4289-b9c3-788b6f417286,strain:JCM-1307,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:98ca52ac-b2fe-46e6-8704-04139a813201,strain:BCRC-11631,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:5afbee08-585f-49c1-b0e1-9b7dbe282134,strain:CGMCC-1.1884,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:bfe59a7b-8131-4c61-a74f-e8b95995c4e4,strain:IAM-12432,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:195dadac-cdd3-4977-bb86-5b82a696aac9,strain:IMET-11073,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:3e9d1e05-7a98-420b-b3fe-c8c8d5400e2c,strain:KCTC-3253,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:026a4aa8-ccb3-41c4-933a-5437e1a3dd74,strain:NCCB-71034,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:eba16b8d-1a27-470d-86ba-cb936c076358,strain:NCIMB-9379,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:58e1b4d8-751c-48e3-9a94-6ca7a4225475,strain:NRRL-B-2312,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3091,
urn:uuid:92c0796a-94c2-4f47-a66c-485a4c92896b,strain:JCM-18229,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:162202,
urn:uuid:1a4d6c80-2eeb-4ba2-8895-019b91562618,strain:DSM-46307,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3098,
urn:uuid:89d293db-35fc-4406-8286-d9c9bef96e88,strain:IMET-11022,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3098,
urn:uuid:d47b4522-5824-49e0-a82e-ea453d41a272,strain:NCMB-2026,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3098,
urn:uuid:c7710f7b-2f70-472d-b659-76e878473532,strain:SN-130,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3098,
urn:uuid:16809c1b-beb6-4300-aa18-8b237923ebe8,strain:DSM-1412,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3086,
urn:uuid:ef737a24-f938-49f9-a2c7-165c60fbe673,strain:ATCC-13869,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3086,
urn:uuid:355469d7-3ff3-4a27-81a1-95143a35b1e4,strain:NCIB-9567,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3086,
urn:uuid:ea1f254e-6395-4051-8bb1-ec84b063e065,strain:DSM-10150,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3087,
urn:uuid:c41ac4bb-c5b0-4f5a-a40b-1bd4e1c8a304,strain:ATCC-39021,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3087,
urn:uuid:51001c41-a83b-48c0-9bd9-a4bd94c83c12,strain:DSM-20163,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3090,
urn:uuid:b0445d8b-a195-4ae4-8a0b-3061ba828cd4,strain:ATCC-13745,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3090,
urn:uuid:d063d217-b845-4758-a2e0-3f4fbd447d78,strain:CIP-102670,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:134879,
urn:uuid:90cdbec8-c344-4fc9-a4c7-08f89f3c9945,strain:DSM-20156,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3089,
urn:uuid:f55fae89-7cdc-4ab5-a82d-a008713788ce,strain:ATCC-15354,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3089,
urn:uuid:dfc8c2de-25a5-4775-9b8c-8a19dcba14a5,strain:NCIB-10335,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3089,
urn:uuid:63cb0226-2983-4b02-a99b-e2e14c52944b,strain:DSM-44475,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3097,
urn:uuid:33b864c6-a239-4ac0-8e70-3b30d22a6377,strain:DSM-20598,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3096,
urn:uuid:08a436cc-9423-4e92-9535-5f7609d47ecf,strain:ATCC-13825,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3096,
urn:uuid:bf903d6e-fc63-49d6-b708-b3946ef6c017,strain:CCUG-23601,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:3096,
urn:uuid:f1b45af6-5932-4fd7-bb70-e00ddbdc5516,NCBITaxon:196627,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:4576e4b1-45c4-4556-a800-29c62ca69ccc,strain:IMET-07015,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:103171,
urn:uuid:f59d6d67-1187-4f43-8584-3d74f85598e9,strain:IMET-7015,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:103171,
urn:uuid:d6808ba1-7920-488c-9e3b-170a5fa9bec0,strain:DSM-102071,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:130936,
urn:uuid:77f9afd4-9f93-4417-8077-d04e24e88078,NCBITaxon:1079988,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:522e053e-0c3c-458b-bbc2-a58f0dc34978,strain:CCUG-27703,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:145123,
urn:uuid:78015475-29c8-4874-bce3-13cf41bd9646,strain:ATCC-13059,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:145123,
urn:uuid:27a869fc-4689-4708-bbab-a1a854b00a13,strain:CCTM-La-3704,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:145123,
urn:uuid:cfca4a2e-eacd-4b87-b966-313b236b596a,strain:DSM-5426,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:160018,
urn:uuid:70a2875f-cf23-4840-9c1b-531f1ba4cfbd,strain:ATCC-21668,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:160018,
urn:uuid:f8a09ebc-c682-476f-a034-10964786bef8,strain:KY-10407,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:160018,
urn:uuid:81ca8a1e-03e8-4415-8a1c-85607d2a80ce,strain:CIP-78.11,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,bacdive:139053,
urn:uuid:ae7c4570-4cf5-4477-8269-31bada3ef63a,NCBITaxon:1075088,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:ac36cb15-19db-40af-85b6-46ab83c12624,NCBITaxon:1198672,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:c619f6c8-d3fc-40d0-9a42-ecebcc9fa561,NCBITaxon:1204414,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:6408f8d7-895a-4e43-ab1a-723e30789579,NCBITaxon:1232381,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:65a0170c-841e-4b91-94c2-e71aedbf6540,NCBITaxon:1232382,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:8a9ab721-520f-45b6-92eb-4150f97e58ae,NCBITaxon:1232383,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:bfa9236b-8806-41f7-8fb6-80a4b0e98fb5,NCBITaxon:1232384,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:5622668c-caa1-4b1d-9c1f-b83fca323db5,NCBITaxon:1304280,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:76429ea4-30b5-4a19-a7b8-16ec8413e687,NCBITaxon:1310161,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:6611a38e-1d91-4054-b8aa-04387e904260,NCBITaxon:1310164,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:d062e337-a855-46c6-984b-881c51b3fb11,NCBITaxon:340322,biolink:subclass_of,NCBITaxon:1718,rdfs:subClassOf,Graph,,,
urn:uuid:5a79f85f-7ad1-4409-a986-a5ad99900c6d,ENVO:00001998,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,,
urn:uuid:33e7fa7c-3e57-43fe-ba2c-68ca5f3c2ea0,ENVO:00002001,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,,
urn:uuid:0c65b30f-ef45-4fa1-a5ff-a4b3bc38ca8a,UBERON:0000468,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,,
