subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
salinity tolerance range	salinity tolerance range	METPO:1000334	NaCl range	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; METPO:1000334 'NaCl range' already models the tolerated salinity window.	2026-04-25
salinity optimum	salinity optimum	METPO:1000333	NaCl optimum	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; METPO:1000333 'NaCl optimum' already models the optimal salinity.	2026-04-25
indole production capability	indole production capability	METPO:1005010	indole test	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: was METPO:1005011 (the 'positive' test-outcome variant); 'production capability' is the underlying ability — METPO:1005010 (the test) is closer.	2026-04-25
indole test positive	indole test positive	METPO:1005011	indole test positive	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Exact label match for the positive test-outcome variant.	2026-04-25
methyl red test positive	methyl red test positive	METPO:1005014	methyl red test positive	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Exact label match.	2026-04-25
MR test positive	mr test positive	METPO:1005014	methyl red test positive	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Exact label match.	2026-04-25
hemolytic activity	hemolytic activity	METPO:1005025	hemolysis	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'hemolysis' is the existing METPO label.	2026-04-25
hemolysis	hemolysis	METPO:1005025	hemolysis	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'hemolysis' is the existing METPO label.	2026-04-25
alpha-hemolysis	alpha-hemolysis	METPO:1005025	hemolysis	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'hemolysis' is the existing METPO label.	2026-04-25
beta-hemolysis	beta-hemolysis	METPO:1005025	hemolysis	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'hemolysis' is the existing METPO label.	2026-04-25
gamma-hemolysis	gamma-hemolysis	METPO:1005025	hemolysis	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'hemolysis' is the existing METPO label.	2026-04-25
biosafety level classification	biosafety level classification	METPO:1001101	biosafety level	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing parent class with BSL-1..BSL-5 children (METPO:1001102-1001106).	2026-04-25
BSL classification	bsl classification	METPO:1001101	biosafety level	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing parent class with BSL-1..BSL-5 children (METPO:1001102-1001106).	2026-04-25
BSL-1	bsl-1	METPO:1001102	biosafety level 1	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1001102 has '1' as a synonym.	2026-04-25
BSL-2	bsl-2	METPO:1001103	biosafety level 2	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1001103 covers BSL-2.	2026-04-25
BSL-3	bsl-3	METPO:1001104	biosafety level 3	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1001104 covers BSL-3.	2026-04-25
BSL-4	bsl-4	METPO:1001105	biosafety level 4	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1001105 covers BSL-4.	2026-04-25
colony pigmentation	colony pigmentation	METPO:1003021	pigmentation	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Same concept as METPO:1003021 'pigmentation' (children: black, brown, cream, green, orange, pink, red, white, yellow, carotenoid).	2026-04-25
motility phenotype	motility phenotype	METPO:1000701	motility	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing parent class with motile/non-motile/flagellated/gliding children.	2026-04-25
motile	motile	METPO:1000702	motile	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1000702 is the specific 'motile' child class.	2026-04-25
non-motile	non-motile	METPO:1000703	non motile	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1000703 has 'non-motile' as a synonym.	2026-04-25
spore formation capability	spore formation capability	METPO:1000870	sporulation	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'spore formation' is already a synonym of METPO:1000870; children spore-forming/non-spore-forming exist.	2026-04-25
denitrification capability	denitrification capability	METPO:1005038	denitrification	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing class. Predicate METPO:2000601 'denitrifies' / 2000602 'does not denitrify' for capability assertions.	2026-04-25
