subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date	ec_number
histidine arylamidase	histidine arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, histidine-specific	2026-05-03	
pyrazinamidase (ec3.5.1.b15)	pyrazinamidase (ec3.5.1.b15)	GO:0008936	nicotinamidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	"Pyrazinamidase = nicotinamidase (EC 3.5.1.19); source has malformed EC ""B15"" (preliminary number)"	2026-05-03	3.5.1.19
adenyl cyclase hemolysin	adenyl cyclase hemolysin	GO:0004016	adenylate cyclase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Bifunctional enzyme with adenylate cyclase activity	2026-05-03	
nitrogenase	nitrogenase	GO:0016163	nitrogenase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Nitrogen fixation enzyme	2026-05-03	1.18.6.1
beta-n-acetylgalactosaminidase	beta-n-acetylgalactosaminidase	GO:0004563	beta-N-acetylhexosaminidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Removes N-acetylgalactosamine from glycoconjugates	2026-05-03	3.2.1.52
nife-hydrogenase	nife-hydrogenase	GO:0033748	hydrogenase (acceptor) activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	"Nickel-iron hydrogenase; GO:0033748 label is ""hydrogenase (acceptor) activity"", not ""NiFe activity"""	2026-05-03	1.12.99.6
pyroglutamic acid arylamidase	pyroglutamic acid arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, pyroglutamate-specific	2026-05-03	
alpha-xylosidase	alpha-xylosidase	GO:0061634	alpha-D-xyloside xylohydrolase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	"Source name ""alpha-xylosidase"" maps to arabinosidase (EC 3.2.1.99); GO:0031222 was wrong namespace (biological process)"	2026-05-03	3.2.1.99; lit-audit-CRITICAL: was GO:0046558 (an arabinosidase, EC 3.2.1.99 — totally wrong enzyme); GO:0061634 (EC 3.2.1.177) is the actual alpha-xylosidase
n-acetyl-glucosidase	n-acetyl-glucosidase	GO:0004563	beta-N-acetylhexosaminidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	N-acetylglucosaminidase activity	2026-05-03	3.2.1.52
beta-fucosidase	beta-fucosidase	GO:0033907	beta-D-fucosidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Cleaves beta-glycosidic bonds (EC 3.2.1.38); prior mapping used alpha-L-fucosidase (EC 3.2.1.51), wrong stereochemistry	2026-05-03	3.2.1.38
acc deaminase	acc deaminase	GO:0008660	1-aminocyclopropane-1-carboxylate deaminase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Degrades ACC (ethylene precursor); GO:0019131 was obsolete (tripeptidyl-peptidase I)	2026-05-03	3.5.99.7
peptide synthetase	peptide synthetase	GO:0016874	ligase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Peptide bond formation enzyme	2026-05-03	
tyrosine arylamidase	tyrosine arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, tyrosine-specific	2026-05-03	
alanine phenylalanin proline arylamidase	alanine phenylalanin proline arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Multi-substrate arylamidase (aminopeptidase)	2026-05-03	
lipase (Tween 80)	lipase (tween 80)	GO:0016788	hydrolase activity, acting on ester bonds	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Lipase tested with Tween 80 substrate (polysorbate)	2026-05-03	
phenylalaninase	phenylalaninase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Phenylalanine-specific aminopeptidase	2026-05-03	
skimmed milk protease	skimmed milk protease	GO:0008233	peptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Protease tested with skimmed milk substrate	2026-05-03	
beta-alanine arylamidase pNA	beta-alanine arylamidase pna	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Beta-alanine specific arylamidase with pNA chromogen	2026-05-03	
deaminases	deaminases	GO:0019239	deaminase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Broad term for deamination enzymes	2026-05-03	
glutamyl arylamidase pNA	glutamyl arylamidase pna	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Glutamate-specific arylamidase with pNA chromogen	2026-05-03	
glu–gly–arg-arylamidase	glu–gly–arg-arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Tripeptide-specific arylamidase	2026-05-03	
lactosidase	lactosidase	GO:0004565	beta-galactosidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Synonym for beta-galactosidase (lactose-specific)	2026-05-03	3.2.1.23
