subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date	emit_predicate	emit_category
degradation: egg yolk	degradation: egg yolk	FOODON:03315772	chicken egg yolk food product	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	"Use FOODON for food substances; lecithinase activity; FOODON:00001274 was ""egg food product"" (too broad), FOODON:03315772 confirmed as ""chicken egg yolk food product"""	2026-05-03	METPO:2000007	biolink:Food
degradation: 4-nitrophenyl beta-D-galactopyranoside	degradation: 4-nitrophenyl beta-d-galactopyranoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Chromogenic substrate for beta-galactosidase; CHEBI:52701 was 1-hydroxy-1,3-dioxobenziodoxole (IBX reagent), completely wrong; CHEBI:355715 confirmed as 4-nitrophenyl-beta-D-galactoside	2026-05-03	METPO:2000007	biolink:ChemicalEntity
produces: methane from formate	produces: methane from formate	CHEBI:16183	methane	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	"Parse ""from formate"" separately; methanogenesis pathway from formate oxidation"	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: DL-lactate	produces: dl-lactate	CHEBI:24996	lactate	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Generic lactate (unspecified stereochemistry); CHEBI:422 was (S)-lactic acid (only L-form), wrong for racemic DL mixture; CHEBI:16651 is the generic lactate anion; lit-audit: was CHEBI:16651 ((S)-lactate, L-form only); generic DL-lactate parent is CHEBI:24996	2026-05-03	METPO:2000202	biolink:ChemicalEntity
reduction: arsenate detoxification	reduction: arsenate detoxification	CHEBI:29125	arsenate(3-)	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Dissimilatory arsenate reduction; detoxification context. Corrected 2026-04-30 from CHEBI:29242 (arsenite(1-)) per MIM reconciliation	2026-05-03	METPO:2000017	biolink:ChemicalEntity
reduction: amorphous iron (iii) oxide	reduction: amorphous iron (iii) oxide	CHEBI:192761	ferrihydrite	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Dissimilatory iron reduction to Fe(II); CHEBI:82594 was Ferritin (wrong); ferrihydrite is the amorphous Fe(III) oxyhydroxide used in iron reduction experiments	2026-05-03	METPO:2000017	biolink:ChemicalEntity
reduction: amorphous fe(iii) oxyhydroxid	reduction: amorphous fe(iii) oxyhydroxid	CHEBI:192761	ferrihydrite	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Variant spelling; CHEBI:82594 was Ferritin (wrong)	2026-05-03	METPO:2000017	biolink:ChemicalEntity
reduction: glutathione oxidized	reduction: glutathione oxidized	CHEBI:17858	glutathione disulfide	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Reduction of oxidized glutathione (GSSG) to reduced form (GSH)	2026-05-03	METPO:2000017	biolink:ChemicalEntity
reduction: 3-O-methylgallate	reduction: 3-o-methylgallate	CHEBI:28647	3-O-methylgallic acid	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Polyphenol reduction; CHEBI:68499 was 3-methylcrotonyl glycine (completely wrong); CHEBI:28647 confirmed as 3-O-methylgallic acid	2026-05-03	METPO:2000017	biolink:ChemicalEntity
hydrolysis: 4-nitrophenyl beta-D-galactopyranoside	hydrolysis: 4-nitrophenyl beta-d-galactopyranoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Beta-galactosidase substrate; chromogenic assay; CHEBI:52701 was IBX reagent (wrong)	2026-05-03	METPO:2000013	biolink:ChemicalEntity
hydrolysis: casein hydrolysate	hydrolysis: casein hydrolysate	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Map to parent protein casein; hydrolysate is product; CHEBI:17895 was L-tyrosine (completely wrong); FOODON:03420180 suggested for casein (verify via FOODON); category changed to biolink:Food	2026-05-03	METPO:2000013	biolink:Food
hydrolysis: cationic chitosan	hydrolysis: cationic chitosan	CHEBI:16261	chitosan	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Cationic = positively charged; chitosan is the base polymer	2026-05-03	METPO:2000013	biolink:ChemicalEntity
hydrolysis: crab shell chitin	hydrolysis: crab shell chitin	CHEBI:17029	chitin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Chitin from crab shells; chitinase activity	2026-05-03	METPO:2000013	biolink:ChemicalEntity
hydrolysis: milk	hydrolysis: milk	UBERON:0001913	milk	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	"Lactose or protein hydrolysis; FOODON:03301422 was ""sweet corn kernel (raw)"" (completely wrong); UBERON:0001913 confirmed as ""milk"""	2026-05-03	METPO:2000013	biolink:Food
aerobic catabolization: dihydrogen	aerobic catabolization: dihydrogen	CHEBI:18276	dihydrogen	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	H2 oxidation under aerobic conditions; METPO:2000032 predicate confirmed in metpo.owl. Corrected 2026-04-30 from CHEBI:29356 (oxide(2-)) per MIM reconciliation	2026-05-03	METPO:2000032	biolink:ChemicalEntity
aerobic catabolization: acetate	aerobic catabolization: acetate	CHEBI:30089	acetate	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Aerobic acetate oxidation via TCA cycle	2026-05-03	METPO:2000032	biolink:ChemicalEntity
anaerobic catabolization: acetate	anaerobic catabolization: acetate	CHEBI:30089	acetate	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Anaerobic acetate oxidation; METPO:2000048 predicate confirmed in metpo.owl	2026-05-03	METPO:2000048	biolink:ChemicalEntity
utilizes: 4-nitrophenyl beta-D-galactopyranoside	utilizes: 4-nitrophenyl beta-d-galactopyranoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Generic utilization; CHEBI:52701 was IBX reagent (wrong)	2026-05-03	METPO:2000001	biolink:ChemicalEntity
utilizes: 1,2-propandiol	utilizes: 1,2-propandiol	CHEBI:16997	propane-1,2-diol	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Propylene glycol utilization; CHEBI:16240 was hydrogen peroxide (completely wrong); CHEBI:16997 confirmed as propane-1,2-diol	2026-05-03	METPO:2000001	biolink:ChemicalEntity
hydrolysis: urea	hydrolysis: urea	CHEBI:16199	urea	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Urease activity; common material fallback	2026-05-03	METPO:2000013	biolink:ChemicalEntity
degradation: gelatin	degradation: gelatin	FOODON:03544158	gelatine (efsa foodex2)	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	"Protein degradation; gelatinase activity; FOODON:03311170 was ""rosemary (ground, dried)"" (completely wrong); FOODON:03544158 confirmed as gelatine"	2026-05-03	METPO:2000007	biolink:Food
hydrolysis: gelatin	hydrolysis: gelatin	FOODON:03544158	gelatine (efsa foodex2)	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	"Protein hydrolysis; gelatinase activity; FOODON:03311170 was ""rosemary (ground, dried)"" (completely wrong)"	2026-05-03	METPO:2000013	biolink:Food
hydrolysis: esculin	hydrolysis: esculin	CHEBI:4853	esculin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Beta-glucosidase substrate; coumarin glycoside; CHEBI:4806 was (-)-epigallocatechin 3-gallate (EGCG, green tea polyphenol), completely wrong; CHEBI:4853 confirmed as esculin	2026-05-03	METPO:2000013	biolink:ChemicalEntity
degradation: starch	degradation: starch	CHEBI:28017	starch	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Amylase activity; polysaccharide degradation	2026-05-03	METPO:2000007	biolink:ChemicalEntity
hydrolysis: casein	hydrolysis: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Protease activity on casein; high-frequency trait (1.16M true obs); casein is a food protein not in CHEBI; FOODON:03420180 confirmed as casein	2026-05-03	METPO:2000013	biolink:Food
degradation: casein	degradation: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein degradation; protease activity; FOODON:03420180 (casein)	2026-05-03	METPO:2000007	biolink:Food
utilizes: casein	utilizes: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Generic casein utilization; FOODON:03420180 (casein)	2026-05-03	METPO:2000001	biolink:Food
assimilation: casein	assimilation: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein assimilation; FOODON:03420180 (casein)	2026-05-03	METPO:2000002	biolink:Food
carbon source: casein	carbon source: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein as carbon source; FOODON:03420180 (casein)	2026-05-03	METPO:2000006	biolink:Food
growth: casein	growth: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Growth on casein; FOODON:03420180 (casein)	2026-05-03	METPO:2000012	biolink:Food
growth: casein hydrolysate	growth: casein hydrolysate	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Growth on casein hydrolysate; maps to parent protein casein; FOODON:03420180	2026-05-03	METPO:2000012	biolink:Food
fermentation: casein hydrolysate	fermentation: casein hydrolysate	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Fermentation of casein hydrolysate; maps to parent protein casein; FOODON:03420180	2026-05-03	METPO:2000011	biolink:Food
nitrogen source: casein	nitrogen source: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein as nitrogen source; FOODON:03420180 (casein)	2026-05-03	METPO:2000014	biolink:Food
nitrogen source: casein hydrolysate	nitrogen source: casein hydrolysate	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein hydrolysate as nitrogen source; maps to parent protein casein; FOODON:03420180	2026-05-03	METPO:2000014	biolink:Food
carbon source: casein hydrolysate	carbon source: casein hydrolysate	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein hydrolysate as carbon source; maps to parent protein casein; FOODON:03420180	2026-05-03	METPO:2000006	biolink:Food
energy source: casein hydrolysate	energy source: casein hydrolysate	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein hydrolysate as energy source; maps to parent protein casein; FOODON:03420180	2026-05-03	METPO:2000010	biolink:Food
required for growth: casein	required for growth: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein required as growth factor; FOODON:03420180 (casein)	2026-05-03	METPO:2000018	biolink:Food
builds acid from: casein	builds acid from: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Acid production from casein proteolysis; FOODON:03420180 (casein)	2026-05-03	METPO:2000003	biolink:Food
oxidation: casein	oxidation: casein	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Oxidative casein catabolism; FOODON:03420180 (casein)	2026-05-03	METPO:2000016	biolink:Food
assimilation: casein hydrolysate	assimilation: casein hydrolysate	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casein hydrolysate assimilation; maps to parent protein casein; FOODON:03420180	2026-05-03	METPO:2000002	biolink:Food
hydrolysis: skimmed milk	hydrolysis: skimmed milk	FOODON:03301484	skim milk food product	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Hydrolysis of skimmed milk proteins/lactose; FOODON:03301484 (skim milk food product)	2026-05-03	METPO:2000013	biolink:Food
degradation: skimmed milk	degradation: skimmed milk	FOODON:03301484	skim milk food product	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Skimmed milk degradation; FOODON:03301484 (skim milk food product)	2026-05-03	METPO:2000007	biolink:Food
degradation: milk	degradation: milk	UBERON:0001913	milk	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Milk degradation; UBERON:0001913 confirmed as milk	2026-05-03	METPO:2000007	biolink:Food
utilizes: milk	utilizes: milk	UBERON:0001913	milk	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Generic milk utilization; UBERON:0001913 (milk)	2026-05-03	METPO:2000001	biolink:Food
assimilation: milk	assimilation: milk	UBERON:0001913	milk	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Milk assimilation; UBERON:0001913 (milk)	2026-05-03	METPO:2000002	biolink:Food
carbon source: yeast extract	carbon source: yeast extract	FOODON:03315426	yeast extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Yeast extract as carbon source; FOODON:03315426 confirmed as yeast extract	2026-05-03	METPO:2000006	biolink:Food
growth: yeast extract	growth: yeast extract	FOODON:03315426	yeast extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Growth on yeast extract; FOODON:03315426 (yeast extract)	2026-05-03	METPO:2000012	biolink:Food
growth: yeast extract (0.01 %, w/v)	growth: yeast extract (0.01 %, w/v)	FOODON:03315426	yeast extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Growth on dilute yeast extract (0.01% w/v); maps to FOODON:03315426 (yeast extract)	2026-05-03	METPO:2000012	biolink:Food
required for growth: yeast extract	required for growth: yeast extract	FOODON:03315426	yeast extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Yeast extract required for growth; FOODON:03315426 (yeast extract)	2026-05-03	METPO:2000018	biolink:Food
energy source: yeast extract	energy source: yeast extract	FOODON:03315426	yeast extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Yeast extract as energy source; FOODON:03315426 (yeast extract)	2026-05-03	METPO:2000010	biolink:Food
electron donor: yeast extract	electron donor: yeast extract	FOODON:03315426	yeast extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Yeast extract as electron donor (complex organic mix); FOODON:03315426 (yeast extract)	2026-05-03	METPO:2000009	biolink:Food
nitrogen source: yeast extract	nitrogen source: yeast extract	FOODON:03315426	yeast extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Yeast extract as nitrogen source; FOODON:03315426 (yeast extract)	2026-05-03	METPO:2000014	biolink:Food
assimilation: meat extract	assimilation: meat extract	FOODON:03315424	meat extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Meat extract assimilation; FOODON:03315424 confirmed as meat extract	2026-05-03	METPO:2000002	biolink:Food
growth: meat extract	growth: meat extract	FOODON:03315424	meat extract	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Growth on meat extract; FOODON:03315424 (meat extract)	2026-05-03	METPO:2000012	biolink:Food
growth: casitone	growth: casitone	FOODON:03420180	casein	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Casitone = tryptic digest of casein (BD brand); maps to parent protein casein; FOODON:03420180	2026-05-03	METPO:2000012	biolink:Food
produces: setamycin	produces: setamycin	mesh:C032953	setamycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:setamycin; MIM authoritative mapping → mesh:C032953	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: gardimycin	produces: gardimycin	mesh:C012993	gardimycin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:gardimycin; MIM authoritative mapping → mesh:C012993	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: kijanimicin	produces: kijanimicin	CHEBI:220048	kijanimicin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: candiplanecin	produces: candiplanecin	mesh:C033379	candiplanecin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:candiplanecin; MIM authoritative mapping → mesh:C033379	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: decaplanin	produces: decaplanin	mesh:C076135	decaplanin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:decaplanin; MIM authoritative mapping → mesh:C076135	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: ristocetin B	produces: ristocetin b	kgmicrobe.compound:ristocetin_b	ristocetin B	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: Cetocycline	produces: cetocycline	NCIT:C98044	Cetocycline	NCIT	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative NCIT 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: butyricin 7423	produces: butyricin 7423	mesh:C010427	butyricin 7423	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:butyricin_7423; MIM authoritative mapping → mesh:C010427	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: dopsisamine	produces: dopsisamine	mesh:C048266	dopsisamine	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:dopsisamine; MIM authoritative mapping → mesh:C048266	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: indochrome	produces: indochrome	kgmicrobe.compound:indochrome	indochrome	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: nocamycin	produces: nocamycin	CHEBI:219652	nocamycin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: hitachimycin	produces: hitachimycin	kgmicrobe.compound:hitachimycin	hitachimycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: ardacin B	produces: ardacin b	kgmicrobe.compound:ardacin_b	ardacin B	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: Ethylenediamine-N,N'-disuccinic acid	produces: ethylenediamine-n,n'-disuccinic acid	kgmicrobe.compound:ethylenediamine_n_n_prime_disuccinic_acid	Ethylenediamine-N,N'-disuccinic acid	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: halomicin	produces: halomicin	kgmicrobe.compound:halomicin	halomicin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: mycobacidin	produces: mycobacidin	mesh:C010250	mycobacidin	MESH	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:mycobacidin; MIM authoritative mapping → mesh:C010250	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: geomycin	produces: geomycin	kgmicrobe.compound:geomycin	geomycin	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: aburamycin A	produces: aburamycin a	kgmicrobe.compound:aburamycin_a	aburamycin A	KGMICROBE.COMPOUND	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: poly(L-lysine) polymer	produces: poly(l-lysine) polymer	CHEBI:61490	poly(L-lysine) polymer	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; lit-audit: was kgmicrobe.compound:poly_l_lysine_polymer; public CHEBI exact term exists	2026-05-03	METPO:2000202	biolink:ChemicalEntity
produces: monazomycin	produces: monazomycin	CHEBI:201539	monazomycin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation	2026-05-03	METPO:2000202	biolink:ChemicalEntity
