ID	label	TYPE	parent classes (one strongly preferred)	definition	definition source	term editor	comment	biolink close match	confirmed exact synonym	literature mining related synonyms	madin synonym or field	Madin synonym source	bacdive keyword synonym	Bacdive synonym source	bactotraits related synonym	Bactotraits synonym source	metatraits synonym	MetaTraits synonym source	measurement_unit_ucum	range_min	range_max	equivalent_class_formula
METPO:2000017	reduces																reduction: nitrate|reduction: arsenate|reduction: sulfate|reduction: iron|reduction: manganese|reduction: selenate|reduction: chromate|reduction: uranium|reduction: perchlorate|reduction: chlorate|reduction: nitrite|reduction: nitrous oxide|reduction: thiosulfate	https://metatraits.embl.de/				
METPO:2000016	oxidizes																oxidation: methanol|oxidation: ethanol|oxidation: ammonia|oxidation: methane|oxidation: hydrogen|oxidation: carbon monoxide|oxidation: formate|oxidation: acetate|oxidation: sulfide|oxidation: thiosulfate|oxidation: sulfite|oxidation: elemental sulfur|oxidation: iron|oxidation: manganese|oxidation: arsenite	https://metatraits.embl.de/				
METPO:2000605	oxidizes in darkness																oxidation in darkness: sulfide|oxidation in darkness: thiosulfate|oxidation in darkness: iron|oxidation in darkness: manganese|oxidation in darkness: arsenite|oxidation in darkness: hydrogen|oxidation in darkness: methane|oxidation in darkness: ammonia|oxidation in darkness: nitrite|oxidation in darkness: elemental sulfur	https://metatraits.embl.de/				
METPO:2000007	degrades																degradation: cellulose|degradation: chitin|degradation: starch|degradation: xylan|degradation: pectin|degradation: lignin|degradation: hemicellulose|degradation: keratin|degradation: protein|degradation: lipid|degradation: DNA|degradation: RNA|degradation: urea	https://metatraits.embl.de/				
METPO:2000202	produces																produces: acetate|produces: butyrate|produces: propionate|produces: lactate|produces: formate|produces: ethanol|produces: methane|produces: hydrogen|produces: hydrogen sulfide|produces: ammonia|produces: nitrite|produces: nitrate|produces: sulfate|produces: carbon dioxide	https://metatraits.embl.de/				
METPO:2000013	hydrolyzes																hydrolysis: urea|hydrolysis: starch|hydrolysis: casein|hydrolysis: gelatin|hydrolysis: esculin|hydrolysis: DNA|hydrolysis: RNA|hydrolysis: Tween 80|hydrolysis: Tween 20	https://metatraits.embl.de/				
METPO:2000019	uses for respiration																respiration: nitrogen|respiration: oxygen|respiration: sulfur|respiration: iron|respiration: manganese|respiration: arsenate|respiration: selenate|respiration: nitrate|respiration: nitrite|respiration: fumarate	https://metatraits.embl.de/				
METPO:2000032	uses for aerobic catabolization																aerobic catabolization: glucose|aerobic catabolization: fructose|aerobic catabolization: sucrose|aerobic catabolization: lactose|aerobic catabolization: maltose|aerobic catabolization: xylose|aerobic catabolization: arabinose|aerobic catabolization: mannose|aerobic catabolization: galactose|aerobic catabolization: ribose|aerobic catabolization: cellobiose|aerobic catabolization: trehalose|aerobic catabolization: glycerol|aerobic catabolization: mannitol|aerobic catabolization: sorbitol|aerobic catabolization: acetate|aerobic catabolization: citrate|aerobic catabolization: succinate|aerobic catabolization: malate|aerobic catabolization: fumarate|aerobic catabolization: pyruvate|aerobic catabolization: lactate|aerobic catabolization: propionate|aerobic catabolization: butyrate	https://metatraits.embl.de/				
METPO:2000048	uses for anaerobic catabolization																anaerobic catabolization: glucose|anaerobic catabolization: fructose|anaerobic catabolization: sucrose|anaerobic catabolization: lactose|anaerobic catabolization: maltose|anaerobic catabolization: xylose|anaerobic catabolization: arabinose|anaerobic catabolization: mannose|anaerobic catabolization: galactose|anaerobic catabolization: ribose|anaerobic catabolization: cellobiose|anaerobic catabolization: trehalose|anaerobic catabolization: glycerol|anaerobic catabolization: mannitol|anaerobic catabolization: sorbitol|anaerobic catabolization: acetate|anaerobic catabolization: citrate|anaerobic catabolization: succinate|anaerobic catabolization: malate|anaerobic catabolization: fumarate|anaerobic catabolization: pyruvate|anaerobic catabolization: lactate|anaerobic catabolization: propionate|anaerobic catabolization: butyrate	https://metatraits.embl.de/				
METPO:2000002	assimilates																assimilation: glucose|assimilation: fructose|assimilation: sucrose|assimilation: lactose|assimilation: maltose|assimilation: xylose|assimilation: arabinose|assimilation: mannose|assimilation: galactose|assimilation: ribose|assimilation: cellobiose|assimilation: trehalose|assimilation: glycerol|assimilation: mannitol|assimilation: sorbitol|assimilation: acetate|assimilation: citrate|assimilation: succinate|assimilation: malate|assimilation: fumarate|assimilation: pyruvate|assimilation: lactate|assimilation: propionate|assimilation: butyrate|assimilation: nitrate|assimilation: ammonia|assimilation: sulfate	https://metatraits.embl.de/				
