placeholder_curie	category	label	source_columns	occurrences	target_curie	target_label	mapping_status	curator_notes
kgmicrobe.trait:sucrose	biolink:PhenotypicQuality	sucrose	BacDive_Metabolite_utilization	1265			UNMAPPED	
kgmicrobe.trait:8	biolink:PhenotypicQuality	8	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	1230			UNMAPPED	
kgmicrobe.trait:6	biolink:PhenotypicQuality	6	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	1219			UNMAPPED	
kgmicrobe.trait:0129_2	biolink:PhenotypicQuality	0129 (2	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	1212			UNMAPPED	
kgmicrobe.trait:4_diamino_6	biolink:PhenotypicQuality	4-Diamino-6	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	1212			UNMAPPED	
kgmicrobe.trait:7_di_iso_propylpteridine_phosphate	biolink:PhenotypicQuality	7-di-iso-propylpteridine phosphate)	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	1212			UNMAPPED	
kgmicrobe.trait:lactose	biolink:PhenotypicQuality	lactose	BacDive_Metabolite_utilization	1209			UNMAPPED	
kgmicrobe.trait:alpha_chymotrypsin	biolink:PhenotypicQuality	alpha-chymotrypsin	BacDive_Enzyme_activity	1196			UNMAPPED	
kgmicrobe.trait:host_body_product	biolink:PhenotypicQuality	#Host Body Product	BacDive_Isolation_category_1	1182			UNMAPPED	
kgmicrobe.trait:mannose	biolink:PhenotypicQuality	mannose	BacDive_Metabolite_utilization	1180			UNMAPPED	
kgmicrobe.trait:mannitol	biolink:PhenotypicQuality	mannitol	BacDive_Metabolite_utilization	1116			UNMAPPED	
kgmicrobe.trait:plant	biolink:PhenotypicQuality	#Plant	BacDive_Isolation_category_2	1102			UNMAPPED	
kgmicrobe.trait:10_14_days	biolink:PhenotypicQuality	10-14 days	BacDive_Incubation_period	1081			UNMAPPED	
kgmicrobe.trait:malate	biolink:PhenotypicQuality	malate	BacDive_Metabolite_utilization	1076			UNMAPPED	
kgmicrobe.trait:d_ribose	biolink:PhenotypicQuality	D-ribose	BacDive_Metabolite_utilization	1069			UNMAPPED	
kgmicrobe.trait:0_5	biolink:PhenotypicQuality	0-5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	1053			UNMAPPED	
kgmicrobe.trait:glycerol	biolink:PhenotypicQuality	glycerol	BacDive_Metabolite_utilization	1052			UNMAPPED	
kgmicrobe.trait:crops	biolink:PhenotypicQuality	Crops)	BacDive_Isolation_category_3	1021			UNMAPPED	
kgmicrobe.trait:herbaceous_plants_grass	biolink:PhenotypicQuality	#Herbaceous plants (Grass	BacDive_Isolation_category_3	1021			UNMAPPED	
kgmicrobe.trait:coccus_shaped	biolink:PhenotypicQuality	coccus-shaped	BacDive_Cell_shape	999			UNMAPPED	
kgmicrobe.trait:microaerophile	biolink:PhenotypicQuality	microaerophile	BacDive_Oxygen_tolerance	982			UNMAPPED	
kgmicrobe.trait:arginine	biolink:PhenotypicQuality	arginine	BacDive_Metabolite_utilization	947			UNMAPPED	
kgmicrobe.trait:2_days	biolink:PhenotypicQuality	2 days	BacDive_Incubation_period	944			UNMAPPED	
kgmicrobe.trait:gluconate	biolink:PhenotypicQuality	gluconate	BacDive_Metabolite_utilization	936			UNMAPPED	
kgmicrobe.trait:arginine_dihydrolase	biolink:PhenotypicQuality	arginine dihydrolase	BacDive_Enzyme_activity	934			UNMAPPED	
kgmicrobe.trait:4	biolink:PhenotypicQuality	4	BacDive_Cell_length|BacDive_Colony_size|BacDive_Metabolite_utilization|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	926			UNMAPPED	
kgmicrobe.trait:gastrointestinal_tract	biolink:PhenotypicQuality	#Gastrointestinal tract	BacDive_Isolation_category_2	917			UNMAPPED	
kgmicrobe.trait:l_arabinose	biolink:PhenotypicQuality	L-arabinose	BacDive_Metabolite_utilization	911			UNMAPPED	
kgmicrobe.trait:mammals	biolink:PhenotypicQuality	#Mammals	BacDive_Isolation_category_2	887			UNMAPPED	
kgmicrobe.trait:human	biolink:PhenotypicQuality	#Human	BacDive_Isolation_category_2	879			UNMAPPED	
kgmicrobe.trait:n_acetyl_beta_glucosaminidase	biolink:PhenotypicQuality	N-acetyl-beta-glucosaminidase	BacDive_Enzyme_activity	867			UNMAPPED	
kgmicrobe.trait:n_acetylglucosamine	biolink:PhenotypicQuality	N-acetylglucosamine	BacDive_Metabolite_utilization	856			UNMAPPED	
kgmicrobe.trait:d_xylose	biolink:PhenotypicQuality	D-xylose	BacDive_Metabolite_utilization	828			UNMAPPED	
kgmicrobe.trait:oxidase	biolink:PhenotypicQuality	oxidase	BacDive_Enzyme_activity	805			UNMAPPED	
kgmicrobe.pathway:animal_parasites_or_symbionts	biolink:BiologicalProcess	animal_parasites_or_symbionts	faprotax:type_of_metabolism	802			UNMAPPED	
kgmicrobe.trait:arbutin	biolink:PhenotypicQuality	arbutin	BacDive_Metabolite_utilization	792			UNMAPPED	
kgmicrobe.trait:infection	biolink:PhenotypicQuality	#Infection	BacDive_Isolation_category_1	768			UNMAPPED	
kgmicrobe.trait:valine_arylamidase	biolink:PhenotypicQuality	valine arylamidase	BacDive_Enzyme_activity	765			UNMAPPED	
kgmicrobe.trait:chloramphenicol	biolink:PhenotypicQuality	chloramphenicol	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	757			UNMAPPED	
kgmicrobe.trait:ampicillin	biolink:PhenotypicQuality	ampicillin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	734			UNMAPPED	
kgmicrobe.trait:alpha_mannosidase	biolink:PhenotypicQuality	alpha-mannosidase	BacDive_Enzyme_activity	733			UNMAPPED	
kgmicrobe.trait:amygdalin	biolink:PhenotypicQuality	amygdalin	BacDive_Metabolite_utilization	720			UNMAPPED	
kgmicrobe.trait:0_4	biolink:PhenotypicQuality	0.4	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	687			UNMAPPED	
kgmicrobe.trait:3_days	biolink:PhenotypicQuality	3 days	BacDive_Incubation_period	671			UNMAPPED	
kgmicrobe.trait:glycogen	biolink:PhenotypicQuality	glycogen	BacDive_Metabolite_utilization	662			UNMAPPED	
kgmicrobe.trait:kanamycin	biolink:PhenotypicQuality	kanamycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	662			UNMAPPED	
kgmicrobe.trait:raffinose	biolink:PhenotypicQuality	raffinose	BacDive_Metabolite_utilization	643			UNMAPPED	
kgmicrobe.trait:gentamicin	biolink:PhenotypicQuality	gentamicin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	638			UNMAPPED	
kgmicrobe.trait:saline	biolink:PhenotypicQuality	#Saline	BacDive_Isolation_category_2	638			UNMAPPED	
kgmicrobe.trait:0_2	biolink:PhenotypicQuality	0-2	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	633			UNMAPPED	
kgmicrobe.trait:alanine	biolink:PhenotypicQuality	alanine	BacDive_Metabolite_production|BacDive_Metabolite_utilization	620			UNMAPPED	
kgmicrobe.pathway:ureolysis	biolink:BiologicalProcess	ureolysis	faprotax:type_of_metabolism	600			UNMAPPED	
kgmicrobe.trait:waste	biolink:PhenotypicQuality	#Waste	BacDive_Isolation_category_2	598			UNMAPPED	
kgmicrobe.trait:urea	biolink:PhenotypicQuality	urea	BacDive_Metabolite_production|BacDive_Metabolite_utilization	592			UNMAPPED	
kgmicrobe.trait:2_5	biolink:PhenotypicQuality	2-5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	580			UNMAPPED	
kgmicrobe.trait:melibiose	biolink:PhenotypicQuality	melibiose	BacDive_Metabolite_utilization	579			UNMAPPED	
kgmicrobe.trait:amylase	biolink:PhenotypicQuality	amylase	BacDive_Enzyme_activity	577			UNMAPPED	
kgmicrobe.trait:caseinase	biolink:PhenotypicQuality	caseinase	BacDive_Enzyme_activity	567			UNMAPPED	
kgmicrobe.trait:hippurate	biolink:PhenotypicQuality	hippurate	BacDive_Metabolite_utilization	565			UNMAPPED	
kgmicrobe.trait:rhamnose	biolink:PhenotypicQuality	rhamnose	BacDive_Metabolite_utilization	557			UNMAPPED	
kgmicrobe.trait:lactate	biolink:PhenotypicQuality	lactate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	555			UNMAPPED	
kgmicrobe.trait:food_production	biolink:PhenotypicQuality	#Food production	BacDive_Isolation_category_2	549			UNMAPPED	
kgmicrobe.trait:casein	biolink:PhenotypicQuality	casein	BacDive_Metabolite_production|BacDive_Metabolite_utilization	546			UNMAPPED	
kgmicrobe.trait:gamma_glutamyltransferase	biolink:PhenotypicQuality	gamma-glutamyltransferase	BacDive_Enzyme_activity	542			UNMAPPED	
kgmicrobe.trait:trypsin	biolink:PhenotypicQuality	trypsin	BacDive_Enzyme_activity	540			UNMAPPED	
kgmicrobe.trait:erythromycin	biolink:PhenotypicQuality	erythromycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	532			UNMAPPED	
kgmicrobe.trait:3	biolink:PhenotypicQuality	3	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	531			UNMAPPED	
kgmicrobe.trait:beta_glucuronidase	biolink:PhenotypicQuality	beta-glucuronidase	BacDive_Enzyme_activity	531			UNMAPPED	
kgmicrobe.trait:feces_stool	biolink:PhenotypicQuality	#Feces (Stool)	BacDive_Isolation_category_3	531			UNMAPPED	
kgmicrobe.trait:streptomycin	biolink:PhenotypicQuality	streptomycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	531			UNMAPPED	
kgmicrobe.trait:agriculture	biolink:PhenotypicQuality	#Agriculture	BacDive_Isolation_category_2	520			UNMAPPED	
kgmicrobe.trait:0_6	biolink:PhenotypicQuality	0.6	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	519			UNMAPPED	
kgmicrobe.pathway:aromatic_compound_degradation	biolink:BiologicalProcess	aromatic_compound_degradation	faprotax:type_of_metabolism	516			UNMAPPED	
kgmicrobe.trait:dextrin	biolink:PhenotypicQuality	dextrin	BacDive_Metabolite_utilization	513			UNMAPPED	
kgmicrobe.trait:thermophilic_45_c	biolink:PhenotypicQuality	#Thermophilic (>45°C)	BacDive_Isolation_category_2	508			UNMAPPED	
kgmicrobe.trait:other	biolink:PhenotypicQuality	#Other	BacDive_Cell_shape|BacDive_Isolation_category_2	506			UNMAPPED	
kgmicrobe.trait:tetracycline	biolink:PhenotypicQuality	tetracycline	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	503			UNMAPPED	
kgmicrobe.pathway:respiration_of_sulfur_compounds	biolink:BiologicalProcess	respiration_of_sulfur_compounds	faprotax:type_of_metabolism	502			UNMAPPED	
kgmicrobe.trait:lake_large	biolink:PhenotypicQuality	#Lake (large)	BacDive_Isolation_category_3	498			UNMAPPED	
kgmicrobe.trait:1_2_days	biolink:PhenotypicQuality	1-2 days	BacDive_Incubation_period	497			UNMAPPED	
kgmicrobe.trait:patient	biolink:PhenotypicQuality	#Patient	BacDive_Isolation_category_2	482			UNMAPPED	
kgmicrobe.trait:fluids	biolink:PhenotypicQuality	#Fluids	BacDive_Isolation_category_2	478			UNMAPPED	
kgmicrobe.pathway:nitrogen_fixation	biolink:BiologicalProcess	nitrogen_fixation	faprotax:type_of_metabolism	477			UNMAPPED	
kgmicrobe.trait:10_37	biolink:PhenotypicQuality	10-37	BacDive_Temperature_for_growth	476			UNMAPPED	
kgmicrobe.trait:5	biolink:PhenotypicQuality	5	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	474			UNMAPPED	
kgmicrobe.trait:adipate	biolink:PhenotypicQuality	adipate	BacDive_Metabolite_utilization	466			UNMAPPED	
kgmicrobe.trait:glutamate	biolink:PhenotypicQuality	glutamate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	465			UNMAPPED	
kgmicrobe.trait:15_37	biolink:PhenotypicQuality	15-37	BacDive_Temperature_for_growth	460			UNMAPPED	
kgmicrobe.trait:oral_cavity_and_airways	biolink:PhenotypicQuality	#Oral cavity and airways	BacDive_Isolation_category_2	455			UNMAPPED	
kgmicrobe.pathway:nitrogen_respiration	biolink:BiologicalProcess	nitrogen_respiration	faprotax:type_of_metabolism	453			UNMAPPED	
kgmicrobe.trait:polar	biolink:PhenotypicQuality	polar	BacDive_Flagellum_arrangement|BacDive_Isolation_category_3	445			UNMAPPED	
kgmicrobe.pathway:nitrate_respiration	biolink:BiologicalProcess	nitrate_respiration	faprotax:type_of_metabolism	441			UNMAPPED	
kgmicrobe.trait:1_2	biolink:PhenotypicQuality	1-2	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	437			UNMAPPED	
kgmicrobe.trait:industrial	biolink:PhenotypicQuality	#Industrial	BacDive_Isolation_category_2	433			UNMAPPED	
kgmicrobe.trait:trehalose	biolink:PhenotypicQuality	trehalose	BacDive_Metabolite_utilization	432			UNMAPPED	
kgmicrobe.trait:aspartate	biolink:PhenotypicQuality	aspartate	BacDive_Metabolite_utilization	431			UNMAPPED	
kgmicrobe.trait:invertebrates_other	biolink:PhenotypicQuality	#Invertebrates (Other)	BacDive_Isolation_category_2	427			UNMAPPED	
kgmicrobe.trait:cellulose	biolink:PhenotypicQuality	cellulose	BacDive_Metabolite_production|BacDive_Metabolite_utilization	425			UNMAPPED	
kgmicrobe.pathway:human_associated	biolink:BiologicalProcess	human_associated	faprotax:type_of_metabolism	424			UNMAPPED	
kgmicrobe.trait:myo_inositol	biolink:PhenotypicQuality	myo-inositol	BacDive_Metabolite_utilization	421			UNMAPPED	
kgmicrobe.trait:0_3	biolink:PhenotypicQuality	0.3	BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	409			UNMAPPED	
kgmicrobe.trait:20	biolink:PhenotypicQuality	20	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	408			UNMAPPED	
kgmicrobe.trait:alpha_fucosidase	biolink:PhenotypicQuality	alpha-fucosidase	BacDive_Enzyme_activity	408			UNMAPPED	
kgmicrobe.trait:0_1	biolink:PhenotypicQuality	0-1	BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	407			UNMAPPED	
kgmicrobe.pathway:hydrocarbon_degradation	biolink:BiologicalProcess	hydrocarbon_degradation	faprotax:type_of_metabolism	406			UNMAPPED	
kgmicrobe.trait:xylose	biolink:PhenotypicQuality	xylose	BacDive_Metabolite_utilization	404			UNMAPPED	
kgmicrobe.trait:dnase	biolink:PhenotypicQuality	DNase	BacDive_Enzyme_activity	398			UNMAPPED	
kgmicrobe.trait:30_37	biolink:PhenotypicQuality	30-37	BacDive_Temperature_for_growth	396			UNMAPPED	
kgmicrobe.trait:novobiocin	biolink:PhenotypicQuality	novobiocin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	394			UNMAPPED	
kgmicrobe.trait:alpha_d_glucose	biolink:PhenotypicQuality	alpha-D-glucose	BacDive_Metabolite_utilization	393			UNMAPPED	
kgmicrobe.trait:decanoate	biolink:PhenotypicQuality	decanoate	BacDive_Metabolite_utilization	392			UNMAPPED	
kgmicrobe.trait:3_hydroxybutyrate	biolink:PhenotypicQuality	3-hydroxybutyrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	391			UNMAPPED	
kgmicrobe.trait:2_3_days	biolink:PhenotypicQuality	2-3 days	BacDive_Incubation_period	383			UNMAPPED	
kgmicrobe.trait:pyruvate	biolink:PhenotypicQuality	pyruvate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	381			UNMAPPED	
kgmicrobe.trait:d_sorbitol	biolink:PhenotypicQuality	D-sorbitol	BacDive_Metabolite_utilization	380			UNMAPPED	
kgmicrobe.trait:neomycin	biolink:PhenotypicQuality	neomycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	368			UNMAPPED	
kgmicrobe.trait:nalidixic_acid	biolink:PhenotypicQuality	nalidixic acid	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	364			UNMAPPED	
kgmicrobe.trait:tree	biolink:PhenotypicQuality	#Tree	BacDive_Isolation_category_3	360			UNMAPPED	
kgmicrobe.trait:organ	biolink:PhenotypicQuality	#Organ	BacDive_Isolation_category_2	358			UNMAPPED	
kgmicrobe.trait:lipase_c_14	biolink:PhenotypicQuality	lipase (C 14)	BacDive_Enzyme_activity	354			UNMAPPED	
kgmicrobe.trait:freshwater	biolink:PhenotypicQuality	#Freshwater	BacDive_Isolation_category_3	353			UNMAPPED	
kgmicrobe.trait:penicillin_g	biolink:PhenotypicQuality	penicillin g	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	353			UNMAPPED	
kgmicrobe.trait:1_5	biolink:PhenotypicQuality	1-5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	352			UNMAPPED	
