proposed_id	label	definition	definition_source	parent	synonyms	xrefs	subset	priority	observations	traits_addressed
METPO:1007063	colony shape	A colony morphology characterized by the overall macroscopic colony outline as observed on solid medium.	TODO:add_citation	METPO:1007062		PATO:0000052	metpo_proposal_2026_04	LOW		
METPO:1007064	circular colony	A colony shape that has a regular round outline.	TODO:add_citation	METPO:1007063	round colony		metpo_proposal_2026_04	LOW	2649	
METPO:1007065	irregular colony	A colony shape that has an irregular (non-round, non-rhizoid) outline.	TODO:add_citation	METPO:1007063			metpo_proposal_2026_04	LOW	148	
METPO:1007066	filamentous colony	A colony shape that has a thread-like or filamentous outline.	TODO:add_citation	METPO:1007063			metpo_proposal_2026_04	LOW	16	
METPO:1007067	punctiform colony	A colony shape that is very small (pinpoint), typically <1 mm in diameter.	TODO:add_citation	METPO:1007063			metpo_proposal_2026_04	LOW	11	
METPO:1007068	rhizoid colony	A colony shape that has a branching, root-like outline.	TODO:add_citation	METPO:1007063			metpo_proposal_2026_04	LOW	8	
METPO:1007069	fried-egg-shaped colony	A colony shape that has a raised opaque centre and a translucent peripheral zone, resembling a fried egg.	TODO:add_citation	METPO:1007063	fried-egg colony		metpo_proposal_2026_04	LOW	6	
METPO:1007070	pressure tolerance	A phenotype characterized by the ability to grow under elevated hydrostatic pressure.	TODO:add_citation	METPO:1000059	barophile|piezophile		metpo_proposal_2026_04	MEDIUM		
METPO:1007071	barophile phenotype	A pressure tolerance in which an organism requires or tolerates elevated hydrostatic pressure for growth.	TODO:add_citation	METPO:1007070			metpo_proposal_2026_04	MEDIUM		
METPO:1007072	radiation tolerance	A phenotype characterized by the ability to withstand ionizing or UV radiation.	TODO:add_citation	METPO:1000059	radioresistant		metpo_proposal_2026_04	MEDIUM		
METPO:1007073	osmotic tolerance	A phenotype characterized by the ability to grow under high osmotic pressure (non-NaCl).	TODO:add_citation	METPO:1000059	osmophile		metpo_proposal_2026_04	MEDIUM		
METPO:1007074	metal tolerance	A phenotype characterized by the ability to grow in the presence of elevated metal concentrations.	TODO:add_citation	METPO:1000059	metallophile		metpo_proposal_2026_04	MEDIUM		
METPO:1007076	capsule presence	A phenotype characterized by the presence of an extracellular polysaccharide capsule.	TODO:add_citation	METPO:1000059		GO:0042597	metpo_proposal_2026_04	LOW		
METPO:1007077	biofilm formation capability	A phenotype characterized by the ability to form surface-attached biofilms.	TODO:add_citation	METPO:1000059		GO:0042710	metpo_proposal_2026_04	MEDIUM		
METPO:1007080	catalase test	A biochemical test that detects catalase enzyme activity by exposing cells to hydrogen peroxide and observing for visible bubbling. The test outcome (positive or negative) is captured by its child classes; this class itself does not assert that the organism has catalase activity.	TODO:add_citation	METPO:1000059	catalase activity test|catalase assay		metpo_proposal_2026_04	MEDIUM		
METPO:1007083	catalase positive	Test-outcome phenotype where the catalase test yields a positive result (visible bubbling on H2O2). The underlying enzyme-organism relation should additionally be asserted via <organism> METPO:2000302 'shows activity of' GO:0004096 'catalase activity'.	TODO:add_citation	METPO:1007080	catalase test positive|catalase +	GO:0004096	metpo_proposal_2026_04	MEDIUM		
METPO:1007084	catalase negative	Test-outcome phenotype where the catalase test yields a negative result (no bubbling on H2O2). The underlying enzyme-organism relation should additionally be asserted via <organism> METPO:2000303 'does not show activity of' GO:0004096 'catalase activity'.	TODO:add_citation	METPO:1007080	catalase test negative|catalase -		metpo_proposal_2026_04	MEDIUM		
METPO:1007081	oxidase test	A biochemical test that detects cytochrome c oxidase activity using a redox indicator. The test outcome (positive or negative) is captured by its child classes; this class itself does not assert oxidase activity.	TODO:add_citation	METPO:1000059	oxidase activity test|cytochrome oxidase test		metpo_proposal_2026_04	MEDIUM		
METPO:1007085	oxidase positive	Test-outcome phenotype where the oxidase test yields a positive result. The underlying enzyme-organism relation should additionally be asserted via <organism> METPO:2000302 'shows activity of' GO:0004129 'cytochrome-c oxidase activity'.	TODO:add_citation	METPO:1007081	oxidase test positive|oxidase +	GO:0004129	metpo_proposal_2026_04	MEDIUM		
METPO:1007086	oxidase negative	Test-outcome phenotype where the oxidase test yields a negative result. The underlying enzyme-organism relation should additionally be asserted via <organism> METPO:2000303 'does not show activity of' GO:0004129 'cytochrome-c oxidase activity'.	TODO:add_citation	METPO:1007081	oxidase test negative|oxidase -		metpo_proposal_2026_04	MEDIUM		
METPO:1007082	urease test	A biochemical test that detects urease enzyme activity by observing urea hydrolysis (typically via a pH-indicator color change). The test outcome (positive or negative) is captured by its child classes; this class itself does not assert urease activity.	TODO:add_citation	METPO:1000059	urease activity test|urea hydrolysis test		metpo_proposal_2026_04	MEDIUM		
METPO:1007087	urease positive	Test-outcome phenotype where the urease test yields a positive result. The underlying enzyme-organism relation should additionally be asserted via <organism> METPO:2000302 'shows activity of' GO:0009039 'urease activity'.	TODO:add_citation	METPO:1007082	urease test positive|urease +	GO:0009039	metpo_proposal_2026_04	MEDIUM		
METPO:1007088	urease negative	Test-outcome phenotype where the urease test yields a negative result. The underlying enzyme-organism relation should additionally be asserted via <organism> METPO:2000303 'does not show activity of' GO:0009039 'urease activity'.	TODO:add_citation	METPO:1007082	urease test negative|urease -		metpo_proposal_2026_04	MEDIUM		
METPO:1007089	coagulase activity	A phenotype characterized by coagulase enzyme activity (clotting of blood plasma); a diagnostic marker, e.g. for Staphylococcus aureus.	TODO:add_citation	METPO:1000059	coagulase test		metpo_proposal_2026_04	MEDIUM		
METPO:1007090	coagulase positive	Test-outcome phenotype where the coagulase test yields a positive result (plasma clotting). The underlying enzyme-organism relation should additionally be asserted via <organism> METPO:2000302 'shows activity of' <coagulase enzyme term> once a sufficiently specific enzyme term is selected (no GO/EC term currently exists at the bacteriological coagulase test granularity).	TODO:add_citation	METPO:1007089	coagulase test positive|coagulase +		metpo_proposal_2026_04	MEDIUM		
METPO:1007091	coagulase negative	Test-outcome phenotype where the coagulase test yields a negative result. The underlying enzyme-organism relation should additionally be asserted via <organism> METPO:2000303 'does not show activity of' <coagulase enzyme term> once a sufficiently specific enzyme term is selected.	TODO:add_citation	METPO:1007089	coagulase test negative|coagulase -		metpo_proposal_2026_04	MEDIUM		
METPO:1007092	xerophilic phenotype	A phenotype characterized by a microbe that thrives in low water-activity environments (typically aw < 0.85), where the limiting factor is water activity (aw) rather than solute concentration; distinct from halophily and osmotic tolerance.	TODO:add_citation	METPO:1000059	xerophile|xerotolerant		metpo_proposal_2026_04	MEDIUM		
METPO:1007093	epibiont phenotype	A phenotype characterized by a microbe that lives on the external surface of a host organism or substrate, as distinct from endosymbionts (which live inside the host); captures host-association mode, not specific host taxonomy.	TODO:add_citation	METPO:1000059	epibiont|ectosymbiont		metpo_proposal_2026_04	LOW		
METPO:1007094	aquatic microorganism	Microbe with literature-attested occurrence in aquatic environments (fresh water, marine, brackish).	DOI:10.3390/microorganisms10020293	METPO:1000525	waterborne microorganism	ENVO:00002030|ENVO:00000873|ENVO:00000447	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 25,429 (aquatic biome 12,442 + freshwater biome 7,873 + marine biome 5,114).	
METPO:1007095	terrestrial microorganism	Microbe with literature-attested occurrence in terrestrial environments including soil and land biomes.	DOI:10.3390/microorganisms10020293	METPO:1000525	land microorganism	ENVO:00001998|ENVO:00000446	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 28,198 (soil 15,684 + terrestrial biome 12,514).	
METPO:1007096	marine microorganism	Microbe with literature-attested occurrence in marine (saltwater) environments.	DOI:10.3390/microorganisms10020293	METPO:1007094	seawater microorganism|halophilic marine microbe	ENVO:00000447|ENVO:00000015|ENVO:01000320|ENVO:00002113	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 16,702 (aggregated marine biome + ocean + marine environment + deep marine sediment).	
METPO:1007097	freshwater microorganism	Microbe with literature-attested occurrence in freshwater environments (lakes, rivers, ponds).	DOI:10.3390/microorganisms10020293	METPO:1007094	limnic microorganism	ENVO:00000873|ENVO:00002011|ENVO:00000022|ENVO:00000020	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 20,765 (freshwater biome 7,873 + fresh water 6,035 + river 3,936 + lake 2,921).	
METPO:1007098	soil microorganism	Microbe with literature-attested occurrence in soil environments.	DOI:10.3390/microorganisms10020293	METPO:1007095	edaphic microorganism|soil-dwelling microbe	ENVO:00001998|ENVO:00002261	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 18,850 (soil 15,684 + forest soil 3,166).	
METPO:1007099	gut-associated microorganism	Microbe with literature-attested occurrence in animal intestinal (gut) environments.	DOI:10.3390/microorganisms10020293	METPO:1000525	intestinal microorganism|enteric microbe|gut microbe	ENVO:2100002	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 3,675 (intestine environment).	
METPO:1007100	biofilm-associated microorganism	Microbe with literature-attested occurrence in biofilm structures.	DOI:10.3390/microorganisms10020293	METPO:1000525	biofilm dweller	ENVO:01000156|ENVO:00002034	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 7,655 (biofilm material 4,731 + biofilm 2,924).	
METPO:1007101	anthropogenic-environment microorganism	Microbe with literature-attested occurrence in built or human-modified environments (farms, urban infrastructure, agricultural land).	DOI:10.3390/microorganisms10020293	METPO:1000525	built-environment microbe|human-associated environment microbe	ENVO:01000313|ENVO:0010001|ENVO:00000078|ENVO:00000114	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 16,884 (aggregated anthropogenic environment + agricultural land).	
METPO:1007102	biofilm-forming	Organism capable of forming a biofilm — a structured community of microorganisms attached to a surface within a self-produced extracellular matrix.	DOI:10.3390/microorganisms10020293	METPO:1000059	biofilm producer|biofilm-competent	GO:0042710	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 109 (GO:0042710 biofilm formation).	
METPO:1007103	quorum-sensing capable	Organism capable of quorum sensing — cell-to-cell communication via secreted signaling molecules whose concentration reports on population density.	DOI:10.3390/microorganisms10020293	METPO:1000059	QS-capable|autoinducer producer	GO:0009372	metpo_proposal_2026_08_prego	MEDIUM	PREGO edges: 109 (GO:0009372 quorum sensing).	
METPO:1007105	flocculating	Organism capable of flocculation — forming aggregated cell masses that settle out of suspension.	DOI:10.3390/microorganisms10020293	METPO:1000059	flocculent|aggregating	GO:0000128	metpo_proposal_2026_08_prego	LOW	PREGO edges: 144 (GO:0000128 flocculation).	
METPO:1007106	anaerobic ammonium oxidizing	Organism capable of anaerobic respiration using ammonium as the electron donor (anammox).	DOI:10.3390/microorganisms10020293	METPO:1000059	anammox|anaerobic ammonium oxidizer	GO:0019331	metpo_proposal_2026_08_prego	LOW	PREGO edges: 88 (GO:0019331 anaerobic respiration using ammonium as electron donor).	
