original_term	term_source	chebi_id	chebi_label	chebi_formula	mapping_quality
cpd:C09992	kegg_compound	CHEBI:10039	Wilfordine		high
cpd:C08842	kegg_compound	CHEBI:10041	withanolide D		high
cpd:C10625	kegg_compound	CHEBI:10042	Withasomnine		high
cpd:C10197	kegg_compound	CHEBI:10043	wogonin		high
cpd:C10893	kegg_compound	CHEBI:10044	Wuweizisu C		high
cpd:C08465	kegg_compound	CHEBI:10045	Wyerone		high
cpd:C08466	kegg_compound	CHEBI:10046	Wyerone acid		high
cpd:C01365	kegg_compound	CHEBI:10047	X-Trp		high
cpd:C00700	kegg_compound	CHEBI:10049	XTP		high
cpd:C06488	kegg_compound	CHEBI:10050	XV638		high
cpd:C11775	kegg_compound	CHEBI:10055	Xamoterol		high
cpd:C11767	kegg_compound	CHEBI:10056	xanomeline		high
cpd:C01464	kegg_compound	CHEBI:10057	9H-xanthene		high
cpd:C09601	kegg_compound	CHEBI:10058	Xanthatin		high
cpd:C09602	kegg_compound	CHEBI:10061	Xanthinin		high
cpd:C10726	kegg_compound	CHEBI:10070	Xanthoxylin		high
cpd:C09603	kegg_compound	CHEBI:10071	Xanthumin		high
cpd:C09317	kegg_compound	CHEBI:10073	Xanthyletin		high
cpd:C08731	kegg_compound	CHEBI:10075	Xenognosin A		high
cpd:C09605	kegg_compound	CHEBI:10076	Xerantholide		high
cpd:C07913	kegg_compound	CHEBI:10082	Xylometazoline		high
cpd:C09670	kegg_compound	CHEBI:10083	Xylopine		high
cpd:C09671	kegg_compound	CHEBI:10084	Xylopinine		high
cpd:C08918	kegg_compound	CHEBI:10086	Yamogenin		high
cpd:C08919	kegg_compound	CHEBI:10087	Yamogenin 3-O-neohesperidoside		high
cpd:C10894	kegg_compound	CHEBI:10088	Yangambin		high
cpd:C09980	kegg_compound	CHEBI:10089	Yangonin		high
cpd:C08990	kegg_compound	CHEBI:10092	Yiamoloside B		high
cpd:C09256	kegg_compound	CHEBI:10093	yohimbine		high
cpd:C02334	kegg_compound	CHEBI:10095	Z-Arg-Arg-NHMec		high
cpd:C01632	kegg_compound	CHEBI:10096	Z-Gly-Pro		high
cpd:C03183	kegg_compound	CHEBI:10097	Z-Gly-Pro-Leu-Gly-Pro		high
cpd:C02202	kegg_compound	CHEBI:10098	Z-Phe-Phe-CHN2		high
cpd:C02203	kegg_compound	CHEBI:10099	N-[(benzyloxy)carbonyl]-L-tyrosyl-N-hydroxy-L-leucinamide		high
cpd:C05825	kegg_compound	CHEBI:1010	2-amino-5-oxohexanoate		high
cpd:C07206	kegg_compound	CHEBI:10100	zafirlukast		high
cpd:C07207	kegg_compound	CHEBI:10101	zalcitabine		high
cpd:C07484	kegg_compound	CHEBI:10102	zaleplon		high
cpd:C09606	kegg_compound	CHEBI:10103	zaluzanin C		high
cpd:C08788	kegg_compound	CHEBI:10105	Zapoterin		high
cpd:C09981	kegg_compound	CHEBI:10106	zearalenone		high
cpd:C07459	kegg_compound	CHEBI:101085	diclofenamide		high
cpd:C09607	kegg_compound	CHEBI:10109	Zexbrevin B		high
cpd:C07210	kegg_compound	CHEBI:10110	zidovudine		high
cpd:C08345	kegg_compound	CHEBI:10111	Zierin		high
cpd:C09750	kegg_compound	CHEBI:10115	zingiberene		high
cpd:C10626	kegg_compound	CHEBI:10116	Zinnimidine		high
cpd:C10840	kegg_compound	CHEBI:10117	Zinniol		high
cpd:C09983	kegg_compound	CHEBI:10118	Zinnolide		high
cpd:C07568	kegg_compound	CHEBI:10119	ziprasidone		high
cpd:C01655	kegg_compound	CHEBI:1012	2-AminoAMP		high
cpd:C08991	kegg_compound	CHEBI:10120	Ziziphin		high
cpd:C10015	kegg_compound	CHEBI:10121	Zizyphine A		high
cpd:C10016	kegg_compound	CHEBI:10122	Zizyphine F		high
cpd:C09205	kegg_compound	CHEBI:10123	Zoapatanol		high
cpd:C07218	kegg_compound	CHEBI:10124	zolmitriptan		high
cpd:C07219	kegg_compound	CHEBI:10125	zolpidem		high
cpd:C07504	kegg_compound	CHEBI:10127	zonisamide		high
cpd:C06958	kegg_compound	CHEBI:101278	diltiazem		high
cpd:C11216	kegg_compound	CHEBI:10129	Zwittergent 3-14		high
cpd:C10831	kegg_compound	CHEBI:10130	Zygadenine		high
cpd:C10459	kegg_compound	CHEBI:10135	[6]-Gingerdione		high
cpd:C10462	kegg_compound	CHEBI:10136	gingerol		high
cpd:C10482	kegg_compound	CHEBI:10137	[6]-Paradol		high
cpd:C10494	kegg_compound	CHEBI:10138	[6]-Shogaol		high
cpd:C00939	kegg_compound	CHEBI:1014	2-Aminoadenosine		high
cpd:C05205	kegg_compound	CHEBI:10144	[Cytochrome c] S-methionine		high
cpd:C06333	kegg_compound	CHEBI:1015	2-aminobenzenesulfonic acid		high
cpd:C10222	kegg_compound	CHEBI:10150	[epicatechin-(4beta->8)]5-epicatechin		high
cpd:C11827	kegg_compound	CHEBI:10151	undecaprenyldiphospho-[N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-gamma-D-glutaminyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine]n		high
cpd:C05207	kegg_compound	CHEBI:10166	[Myeline basic protein] L-arginine		high
cpd:C05321	kegg_compound	CHEBI:10167	[Myeline basic protein] N-methyl-L-arginine		high
cpd:C05197	kegg_compound	CHEBI:10174	[Pyruvate formate-lyase]-glycine		high
cpd:C05312	kegg_compound	CHEBI:10175	[Pyruvate formate-lyase]-glycine radical		high
cpd:C06404	kegg_compound	CHEBI:10178	[Ribulose-1,5-bisphosphate-carboxylase]-N6-methyl-L-lysine		high
cpd:C06403	kegg_compound	CHEBI:10179	[Ribulose-1,5-bisphosphate-carboxylase]-lysine		high
cpd:C07279	kegg_compound	CHEBI:1018	2-Aminoethylarsonate		high
cpd:C05683	kegg_compound	CHEBI:1019	N-(2-phosphonoethyl)cholamide		high
cpd:C05535	kegg_compound	CHEBI:10211	alpha-Aminoadipoyl-S-acyl enzyme		high
cpd:C08615	kegg_compound	CHEBI:10213	alpha-amyrin		high
sulfamerazine	bacdive_metabolite	CHEBI:102130	sulfamerazine		high
cpd:C08847	kegg_compound	CHEBI:10214	alpha-Antiarin		high
cpd:C09630	kegg_compound	CHEBI:10216	cedr-8-ene		high
cpd:C07521	kegg_compound	CHEBI:102166	thiopental		high
cpd:C09631	kegg_compound	CHEBI:10217	cedrol		high
cpd:C10796	kegg_compound	CHEBI:10219	alpha-Chaconine		high
cpd:C09635	kegg_compound	CHEBI:10220	alpha-Chamigrene		high
cpd:C09639	kegg_compound	CHEBI:10221	alpha-copaene		high
cpd:C07844	kegg_compound	CHEBI:102216	methohexital		high
cpd:C08739	kegg_compound	CHEBI:10222	alpha-cotonefuran		high
cpd:C15981	kegg_compound	CHEBI:10223	alpha-cryptoxanthin		high
cpd:C09647	kegg_compound	CHEBI:10224	alpha-cubebene		high
cpd:C09649	kegg_compound	CHEBI:10225	(-)-alpha-curcumene		high
cpd:C09383	kegg_compound	CHEBI:10226	alpha-Cyclocostunolide		high
cpd:C19530	kegg_compound	CHEBI:102265	sulfamethazine		high
cpd:C04714	kegg_compound	CHEBI:10239	alpha-D-galactosyl-beta-D-galactosyldiacylglycerol		high
cpd:C07318	kegg_compound	CHEBI:102484	sulfisoxazole		high
sulfisoxazole	bacdive_metabolite	CHEBI:102484	sulfisoxazole		high
cpd:C10898	kegg_compound	CHEBI:1026	2-Benzimidazolylguanidine		high
cpd:C04614	kegg_compound	CHEBI:10263	alpha-D-Mannosyl-1,3-(R1)-beta-D-mannosyl-R2		high
cpd:C08623	kegg_compound	CHEBI:10274	alpha-Elemolic acid		high
cpd:C08315	kegg_compound	CHEBI:10275	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid		high
cpd:C07545	kegg_compound	CHEBI:10276	alpha-ergocryptine		high
cpd:C09663	kegg_compound	CHEBI:10278	alpha-eudesmol		high
cpd:C09665	kegg_compound	CHEBI:10280	(E,E)-alpha-farnesene		high
cpd:C05102	kegg_compound	CHEBI:10283	2-hydroxy fatty acid		high
cpd:C09690	kegg_compound	CHEBI:10284	alpha-irone		high
cpd:C10704	kegg_compound	CHEBI:10285	alpha-Kosin		high
cpd:C08356	kegg_compound	CHEBI:10295	alpha-L-sorbopyranose		high
cpd:C11776	kegg_compound	CHEBI:10302	alpha-Methyl-m-tyramine		high
cpd:C11820	kegg_compound	CHEBI:10303	alpha-Methyl-m-tyrosine		high
cpd:C11768	kegg_compound	CHEBI:10304	(-)-alpha-Methylnoradrenaline		high
cpd:C11377	kegg_compound	CHEBI:10311	alpha-N-Acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein		high
cpd:C11714	kegg_compound	CHEBI:10319	1-naphthol		high
cpd:C11586	kegg_compound	CHEBI:10320	alpha-Naphthyl-beta-D-glucuronide		high
cpd:C09889	kegg_compound	CHEBI:10322	alpha-Obscurine		high
cpd:C10729	kegg_compound	CHEBI:10324	alpha-peltatin		high
cpd:C08929	kegg_compound	CHEBI:10328	alpha-pyrufuran		high
cpd:C05775	kegg_compound	CHEBI:10329	alpha-ribazole		high
cpd:C09719	kegg_compound	CHEBI:10330	alpha-santalol		high
cpd:C09729	kegg_compound	CHEBI:10332	alpha-Sinensal		high
cpd:C08840	kegg_compound	CHEBI:10333	alpha-Spinasterol		high
cpd:C09898	kegg_compound	CHEBI:10334	alpha-terpinene		high
cpd:C08460	kegg_compound	CHEBI:10335	2,2':5',2''-terthiophene		high
cpd:C09744	kegg_compound	CHEBI:10339	alpha-Vetivone		high
cpd:C09749	kegg_compound	CHEBI:10341	alpha-Ylangene		high
cpd:C08616	kegg_compound	CHEBI:10352	beta-amyrin		high
cpd:C10430	kegg_compound	CHEBI:10353	beta-asarone		high
cpd:C09629	kegg_compound	CHEBI:10357	(-)-beta-caryophyllene		high
cpd:C09637	kegg_compound	CHEBI:10359	(-)-beta-chamigrene		high
cpd:C09849	kegg_compound	CHEBI:10360	(R)-(+)-citronellol		high
cpd:C08740	kegg_compound	CHEBI:10361	beta-cotonefuran		high
cpd:C08591	kegg_compound	CHEBI:10362	beta-cryptoxanthin		high
cpd:C09648	kegg_compound	CHEBI:10363	beta-cubebene		high
cpd:C09384	kegg_compound	CHEBI:10364	beta-Cyclocostunolide		high
cpd:C02899	kegg_compound	CHEBI:10365	(5S)-3-acetyl-4-hydroxy-5-{[4-(3-methylbut-2-en-1-yl)-1H-indol-3-yl]methyl}-1,5-dihydro-2H-pyrrol-2-one		high
cpd:C08234	kegg_compound	CHEBI:10366	D-cymarose		high
cpd:C08235	kegg_compound	CHEBI:10368	digitalose		high
cpd:C03437	kegg_compound	CHEBI:10370	beta-D-fructofuranoside		high
cpd:C04819	kegg_compound	CHEBI:10393	beta-D-Galactosyl-beta-1,4-N-acetyl-D-glucosaminylglycopeptide		high
cpd:C09870	kegg_compound	CHEBI:104	(-)-Menthyl acetate		high
cpd:C08736	kegg_compound	CHEBI:1040	6-chloro-1,3,5-triazine-2,4-diol		high
cpd:C02210	kegg_compound	CHEBI:10415	beta-endorphin		high
cpd:C09664	kegg_compound	CHEBI:10417	beta-eudesmol		high
cpd:C09666	kegg_compound	CHEBI:10418	trans-beta-farnesene		high
cpd:C08955	kegg_compound	CHEBI:10419	beta-Hederin		high
cpd:C08237	kegg_compound	CHEBI:10423	oleandrose		high
cpd:C10367	kegg_compound	CHEBI:10429	beta-lapachone		high
cpd:C11713	kegg_compound	CHEBI:10432	2-naphthol		high
cpd:C09890	kegg_compound	CHEBI:10435	beta-obscurine		high
cpd:C10730	kegg_compound	CHEBI:10437	beta-Peltatin A methyl ether		high
cpd:C08948	kegg_compound	CHEBI:10439	beta-pyrufuran		high
cpd:C09718	kegg_compound	CHEBI:10440	(-)-beta-santalene		high
cpd:C09720	kegg_compound	CHEBI:10441	beta-santalol		high
cpd:C09723	kegg_compound	CHEBI:10443	(+)-beta-selinene		high
cpd:C09730	kegg_compound	CHEBI:10444	beta-Sinensal		high
cpd:C09987	kegg_compound	CHEBI:10445	beta-Skytanthine		high
cpd:C04313	kegg_compound	CHEBI:10446	beta-Substituted alpha-L-amino acid		high
cpd:C09904	kegg_compound	CHEBI:10447	beta-thujaplicin		high
cpd:C09745	kegg_compound	CHEBI:10448	beta-Vetivone		high
cpd:C11191	kegg_compound	CHEBI:10454	cis-flupenthixol		high
cpd:C11582	kegg_compound	CHEBI:1046	2-Chlorophenylhydrazine hydrochloride		high
cpd:C11456	kegg_compound	CHEBI:10471	cis-3-(1-Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol		high
cpd:C11588	kegg_compound	CHEBI:10472	3-[(5S,6R)-5,6-dihydroxycyclohexa-1,3-dienyl]propanoic acid		high
cpd:C10508	kegg_compound	CHEBI:105	(-)-Nissolin		high
cpd:C11910	kegg_compound	CHEBI:10502	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose		high
cpd:C11461	kegg_compound	CHEBI:10506	dTDP-4-amino-4,6-dideoxy-5-C-methyl-L-mannose		high
cpd:C11447	kegg_compound	CHEBI:10512	dTDP-4-dimethylamino-4,6-dideoxy-5-C-methyl-L-mannose		high
cpd:C11460	kegg_compound	CHEBI:10516	dTDP-4-oxo-5-C-methyl-L-rhamnose		high
cpd:C11916	kegg_compound	CHEBI:10525	dTDP-beta-L-mycarose		high
cpd:C01347	kegg_compound	CHEBI:10534	dXDP		high
cpd:C01348	kegg_compound	CHEBI:10535	dXTP		high
cpd:C05104	kegg_compound	CHEBI:10542	delta7,24-Cholestadien-3beta-ol		high
cpd:C05359	kegg_compound	CHEBI:10545	electron		high
cpd:C10225	kegg_compound	CHEBI:10550	ent-Fisetinidol-(4beta->8)-catechin-(6->4beta)-ent-fisetinidol		high
cpd:C09566	kegg_compound	CHEBI:10552	epi-tulipinolide		high
cpd:C09568	kegg_compound	CHEBI:10553	epi-Tulipinolide diepoxide		high
cpd:C07453	kegg_compound	CHEBI:10554	epinine		high
cpd:C10289	kegg_compound	CHEBI:10556	(-)-trans-epsilon-viniferin		high
cpd:C10138	kegg_compound	CHEBI:10561	gamma-Coniceine		high
cpd:C10676	kegg_compound	CHEBI:10562	gamma-Fagarine		high
cpd:C05711	kegg_compound	CHEBI:10565	gamma-glutamyl-beta-cyanoalanine		high
cpd:C08501	kegg_compound	CHEBI:10575	gamma-nonanolactone		high
cpd:C09900	kegg_compound	CHEBI:10577	gamma-terpinene		high
cpd:C09905	kegg_compound	CHEBI:10578	gamma-Thujaplicin		high
cpd:C08571	kegg_compound	CHEBI:10580	gamma-undecanolactone		high
cpd:C08881	kegg_compound	CHEBI:10582	k-Strophanthoside		high
cpd:C02607	kegg_compound	CHEBI:10583	kappa-carrageenan		high
cpd:C04684	kegg_compound	CHEBI:10586	3-carboxyphenyl phenylacetamidomethylphosphonate		high
cpd:C11731	kegg_compound	CHEBI:10587	m-Chlorobenzamide		high
cpd:C11738	kegg_compound	CHEBI:10588	1-(3-chlorophenyl)piperazine		high
cpd:C07211	kegg_compound	CHEBI:10589	m-toluic acid		high
cpd:C04802	kegg_compound	CHEBI:10596	m7G(5')pppRm-RNA (mRNA containing an 2'-O-methylpurine cap)		high
cpd:C10777	kegg_compound	CHEBI:106	(-)-Ormosanine		high
cpd:C03826	kegg_compound	CHEBI:1060	2-dehydro-3-deoxy-D-arabinonic acid		high
cpd:C11155	kegg_compound	CHEBI:10607	n-propyl gallate		high
cpd:C11629	kegg_compound	CHEBI:10613	omega-Carboxy-N-acetyl-LTE4		high
cpd:C03547	kegg_compound	CHEBI:10615	omega-hydroxy fatty acid		high
cpd:C11628	kegg_compound	CHEBI:10618	p-Aminobenzamidine dihydrochloride		high
cpd:C08330	kegg_compound	CHEBI:10626	p-Glucosyloxymandelonitrile		high
cpd:C11206	kegg_compound	CHEBI:10631	p-methylaminophenyl sulfate		high
cpd:C08951	kegg_compound	CHEBI:10635	psi-Rhodomyrtoxin		high
cpd:C06153	kegg_compound	CHEBI:10642	scyllo-inositol		high
cpd:C07319	kegg_compound	CHEBI:10650	sumatriptan		high
cpd:C11478	kegg_compound	CHEBI:10656	tRNA containing 5-aminomethyl-2-thiouridine		high
cpd:C02211	kegg_compound	CHEBI:10668	tRNA precursor		high
cpd:C11511	kegg_compound	CHEBI:10696	(3S)-3-hydroxy-L-aspartic acid		high
cpd:C11356	kegg_compound	CHEBI:10698	2-cis,6-trans,10-trans-geranylgeranyl diphosphate		high
cpd:C09604	kegg_compound	CHEBI:107	(-)-Pellotine		high
cpd:C04221	kegg_compound	CHEBI:10702	(1R,2R)-cyclohexa-3,5-diene-1,2-diol		high
cpd:C05275	kegg_compound	CHEBI:10723	trans-dec-2-enoyl-CoA		high
cpd:C05754	kegg_compound	CHEBI:10724	trans-Dec-2-enoyl-[acp]		high
cpd:C05758	kegg_compound	CHEBI:10725	trans-Dodec-2-enoyl-[acp]		high
cpd:C05748	kegg_compound	CHEBI:10727	trans-Hex-2-enoyl-[acp]		high
cpd:C05763	kegg_compound	CHEBI:10729	trans-Hexadec-2-enoyl-[acp]		high
cpd:C05760	kegg_compound	CHEBI:10735	trans-Tetradec-2-enoyl-[acp]		high
cpd:C07868	kegg_compound	CHEBI:107736	metoclopramide		high
cpd:C02452	kegg_compound	CHEBI:10782	(S)-(-)-perillyl alcohol		high
cpd:C10514	kegg_compound	CHEBI:108	(-)-phaseolin		high
cpd:C15525	kegg_compound	CHEBI:10836	2',3,4,4',6'-pentahydroxychalcone		high
cpd:C02225	kegg_compound	CHEBI:10860	(2R,3S)-2-methylcitrate(3-)		high
cpd:C03980	kegg_compound	CHEBI:1088	2-deoxystreptamine 4-phosphate		high
cpd:C10515	kegg_compound	CHEBI:109	(-)-phaseollinisoflavan		high
cpd:C03828	kegg_compound	CHEBI:1090	2-Deoxystreptamine phosphate		high
cpd:C16256	kegg_compound	CHEBI:10956	(E)-cinnamoyl-CoA		high
cpd:C09817	kegg_compound	CHEBI:10970	(R)-2-benzylsuccinyl-CoA		high
cpd:C04546	kegg_compound	CHEBI:10979	(R)-3-[(R)-3-hydroxybutanoyloxy]butanoate		high
cpd:C05835	kegg_compound	CHEBI:1098	2-Formaminobenzoylacetate		high
cpd:C03964	kegg_compound	CHEBI:10980	(R)-3-(4-hydroxyphenyl)lactate		high
cpd:C01089	kegg_compound	CHEBI:10983	(R)-3-hydroxybutyrate		high
cpd:C20157	kegg_compound	CHEBI:109895	beta-carboline		high
cpd:C09352	kegg_compound	CHEBI:11	(+)-Bebeerine		high
cpd:C09235	kegg_compound	CHEBI:110	(-)-Quebrachamine		high
cpd:C16257	kegg_compound	CHEBI:11010	(R)-phenyllactoyl-CoA		high
cpd:C03197	kegg_compound	CHEBI:11047	(S)-3-hydroxybutyrate		high
carnitine	chemicals_sssom	CHEBI:11060	(S)-carnitine		medium
cpd:C15025	kegg_compound	CHEBI:11060	(S)-carnitine		high
cpd:C05801	kegg_compound	CHEBI:1107	2-hexaprenyl-6-hydroxyphenol		high
cpd:C05802	kegg_compound	CHEBI:1109	2-hexaprenyl-6-methoxyphenol		high
cpd:C08257	kegg_compound	CHEBI:111	(-)-Quebrachitol		high
cpd:C05800	kegg_compound	CHEBI:1110	2-hexaprenylphenol		high
cpd:C00596	kegg_compound	CHEBI:1113	cis-2-hydroxypenta-2,4-dienoic acid		high
cpd:C07486	kegg_compound	CHEBI:111762	nordazepam		high
cpd:C09640	kegg_compound	CHEBI:112	(-)-Salsoline		high
cpd:C11353	kegg_compound	CHEBI:1121	2-Hydroxy-3-chloropenta-2,4-dienoate		high
cpd:C02691	kegg_compound	CHEBI:11222	1-[(4-amino-2-methylpyrimidin-5-yl)methyl]pyridinium		high
cpd:C07718	kegg_compound	CHEBI:1126	2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid		high
cpd:C07725	kegg_compound	CHEBI:1127	2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid		high
cpd:C09642	kegg_compound	CHEBI:113	(S)-salsolinol		high
cpd:C15538	kegg_compound	CHEBI:11302	10-desacetyltaxuyunnanin C		high
cpd:C03049	kegg_compound	CHEBI:11320	13-hydroxydocosanoate		high
cpd:C07731	kegg_compound	CHEBI:1135	2-hydroxy-6-(2-hydroxyphenyl)-6-oxo-cis,cis-hexa-2,4-dienoic acid		high
cpd:C15990	kegg_compound	CHEBI:11369	1L-myo-inositol 1,2,3,4,6-pentakisphosphate		high
cpd:C07123	kegg_compound	CHEBI:1139	2-Hydroxy-6-oxo-octa-2,4-dienoate		high
cpd:C10170	kegg_compound	CHEBI:114	(-)-Santiaguine		high
cpd:C07087	kegg_compound	CHEBI:1141	2-Hydroxy-6-oxoocta-2,4,7-trienoate		high
cpd:C05906	kegg_compound	CHEBI:11412	(2R,3S,4S)-leucocyanidin		high
cpd:C11354	kegg_compound	CHEBI:1142	2-Hydroxy-cis-hex-2,4-dienoate		high
cpd:C05984	kegg_compound	CHEBI:1148	2-hydroxybutyric acid		high
cpd:C10526	kegg_compound	CHEBI:115	(-)-sativan		high
cpd:C15563	kegg_compound	CHEBI:11515	2-amino-5-formylamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate		high
cpd:C05298	kegg_compound	CHEBI:1156	2-hydroxyestrone		high
cpd:C00966	kegg_compound	CHEBI:11561	2-dehydropantoate		high
cpd:C00672	kegg_compound	CHEBI:11563	2-deoxy-alpha-D-ribose 1-phosphate		high
cpd:C05123	kegg_compound	CHEBI:1157	isethionic acid		high
cpd:C06451	kegg_compound	CHEBI:1159	2-hydroxyethylphosphonic acid		high
cpd:C10171	kegg_compound	CHEBI:116	(-)-Sedamine		high
cpd:C05600	kegg_compound	CHEBI:1162	2-hydroxyhepta-2,4-dienedioic acid		high
cpd:C07078	kegg_compound	CHEBI:116278	lomefloxacin		high
lomefloxacin	bacdive_metabolite	CHEBI:116278	lomefloxacin		high
cpd:C00596	kegg_compound	CHEBI:11641	2-oxopent-4-enoate		high
cpd:C18428	kegg_compound	CHEBI:116509	diuron		high
cpd:C07527	kegg_compound	CHEBI:116735	benzocaine		high
cpd:C07639	kegg_compound	CHEBI:11684	3,3',5'-triiodo-L-thyronine		high
cpd:C14494	kegg_compound	CHEBI:116915	4-chloroacetanilide		high
cpd:C06452	kegg_compound	CHEBI:1171	2-hydroxypropylphosphonic acid		high
cpd:C02737	kegg_compound	CHEBI:11750	3-sn-phosphatidyl-L-serine		high
cpd:C10360	kegg_compound	CHEBI:1177	2-Isoprenylemodin		high
cpd:C02504	kegg_compound	CHEBI:1178	(2S)-2-isopropylmalate(2-)		high
cpd:C10531	kegg_compound	CHEBI:118	(-)-Sparticarpin		high
cpd:C01188	kegg_compound	CHEBI:11805	3-hydroxyisobutyrate		high
cpd:C04181	kegg_compound	CHEBI:11812	3-hydroxy-3-methyl-2-oxobutanoate		high
cpd:C09124	kegg_compound	CHEBI:1182	2-Ketoepimanool		high
cpd:C02222	kegg_compound	CHEBI:1184	maleylacetic acid		high
cpd:C00141	kegg_compound	CHEBI:11851	3-methyl-2-oxobutanoate		high
cpd:C08359	kegg_compound	CHEBI:1188	2-methoxy-17beta-estradiol 3-sulfate		high
cpd:C05299	kegg_compound	CHEBI:1189	2-methoxyestrone		high
cpd:C01869	kegg_compound	CHEBI:119	D-synephrine		high
cpd:C15484	kegg_compound	CHEBI:11909	3beta-hydroxy-5alpha-pregnan-20-one		high
cpd:C08358	kegg_compound	CHEBI:1191	2-methoxyestrone 3-sulfate		high
cpd:C03993	kegg_compound	CHEBI:11935	4-(beta-D-glucosyloxy)benzoate		high
cpd:C15544	kegg_compound	CHEBI:11936	N-acetyl-beta-D-glucosaminyl-(1->4)-beta-D-mannosyl group		high
cpd:C08088	kegg_compound	CHEBI:119486	efavirenz		high
cpd:C02946	kegg_compound	CHEBI:11951	4-acetamidobutanoate		high
cpd:C03678	kegg_compound	CHEBI:11955	4-amino-3-hydroxybutanoate		high
cpd:C06941	kegg_compound	CHEBI:119573	delavirdine		high
cpd:C03218	kegg_compound	CHEBI:1196	2-Methylaminoadenosine		high
cpd:C15533	kegg_compound	CHEBI:11986	4-fluoro-L-threonine		high
cpd:C10620	kegg_compound	CHEBI:120	(-)-Tylocrebrine		high
cpd:C06331	kegg_compound	CHEBI:1215	2-Methylquinoline-3,4-diol		high
cpd:C10910	kegg_compound	CHEBI:1217	2-methylthio-1,3-benzothiazole		high
cpd:C15543	kegg_compound	CHEBI:12193	alpha-D-mannosyl-(1->6)-beta-D-mannosyl group		high
cpd:C01288	kegg_compound	CHEBI:12194	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol		high
cpd:C10101	kegg_compound	CHEBI:122	(-)-usnic acid		high
cpd:C11076	kegg_compound	CHEBI:1220	2-N-Dodecyltetrahydrothiophene		high
cpd:C11082	kegg_compound	CHEBI:1221	2-N-Undecyltetrahydrothiophene		high
cpd:C10923	kegg_compound	CHEBI:1224	2-nitrofluorene		high
cpd:C15615	kegg_compound	CHEBI:12256	7-hydroxyisoflavone		high
cpd:C15616	kegg_compound	CHEBI:12257	7-methoxyisoflavone		high
cpd:C01092	kegg_compound	CHEBI:12266	8-amino-7-oxononanoate		high
cpd:C10083	kegg_compound	CHEBI:1228	2-O-methylswertianin		high
cpd:C10539	kegg_compound	CHEBI:123	(-)-Variabilin		high
cpd:C08250	kegg_compound	CHEBI:1230	sophorose		high
cpd:C05811	kegg_compound	CHEBI:1233	3-(all-trans-octaprenyl)benzene-1,2-diol		high
cpd:C05812	kegg_compound	CHEBI:1235	2-methoxy-6-(all-trans-octaprenyl)phenol		high
