# curie_map:
#   CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#   FOODON: "http://purl.obolibrary.org/obo/FOODON_"
#   UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#   ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#   NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#   MICRO: "http://purl.obolibrary.org/obo/MICRO_"
#   mesh: "http://id.nlm.nih.gov/mesh/"
#   BTO: "http://purl.obolibrary.org/obo/BTO_"
#   kgmicrobe.compound: "https://w3id.org/kg-microbe/compound/"
#   kgmicrobe.ingredient: "https://w3id.org/kg-microbe/ingredient/"
#   cas: "https://commonchemistry.cas.org/detail?cas_rn="
#   registry: "https://w3id.org/kg-microbe/registry/"
#   MIM: "https://github.com/CultureBotAI/MediaIngredientMech/blob/main/data/ingredients/mapped/"
#   obo: "http://purl.obolibrary.org/obo/"
#   kgm: "https://w3id.org/kg-microbe/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   orcid: "https://orcid.org/"
#   cbclaw: "https://github.com/culturebotai/culturebotai-claw/blob/main/"
# license: "https://creativecommons.org/publicdomain/zero/1.0/"
# mapping_set_id: "https://w3id.org/sssom/mappings/culturebotai_mim_ingredient"
# mapping_set_version: "2026-09-06"
# mapping_set_description: "Canonical MediaIngredientMech → ingredient-ontology mappings (CHEBI + FOODON; UBERON/ENVO when populated). One row per mapped MIM ingredient record. Per-row object_source distinguishes ontologies. Predicate is skos:exactMatch by default; narrowMatch/broadMatch/closeMatch where residual-P2.5 triage found a specificity or symmetry difference, or where mapping_quality != EXACT_MATCH. The `source` extension column records the upstream origin (MIM evidence + kg-microbe source pipeline, CHEBI only)."
# mapping_date: "2026-09-06"
# creator_id:
#   - "orcid:0000-0001-8175-045X"
# subject_source: "MIM:ingredients"
# extension_definitions:
#   - slot_name: source
#     property: "cbclaw:provenance-source"
#     type_hint: "xsd:string"
#   - slot_name: validation_method
#     property: "cbclaw:validation-method"
#     type_hint: "xsd:string"
subject_id	subject_label	predicate_id	object_id	object_label	object_source	mapping_justification	source	mapping_date	confidence	comment	other	validation_method
MIM:1-chloropropane	1-chloropropane	skos:exactMatch	CHEBI:747004	1-chloropropane	obo:chebi.owl	semapv:LexicalMatching	MIM:microbedecoder import via ols-label-exact|MIM:curator=claude_sssom_surface_form_backfill|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=review-ingredients]|kgm:metatraits_unmapped[2026-04-09]	2026-09-02	0.99		n-propyl chloride	manual:review-ingredients|APPROVED|2026-08-04
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	skos:narrowMatch	CHEBI:61326	1-ethyl-3-methylimidazolium	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:CHEBI via OLS (stem-substring)|MIM:curator=backfill_parent_terms|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=backfill_parent_terms]|kgm:mediaingredientmech_reviewed[curator=classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=resolve_unmapped_v2]	2026-05-02	0.9		1-ethyl-3-methylimidazolium lysine|1-ethyl-3-methyl-1H-imidazol-3-ium	OAK+OLS:chebi|SYNONYM_ENRICH|2026-07-07
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	skos:exactMatch	cas:143314-17-4	1-ethyl-3-methylimidazolium acetate	registry:cas	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:CHEBI via OLS (stem-substring)|MIM:curator=backfill_parent_terms|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=backfill_parent_terms]|kgm:mediaingredientmech_reviewed[curator=classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=resolve_unmapped_v2]	2026-05-02	0.99	Registry/identity row preserving cas:143314-17-4 alongside parent CHEBI:61326.	CAS:143314-17-4	none|UNKNOWN_TERM|2026-07-07
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	skos:exactMatch	kgmicrobe.compound:1-ethyl-3-methylimidazolium_acetate	1-ethyl-3-methylimidazolium acetate	kgm:compound	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:CHEBI via OLS (stem-substring)|MIM:curator=backfill_parent_terms|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=backfill_parent_terms]|kgm:mediaingredientmech_reviewed[curator=classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=resolve_unmapped_v2]	2026-05-02	0.99	Registry/identity row (Rule B1) for narrowMatch subject; kg-microbe primary id kgmicrobe.compound:1-ethyl-3-methylimidazolium_acetate alongside parent CHEBI:61326.	CAS:143314-17-4	none|UNKNOWN_TERM|2026-07-07
MIM:1-ethyl-3-methylimidazolium_Chloride	1-ethyl-3-methylimidazolium chloride	skos:exactMatch	CHEBI:61327	1-ethyl-3-methylimidazolium chloride	obo:chebi.owl	semapv:LexicalMatching	MIM:CultureBotHT|MIM:curator=auto_classify_ingredient_type|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=audit_integrate_culturebotht]|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]	2026-05-02	0.99		1-ethyl-3-methyl-1H-imidazol-3-ium chloride|CAS:65039-09-0	OAK+OLS:chebi|CONFIRMED|2026-07-07
MIM:1-ethyl-3-methylimidazolium_Lysine	1-ethyl-3-methylimidazolium lysine	skos:exactMatch	CHEBI:61326	1-ethyl-3-methylimidazolium	obo:chebi.owl	semapv:LexicalMatching	MIM:CHEBI via OLS (resolve_unmapped_v2 strategy=stem-match)|MIM:curator=classify_ingredient_type|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=backfill_parent_terms]|kgm:mediaingredientmech_reviewed[curator=classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=resolve_unmapped_v2]	2026-08-13	0.9		1-ethyl-3-methyl-1H-imidazol-3-ium	OAK+OLS:chebi|SYNONYM_ENRICH|2026-07-07
MIM:1-methylphenanthrene	1-methylphenanthrene	skos:exactMatch	CHEBI:35860	1-methylphenanthrene	obo:chebi.owl	semapv:LexicalMatching	MIM:microbedecoder|MIM:curator=classify_ingredient_type|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=review-ingredients]|kgm:primary_mappings[kegg_compound]	2026-08-13	0.99			manual:review-ingredients|APPROVED|2026-08-04
MIM:1-naphtylacetic_Acid	1-Naphthylacetic acid	skos:exactMatch	CHEBI:32918	1-naphthaleneacetic acid	obo:chebi.owl	semapv:ManualMappingCuration	MIM:Edison/PaperQA3 deep research + local CHEBI verification|MIM:curator=fix_naphthyl_spelling|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=fix_naphthyl_spelling]|kgm:mediaingredientmech_reviewed[curator=promote_resolved_unmapped]|kgm:primary_mappings[kegg_compound]	2026-08-18	0.99		1-Naphtylacetic Acid|NAA|naphthalen-1-ylacetic acid|CAS:86-87-3	manual:fix_naphthyl_spelling|2026-08-18
MIM:1-o-methyl_Alpha-galactopyranoside	1-o-methyl Alpha-galactopyranoside	skos:exactMatch	CHEBI:55507	methyl alpha-D-galactoside	obo:chebi.owl	semapv:ManualMappingCuration	MIM:MIM curation (#213)|MIM:curator=classify_ingredient_type|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed	2026-08-13	0.99			manual:promote_resolved_unmapped|PROMOTED|2026-08-06
MIM:1-octen-3-ol	1-octen-3-ol	skos:exactMatch	CHEBI:34118	oct-1-en-3-ol	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:curator=regrade_synonym_matches|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=audit_cas_chebi_followup]|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=regrade_synonym_matches]|kgm:primary_mappings[kegg_compound]	2026-08-24	0.9		CAS:3391-86-4	OAK+OLS:chebi|CONFIRMED|2026-07-07
MIM:1-phenazinecarboxamide	1-phenazinecarboxamide	skos:exactMatch	CHEBI:62240	phenazine-1-carboxamide	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:curator=regrade_synonym_matches|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=audit_cas_chebi_followup]|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=regrade_synonym_matches]	2026-08-24	0.9		CAS:550-89-0	OAK+OLS:chebi|CONFIRMED|2026-07-07
MIM:1-propanolCO2	1-propanol+CO2	skos:exactMatch	kgmicrobe.ingredient:1_propanol_co2	1-propanol+CO2	kgm:ingredient	semapv:ManualMappingCuration	MIM:MIM curation (#213/#308)|MIM:curator=migrate_component_partonomy	2026-08-24	0.9			manual:move_mapped_out_of_unmapped_collection|MOVED|2026-08-15
MIM:11-Biphenyl-2-ol	[1,1′-Biphenyl]-2-ol	skos:exactMatch	CHEBI:17043	biphenyl-2-ol	obo:chebi.owl	semapv:ManualMappingCuration	MIM:culturemech:output/ingredient_occurrences.tsv|MIM:curator=claude_restore_culturemech_evidence|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=claude_culturemech_residual_grounding]|kgm:primary_mappings[kegg_compound]	2026-09-06	0.99			manual:claude_culturemech_residual_grounding|CREATED|2026-08-30
MIM:112-trichloroethane	1,1,2-Trichloroethane	skos:exactMatch	CHEBI:36018	1,1,2-trichloroethane	obo:chebi.owl	semapv:LexicalMatching	MIM:CultureMech|MIM:curator=refresh_occurrence_statistics|kgm:chebi_xrefs|kgm:culturebotai_reviewed|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=cbclaw_kg_microbe_sweep]|kgm:mediaingredientmech_reviewed[curator=correct_stale_ontology_labels.py]|kgm:mediaingredientmech_reviewed[curator=microbedecoder-residual-dispositions]|kgm:primary_mappings[kegg_compound]	2026-08-27	0.99		1,1,2-Trichloraethan|1,1,2-trichlorethane|1,2,2-trichloroethane|beta-T|beta-trichloroethane|2-trichloroethane|CAS:79-00-5	OAK+OLS:chebi|CONFIRMED|2026-07-07
MIM:1122-Tetrachloroethane	1,1,2,2-Tetrachloroethane	skos:exactMatch	CHEBI:36026	1,1,2,2-tetrachloroethane	obo:chebi.owl	semapv:LexicalMatching	MIM:MIM curation (#308/#313)|MIM:curator=move_mapped_out_of_unmapped_collection|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:primary_mappings[kegg_compound]	2026-08-15	0.99		2-tetrachloroethane	manual:move_mapped_out_of_unmapped_collection|MOVED|2026-08-15
MIM:12-Propanediol	1,2-Propanediol	skos:exactMatch	CHEBI:16997	propane-1,2-diol	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:curator=claude_sssom_surface_form_backfill|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=audit_cas_chebi_followup]|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=regrade_synonym_matches]|kgm:metatraits_special_chemicals|kgm:metatraits_special_chemicals[corrected_2026-04-08]|kgm:primary_mappings[kegg_compound]	2026-09-02	0.9		2-propandiol|1,2-propandiol|CAS:57-55-6	OAK+OLS:chebi|CONFIRMED|2026-07-07
MIM:12-dichloropropane	1,2-Dichloropropane	skos:exactMatch	CHEBI:82163	rac-1,2-dichloropropane	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureMech|MIM:MIM curation (#320)|MIM:curator=claude_culturemech_alias_backfill|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=correct_stale_ontology_labels.py]|kgm:primary_mappings[kegg_compound]	2026-08-30	0.99		2-dichloropropane|1,2--Dichloropropane (10 mg/ml in methanol)|CAS:78-87-5	OAK+OLS:chebi|CONFIRMED|2026-07-07
MIM:13-Butandiol	1,3-Butanediol	skos:exactMatch	CHEBI:52683	butane-1,3-diol	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:curator=regrade_synonym_matches|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=audit_cas_chebi_followup]|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=correct_labels_keep_raw]|kgm:primary_mappings[chemicals_sssom]	2026-08-24	0.9		1,3-Butandiol|CAS:107-88-0	manual:correct_labels_keep_raw|2026-08-18
MIM:13-Hexanediol	1,3-Hexanediol	skos:exactMatch	cas:21531-91-9	1,3-Hexanediol	registry:cas	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:curator=auto_classify_ingredient_type	2026-05-02	0.9		CAS:21531-91-9	none|UNKNOWN_TERM|2026-07-07
MIM:13-Propanediol	1,3-Propanediol	skos:exactMatch	CHEBI:16109	propane-1,3-diol	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:curator=regrade_synonym_matches|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=audit_cas_chebi_followup]|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=regrade_synonym_matches]|kgm:primary_mappings[kegg_compound]	2026-08-24	0.9		Trimethyleneglycol|CAS:504-63-2	OAK+OLS:chebi|CONFIRMED|2026-07-07
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	skos:exactMatch	CHEBI:36226	beta-D-galactopyranosyl-(1->4)-D-galactopyranose	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:CHEBI via PubChem (pubchem-xref)|MIM:MIM curation (#326)|MIM:curator=regrade_identical_formula_parents|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=backfill_parent_terms]|kgm:mediaingredientmech_reviewed[curator=infer_roles_from_name_lists]	2026-08-13	0.99		CAS:2152-98-9	OAK+OLS:chebi|SYNONYM_ENRICH|2026-07-07
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	skos:exactMatch	cas:2152-98-9	1,4-B-D-Galactobiose	registry:cas	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:CHEBI via PubChem (pubchem-xref)|MIM:MIM curation (#326)|MIM:curator=regrade_identical_formula_parents|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=backfill_parent_terms]|kgm:mediaingredientmech_reviewed[curator=infer_roles_from_name_lists]	2026-08-13	0.99	Registry/identity row preserving cas:2152-98-9 alongside parent CHEBI:36226.	CAS:2152-98-9	none|UNKNOWN_TERM|2026-07-07
MIM:14-Butanediol	1,4-Butanediol	skos:exactMatch	CHEBI:41189	butane-1,4-diol	obo:chebi.owl	semapv:ManualMappingCuration	MIM:CultureBotHT|MIM:curator=regrade_synonym_matches|kgm:chebi_xrefs|kgm:mediaingredientmech_reviewed|kgm:mediaingredientmech_reviewed[curator=audit_cas_chebi_followup]|kgm:mediaingredientmech_reviewed[curator=auto_classify_ingredient_type]|kgm:mediaingredientmech_reviewed[curator=fix_butanediol_duplicate]	2026-08-24	0.9		Butane-1|4-diol|CAS:110-63-4	OAK+OLS:chebi|CONFIRMED|2026-07-07
