ingredient_name	occurrence_count	chebi_id	cas_rn	kg_microbe_node_id	mim_id	culturemech_term_id	mapping_status	synonyms	example_media
KCl	2747	CHEBI:32588	7447-40-7	CHEBI:32588	CHEBI:32588	CHEBI:32588	MAPPED	KCl (Fisher P 217)|KCl(CAS: 7447-40-7)|KCl(CAS:7447-40-7)|KCl(Fisher P 217)|Kaliumchlorid|Kaon-Cl 10|Klor-con|Klotrix|Monopotassium chloride|Potassium Chloride|[KCl]|muriate of potash|potassium chloride|sylvite	CultureMech:000045; CultureMech:000047; CultureMech:000049
NiCl2 x 6 H2O	2608	CHEBI:34887	7718-54-9	CHEBI:34887	CHEBI:34887	CHEBI:34887	MAPPED	NiCl2 . 6H2O|NiCl2 x 2 H2O|NiCl2 x 2H2O|NiCl2 x 5 H2O|NiCl2 x 6 H2O (0.1% w/v)|NiCl2 x 6H2O|NiCl2 x H2O|NiCl2 · 6H2O|NiCl2 ∙ 6 H2O|NiCl2.6H2O|NiCl2x6H2O|NiCl2·2H2O|NiCl2·6H2O|NiCl2∙6H2O|NiCl2⋅6H2O|NiCl2・5H2O|NiCl2・6H2O|NiCl2・H2O|nickel dichloride|nickel(2+) chloride|nickel(II) chloride	CultureMech:000297; CultureMech:000283; CultureMech:000285
Distilled water	2466	CHEBI:15377	7732-18-5	CHEBI:15377	CHEBI:15377	CHEBI:15377	MAPPED	BOUND WATER|Demineralized water|Double distilled water|H(2)O|H2O|HOH|Sterile dH2O|Tap water|WATER|Wasser|[OH2]|acqua|agua|aqua|dH2O|dihydridooxygen|dihydrogen oxide|eau|hydrogen hydroxide|oxidane|sterile dH2O|water	CultureMech:015878; CultureMech:015840; CultureMech:015858
MnCl2 x 4 H2O	2423	CHEBI:86368	13446-34-9		CHEBI:86368	CHEBI:86368	MAPPED	Manganese (II) chloride tetrahydrate|Manganese chloride tetrahydrate|Manganese dichloride tetrahydrate|Manganous chloride tetrahydrate|MnCl2 . 4H2O|MnCl2 · 4H2O|MnCl2 × 4H2O|MnCl2 ∙ 4 H2O|MnCl2.4H2O|MnCl2∙4H2O|MnCl2⋅4H2O|MnCl2・4H2O|MnCl2･4H2O|MnCl4 x 4 H2O|dichloromanganese--water (1/4)|manganese(2+) chloride tetrahydrate|manganese(2+) chloride--water (1/4)|manganese(II) chloride tetrahydrate	CultureMech:000039; CultureMech:000057; CultureMech:000139
CoCl2 x 6 H2O	2337	CHEBI:35696	7646-79-9	CHEBI:35696	CHEBI:35696	CHEBI:35696	MAPPED	CoCl2 . 6H2O|CoCl2 x 2 H2O|CoCl2 x 4 H2O|CoCl2 x 6H2O|CoCl2 · 6H2O|CoCl2 × 6H2O|CoCl2 ∙ 6 H2O|CoCl2·6H2O|CoCl2∙6H2O|CoCl2⋅6H2O|CoCl2・6H2O|cobalt dichloride|cobalt(2+) chloride|cobalt(II) chloride	CultureMech:000039; CultureMech:000057; CultureMech:000139
Vitamin B12	2318	CHEBI:17439	68-19-9	CHEBI:17439	CHEBI:17439	CHEBI:17439	MAPPED	CN-Cbl|CO-CYANOCOBALAMIN|Coalpha-[alpha-(5,6-dimethylbenzimidazolyl)]-Cobeta-cyanocobamide|Cyanocob(III)alamin|Cyanocobalamin (B )|Cyanocobalamin (Vitamin B )|Cyanocobalamine|Cyanocobalamin in|Dicopac|Vitamin B12|Vitamin B12 complex|Vitamin B12  (4)|Vitamin B12  (8)|Vitamin B12  (9)|cyanocob(III)alamin|vitamin B-12|vitamin B12 vitamer|vitamin B12 vitamers|vitamins B12	CultureMech:000297; CultureMech:000302; CultureMech:000285
Biotin	2219	CHEBI:15956	58-85-5	CHEBI:15956	CHEBI:15956	CHEBI:15956	MAPPED	(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid|(3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid|(alternative)|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid|5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid|Biotin (Vitamin B7)|Biotine|Coenzyme R|D(+)-Biotin|D-(+)-biotin|D-Biotin|Vitamin H|biotina|biotinum|cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid|cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid|cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid|vitamin B7	CultureMech:000038; CultureMech:000041; CultureMech:000050
NaHCO3	2201	CHEBI:32139	144-55-8	CHEBI:32139	CHEBI:32139	CHEBI:32139	MAPPED	(5% w/v solution)|(after autoclaving)|E 500|E-500|E500|NaHCO|NaHCO3(Fisher S 233)|Natriumhydrogenkarbonat|Sodium Bicarbonate|Sodium hydrogencarbonate|baking soda|bicarbonate of soda|carbonic acid monosodium salt|sodium acid carbonate|sodium hydrogen carbonate|sodium hydrogencarbonate	CultureMech:000252; CultureMech:015840; CultureMech:015871
Glucose	2120	CHEBI:17234	50-99-7		CHEBI:17234	CHEBI:17234	MAPPED	(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal|D-GLUCOSE IN LINEAR FORM|DL-glucose|D­glucose|Glc|Glukose|aldehydo-D-gluco-hexose|fermentation: glucose|gluco-hexose|α-D-Glucose	CultureMech:000066; CultureMech:000252; CultureMech:000277
MgCl2 x 6 H2O	2092	CHEBI:86345	7791-18-6		CHEBI:86345	CHEBI:86345	MAPPED	Chlorure de magnesium hydrate|Magnesium chloride hexahydrate|Magnesium chloride hydrate|MgCl2  x 6 H2O|MgCl2 . 6H2O|MgCl2 x 6 H2O (200 g/l stock solution)|MgCl2 · 6H2O|MgCl2.6H2O|MgCl2x 6H2O|MgCl2x6H2O|MgCl2·6 H2O|MgCl2·6H2O|MgCl2⋅6H2O|MgCl2・6H2O|magnesium dichloride hexahydrate|magnesium dichloride--water (1/6)	CultureMech:000045; CultureMech:000047; CultureMech:000049
CuCl2 x 2 H2O	2025	CHEBI:86318	10125-13-0	CHEBI:86318	CHEBI:86318	CHEBI:86318	MAPPED	Copper(II) chloride dihydrate|Coppertrace|CuCl 2|CuCl 2 x 2 H2O|CuCl2 . 2H2O|CuCl2 .2H2O|CuCl2 x 2H2O|CuCl2 · 2H2O|CuCl2*2H2O|CuCl2-2H2O|CuCl2.2H2O|CuCl2·2H2O|CuCl2⋅2H2O|CuCl2・2H2O|Cupric chloride dihydrate|copper (II) chloride dihydrate|copper dichloride--water (1/2)|copper(2+) dichloride --water (1/2)|copper(II) chloride dihydrate|copper(II) chloride--water (1/2)|copper(II) chloride.2H2O|cupric chloride.2H2O	CultureMech:000297; CultureMech:000283; CultureMech:000285
Nicotinic acid	1997	CHEBI:15940	59-67-6	CHEBI:15940	CHEBI:15940	CHEBI:15940	MAPPED	3-Pyridylcarboxylic acid|3-carboxylpyridine|3-carboxypyridine|3-pyridinecarboxylic acid|Niacin|Niacor|Niaspan|Nicotinate|Nicotinic acid (PP)|Nicotinsaure|Nikotinsaeure|P.P. factor|PP factor|acide nicotinique|acido nicotinico|acidum nicotinicum|anti-pellagra vitamin|beta-pyridinecarboxylic acid|m-pyridinecarboxylic acid|pellagra preventive factor|pyridine-3-carboxylic acid	CultureMech:000038; CultureMech:000050; CultureMech:000043
Riboflavin	1982	CHEBI:17015	83-88-5	CHEBI:17015	CHEBI:17015	CHEBI:17015	MAPPED	1-deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)-D-ribitol|1-deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)pentitol|5-deoxy-5-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)-D-ribitol|6,7-dimethyl-9-D-ribitylisoalloxazine|7,8-dimethyl-10-(D-ribo-2,3,4,5-tetrahydroxypentyl)benzo[g]pteridine-2,4(3H,10H)-dione|7,8-dimethyl-10-(D-ribo-2,3,4,5-tetrahydroxypentyl)isoalloxazine|7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]benzo[g]pteridine-2,4(3H,10H)-dione|7,8-dimethyl-10-ribitylisoalloxazine|Aqua-Flave|Beflavin|Beflavine|Bisulase|Dermadram|E101|Fiboflavin|Flavaxin|Flavin Bb|Flaxain|Hyflavin|Riboflavine|Riboflavine (B2)	CultureMech:000140; CultureMech:000146; CultureMech:000297
FeSO4 x 7 H2O	1974	CHEBI:75836	7782-63-0		CHEBI:75836	CHEBI:75836	MAPPED	Fe SO4 x 7 H2O|FeSO4 . 7H2O|FeSO4 7H2O|FeSO4 x7H2O|FeSO4 · 7H2O|FeSO4 ⋅ 7H2O|FeSO4.7H2O|FeSO4·7H2O|FeSO4⋅7H2O|FeSO4・7H2O|Iron (II) sulfate heptahydrate|Iron(II) sulfate heptahydrate|ferrous sulfate heptahydrate|ferrous sulfate.7H2O|iron(2+) sulfate heptahydrate|iron(2+) sulfate--water (1/7)	CultureMech:000292; CultureMech:000255; CultureMech:000274
p-Aminobenzoic acid	1931	CHEBI:30753	150-13-0	CHEBI:30753	CHEBI:30753	CHEBI:30753	MAPPED	1-Amino-4-carboxybenzene|4-Amino-benzoic acid|4-Aminobenzoesaeure|4-Aminobenzoic Acid|4-Carboxyaniline|4-Carboxyphenylamine|4-aminobenzoic acid|ABEE|PABA|Para-aminobenzoic acid|gamma-Aminobenzoic acid|p--Aminobenzoic acid|p-Amino Benzoic Acid|p-Aminobenzoesaeure|p-carboxyaniline|p-carboxyphenylamine	CultureMech:000297; CultureMech:000302; CultureMech:000285
ZnSO4 x 7 H2O	1909	CHEBI:32312	7446-20-0	CHEBI:32312	CHEBI:32312	CHEBI:32312	MAPPED	Zinc sulfate heptahydrate|Zn2SO4·7H2O|ZnSO4 . 7H2O|ZnSO4 .7H2O|ZnSO4 x 7H2O|ZnSO4 · 7H2O|ZnSO4 × 7H2O|ZnSO4 ⋅ 7H2O|ZnSO4*7 H2O|ZnSO4*7H2O|ZnSO4-7H2O|ZnSO4.7H2O|ZnSO4·7H2O|ZnSO4∙7H2O|ZnSO4⋅7H2O|ZnSO4・7H2O|ZnSO4･7H2O|zinc sulfate (1:1) heptahydrate|zinc sulfate heptahydrate|zinc sulfate heptahydrate (1:1:7)|zinc(2+) sulfate heptahydrate|zinc(2+) sulfate--water (1/7)	CultureMech:000139; CultureMech:000042; CultureMech:000053
Folic acid	1774	CHEBI:27470	59-30-3	CHEBI:27470	CHEBI:27470	CHEBI:27470	MAPPED	(2S)-2-(4-{[(2-amino-4-oxo-3,4-dihydropteridin-6-yl)methyl]amino}benzamido)pentanedioic acid|Acfol|Folate|Folicet|Folinic acid (citrovorum)|Folsaeure|N-(4-{[(2-amino-4-oxo-3,4-dihydropteridin-6-yl)methyl]amino}benzoyl)-L-glutamic acid|N-[(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}phenyl)carbonyl]-L-glutamic acid|N-pteroyl-L-glutamic acid|PGA|PteGlu|acide folique|acido folico|acidum folicum|pteroyl-L-glutamic acid|pteroyl-L-monoglutamic acid|pteroylglutamic acid|pteroylmonoglutamic acid|vitamin B11|vitamin B9	CultureMech:000038; CultureMech:000050; CultureMech:000043
Pyridoxine hydrochloride	1644	CHEBI:30961	58-56-0	CHEBI:30961	CHEBI:30961	CHEBI:30961	MAPPED	2-methyl-3-hydroxy-4,5-bis(hydroxymethyl)pyridine hydrochloride|3-hydroxy-4,5-dimethylol-alpha-picoline hydrochloride|4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol hydrochloride|5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride|Pyridoxine HCl|Pyridoxine-HCl|Pyridoxine·HCl|Pyridoxine・HCl|pyridoxol hydrochloride	CultureMech:000297; CultureMech:000302; CultureMech:000285
ZnCl2	1633	CHEBI:49976	7646-85-7	CHEBI:49976	CHEBI:49976	CHEBI:49976	MAPPED	Zinc Chloride|Zinkchlorid|ZnCl|ZnCl 2|butter of zinc|chlorure de zinc|dichlorozinc|zinc dichloride|zinc(2+) chloride|zinc(II) chloride	CultureMech:000039; CultureMech:000040; CultureMech:000058
Na2S x 9 H2O	1623	CHEBI:76209	1313-82-2	CHEBI:76209	CHEBI:76209	CHEBI:76209	MAPPED	Na2S . 9H2O|Na2S x 9 H2O (3% w/v)|Na2S x 9 H2O(24% w/v)|Na2S x 9H2O|Na2S ∙ 9 H2O|Na2S.9H2O|Na2S·9H2O|Na2S⋅9H2O|Na2S・9H2O|disodium sulfide--water (1/9)|sodium monosulfide.9H2O|sodium sulfide nonahydrate|sodium sulfide.9H2O	CultureMech:000283; CultureMech:000302; CultureMech:000288
Thiamine HCl	1518	CHEBI:49105	67-03-8	CHEBI:49105	CHEBI:49105	CHEBI:49105	MAPPED	3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium chloride hydrochloride|3-[(4-azaniumyl-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium dichloride|Thiamin HCl|Thiamin-HCl|Thiamine Dihydrochloride|Thiamine HCl (B ) -|Thiamine HCl (Vitamin B )|Thiamine HCl (Vitamin B1)|Thiamine hydrochloride|Thiamine-HCl|Thiamine HCl|Thiamine·HCl|Thiamine・HCl|thiamin dichloride|thiamin hydrochloride|thiamine chloride hydrochloride|thiamine dichloride|thiamine hydrochloride|thiamine(2+) dichloride|thiaminium chloride hydrochloride	CultureMech:000038; CultureMech:000041; CultureMech:000050
Resazurin	1400	CHEBI:8806	550-82-3	CHEBI:8806	CHEBI:8806	CHEBI:8806	MAPPED	Sodium resazurin|resazurin sodium salt	CultureMech:015840; CultureMech:015858; CultureMech:015860
Peptone	1345				MICRO:0000178	MICRO:0000178	MAPPED		CultureMech:000133; CultureMech:000134; CultureMech:000299
(NH4)2SO4	1311	CHEBI:62946	7783-20-2	CHEBI:62946	CHEBI:62946	CHEBI:62946	MAPPED	(NH4)2 SO4|(NH4)2S4|(NH4)2SO4(Fisher A 702)|Ammonium Sulfate|Original amount: (NH4)2SO4(Fisher A 702)|ammonium sulfate|ammonium sulfate (2:1)|ammonium sulphate|diammonium sulfate|diazanium sulfate|mascagnite|sulfuric acid ammonium salt (1:2)|sulfuric acid, diammonium salt|sulphate of ammonia	CultureMech:000292; CultureMech:015832; CultureMech:000285
Na2WO4 x 2 H2O	1305	CHEBI:63939	10213-10-2		CHEBI:63939	CHEBI:63939	MAPPED	Na-tungstate x 2 H2O|Na2WO2 x 2 H2O|Na2WO4 . 2H2O|Na2WO4 x 2 H2O (0.1% w/v)|Na2WO4 × 2H2O|Na2WO4*2H2O|Na2WO4.2H2O|Na2WO4·2H2O|Na2WO4・2H2O|NaWO4·2H2O|Sodium tungstate dihydrate|Tungstic acid, sodium salt, dihydrate|sodium dioxido(dioxo)tungsten--water (1/2)|sodium orthotungstate dihydrate|sodium tungstate dihydrate|sodium tungstate(VI) dihydrate	CultureMech:000285; CultureMech:000288; CultureMech:000287
Na2SeO3 x 5 H2O	1303	CHEBI:131361	26970-82-1		CHEBI:131361	CHEBI:131361	MAPPED	Selenious acid disodium salt, pentahydrate|Sodium selenite pentahydrate|disodium selenite hydrate|disodium selenite pentahydrate|sodium selenite hydrate|sodium selenite--water (1/5)	CultureMech:000140; CultureMech:000140; CultureMech:000285
Sodium resazurin	1280	CHEBI:8806	550-82-3	CHEBI:8806	CHEBI:8806	CHEBI:8806	MAPPED	Sodium resazurin|resazurin sodium salt	CultureMech:000283; CultureMech:000263; CultureMech:000254
FeCl2 x 4 H2O	1258	CHEBI:86249	13478-10-9	CHEBI:86249	CHEBI:86249	CHEBI:86249	MAPPED	FeCl 2 x 4 H2O|FeCl2 . 4H2O|FeCl2 4H2O|FeCl2 tetrahydrate|FeCl2 x 4 H2O (0.1% w/v in 0.2 N HCl)|FeCl2 x 4 H2O (0.2% w/v in 0.02 N HCl)|FeCl2 ∙ 4 H2O|FeCl2. 4H2O|FeCl2.4H2O|FeCl2·4H2O|FeCl2・4H2O|Ferrous chloride, tetrahydrate|Iron (II) chloride tetrahydrate|Iron (II) chloride, tetrahydrate|Iron chloride tetrahydrate|Iron(2+) chloride, tetrahydrate|dichloroiron--water (1/4)|iron dichloride tetrahydrate	CultureMech:000297; CultureMech:000283; CultureMech:000285
Na2CO3	1184	CHEBI:29377		CHEBI:29377	CHEBI:29377	CHEBI:29377	MAPPED	disodium trioxidocarbonate|sodium carbonate	CultureMech:000135; CultureMech:000255; CultureMech:000283
HCl	1151	CHEBI:17883	7647-01-0	CHEBI:17883	CHEBI:17883	CHEBI:17883	MAPPED	(0.05 molar)|(1M)|Chlorwasserstoff|HCl.|Hydrochloride|Hydrogen chloride|Hydrogenchlorid|Wasserstoffchlorid|[HCl]|chlorane|chloridohydrogen|chlorure d'hydrogene|cloruro de hidrogeno|hydrochloric acid|hydrogen chloride	CultureMech:000297; CultureMech:000285; CultureMech:000261
NaOH	1146	CHEBI:32145	1310-73-2	CHEBI:32145	CHEBI:32145	CHEBI:32145	MAPPED	(adjust if required)|Aetznatron|Natriumhydroxid|Sodium Hydroxide|caustic soda|hydroxyde de sodium|soda lye|sodium hydroxide|soude caustique	CultureMech:000140; CultureMech:000140; CultureMech:000262
Nitrilotriacetic acid	1141	CHEBI:44557	139-13-9	CHEBI:44557	CHEBI:44557	CHEBI:44557	MAPPED	( disodium salt)|( trisodium salt)|Complexon I|H3nta|Komplexon I|N(CH2-COOH)3|N,N-bis(carboxymethyl)glycine|Nitrilotriacetic acid (NTA)|Nitrilotriessigsaeure|Triglycollamic acid|Trilon A|alpha,alpha',alpha''-trimethylaminetricarboxylic acid|nitrilo-2,2',2''-triacetic acid|tri(carboxymethyl)amine|triglycine	CultureMech:000274; CultureMech:000287; CultureMech:000263
Sodium chloride	1044	CHEBI:26710	7647-14-5	CHEBI:26710	CHEBI:26710	CHEBI:26710	MAPPED	(adjust if required in range 100-150)|(for Agar medium autoclave separately)|Kochsalz|NaCl (Fisher S271-500)|NaCl(Fisher S271-500)|Natriumchlorid|Sodium Chloride|chlorure de sodium|cloruro sodico|common salt|natrii chloridum|rock salt|salt|sodium chloride|table salt	CultureMech:000133; CultureMech:000134; CultureMech:000256
CuSO4 x 5 H2O	1039	CHEBI:31440	7758-99-8	CHEBI:31440	CHEBI:31440	CHEBI:31440	MAPPED	Copper (II) sulfate pentahydrate|CuSO4 . 5H2O|CuSO4 .5H2O|CuSO4 x 5H2O|CuSO4 · 5H2O|CuSO4 ⋅ 5H2O|CuSO4.5H2O|CuSO4·5H2O|CuSO4・5H2O|copper sulfate pentahydrate|copper sulphate(5.H2O)|copper(2+) sulfate (1:1) pentahydrate|copper(2+) sulfate pentahydrate|copper(2+) sulfate--water (1/5)|copper(II) sulfate pentahydrate|copper(II) sulfate, pentahydrate|cupric sulfate pentahydrate	CultureMech:000139; CultureMech:000042; CultureMech:000053
L-Cysteine HCl x H2O	980	CHEBI:91248	7048-04-6		CHEBI:91248	CHEBI:91248	MAPPED	(1R)-1-carboxy-2-sulfanylethan-1-aminium chloride--water (1/1)|(2R)-2-Amino-3-sulfanyl-propanoic acid hydrochloride monohydrate|Cystein-HCl x 2 H2O (5% (w/v))|L--Cysteine・HCL・H2O|L-Cysteine HCl x H2O|L-Cysteine monohydrate monochloride|L-Cysteine・HCl・H2O|L-cysteine HCl.H2O|L-cysteine hydrochloride hydrate|L-cysteine hydrochloride--water (1/1)	CultureMech:000302; CultureMech:000288; CultureMech:000287
Na2SO4	928	CHEBI:32149	7757-82-6	CHEBI:32149	CHEBI:32149	CHEBI:32149	MAPPED	NaSO4|Natriumsulfat|Sodium Sulfate|disodium sulfate|disodium sulphate|salt cake|sodium sulfate|sodium sulphate	CultureMech:015860; CultureMech:015861; CultureMech:000283
Calcium D-(+)-pantothenate	885	CHEBI:31345	137-08-6	CHEBI:31345	CHEBI:31345	CHEBI:31345	MAPPED	Calcium D-(+)-pantothenate|Calcium panthothenate|Calcium pantothenate|D Calcium Panthothenate|D-Ca-pantothenate|D-Calcium pantothenate|DL-Calcium pantothenate|Hemicalcium D-(+)- pantothenate|Hemicalcium D-+-pantothenate|calcium D,L-pantothenate	CultureMech:000263; CultureMech:000254; CultureMech:000278
(DL)-alpha-Lipoic acid	872	CHEBI:16494	1077-28-7	CHEBI:16494	CHEBI:16494	CHEBI:16494	MAPPED	1,2-dithiolane-3-pentanoic acid|1,2-dithiolane-3-valeric acid|5-(1,2-dithiolan-3-yl)pentanoic acid|5-(1,2-dithiolan-3-yl)valeric acid|5-(dithiolan-3-yl)valeric acid|5-[3-(1,2-dithiolanyl)]pentanoic acid|6,8-thioctic acid|6,8-thiotic acid|6-thioctic acid|6-thiotic acid|Acetate-replacing factor|Biletan|DL-6,8-thioctic acid|DL-alpha-lipoic acid|Lipoate|Lipoic acid|Thioctansaeure|Thioctsaeure|Thioktsaeure|alpha-Liponsaeure|alpha-lipoic acid|lipoic acid|liponic acid	CultureMech:000263; CultureMech:000254; CultureMech:000278
Calcium pantothenate	817	CHEBI:31345	137-08-6	CHEBI:31345	CHEBI:31345	CHEBI:31345	MAPPED	Calcium D-(+)-pantothenate|Calcium panthothenate|Calcium pantothenate|D Calcium Panthothenate|D-Ca-pantothenate|D-Calcium pantothenate|DL-Calcium pantothenate|Hemicalcium D-(+)- pantothenate|Hemicalcium D-+-pantothenate|calcium D,L-pantothenate	CultureMech:000038; CultureMech:000050; CultureMech:000043
