proposed_id	term_type	label	definition	parent_or_subproperty	domain	range	xrefs	synonyms	phase	priority	traits_addressed	observations
METPO:1007023	Class	pH maximum tolerance	An environmental quality that describes the maximum pH value that supports growth.	METPO:1007021					4	HIGH		
METPO:1007024	Class	pH optimum	An environmental quality that describes the optimal pH value for growth.	METPO:1007021					4	HIGH		
METPO:1007025	Class	temperature tolerance range	An environmental quality that describes the range of temperatures that support growth.	METPO:1000000					4	HIGH		
METPO:1007026	Class	temperature minimum tolerance	An environmental quality that describes the minimum temperature that supports growth.	METPO:1007025					4	HIGH		
METPO:1007027	Class	temperature maximum tolerance	An environmental quality that describes the maximum temperature that supports growth.	METPO:1007025					4	HIGH		
METPO:1007028	Class	temperature optimum	An environmental quality that describes the optimal temperature for growth.	METPO:1007025					4	HIGH		
METPO:1007029	Class	salinity tolerance range	An environmental quality that describes the range of salt concentrations that support growth.	METPO:1000000					4	HIGH		
METPO:1007030	Class	salinity minimum tolerance	An environmental quality that describes the minimum salinity/NaCl concentration that supports growth.	METPO:1007029					4	HIGH		
METPO:1007031	Class	salinity maximum tolerance	An environmental quality that describes the maximum salinity/NaCl concentration that supports growth.	METPO:1007029					4	HIGH		
METPO:1007032	Class	salinity optimum	An environmental quality that describes the optimal salinity/NaCl concentration for growth.	METPO:1007029					4	HIGH		
METPO:1007040	Class	indole production capability	A phenotypic capability describing the production of indole from tryptophan via tryptophanase.	METPO:1000000			CHEBI:16881|GO:0050048	indole test positive	4	MEDIUM		
METPO:1007041	Class	methyl red test positive	A phenotypic quality indicating a positive methyl red test, demonstrating mixed acid fermentation with stable acid production.	METPO:1000000			GO:0019660	MR test positive	4	MEDIUM		
METPO:1007042	Class	hemolytic activity	A phenotypic quality describing the ability to lyse red blood cells, classified as alpha (partial), beta (complete), or gamma (no hemolysis).	METPO:1000000			GO:0044179	hemolysis|alpha-hemolysis|beta-hemolysis|gamma-hemolysis	4	MEDIUM		
METPO:1007050	Class	selective media growth capability	A phenotypic capability describing the ability to grow on selective or differential media.	METPO:1000000				grows on MacConkey agar|grows on blood agar|grows on EMB agar	4	LOW		
METPO:1007051	Class	bile resistance	A phenotypic quality describing the ability to grow in the presence of bile acids or bile salts.	METPO:1000000			CHEBI:3098	bile tolerance	4	LOW		
METPO:1007052	Class	biosafety level classification	A risk assessment quality describing the biosafety level (BSL-1 to BSL-4) assigned to an organism.	METPO:1000000				BSL classification|BSL-1|BSL-2|BSL-3|BSL-4	4	LOW		
METPO:1007060	Class	colony pigmentation	A phenotypic quality describing the pigmentation of colonies grown on solid media.	METPO:1007004			PATO:0000014		4	LOW		
METPO:1007061	Class	motility phenotype	A phenotypic quality describing whether an organism is motile or non-motile.	METPO:1000000			GO:0001539	motile|non-motile	4	MEDIUM		
METPO:1007062	Class	colony morphology	A phenotypic quality describing macroscopic colony characteristics (shape, margin, elevation, surface).	METPO:1000000			PATO:0000052		4	LOW		
