phase	our_proposed_id	ACTUAL_METPO_ID	status	label	definition	domain	range	addresses_traits	trait_count	occurrences	priority	action_needed
4	METPO:1007011	METPO:2000712	EXISTS	has estimated genome size value	The estimated genome size value in base pairs.	biolink:OrganismTaxon	xsd:decimal	estimated genome size	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
4	METPO:1007012	METPO:2000713	EXISTS	has gene count value	The number of genes in an organism's genome.	biolink:OrganismTaxon	xsd:decimal	gene count	1	100+	MEDIUM	USE EXISTING - Implement in transforms immediately
4	METPO:1007012	METPO:2000714	EXISTS	has estimated gene count value	The estimated number of genes in an organism's genome.	biolink:OrganismTaxon	xsd:decimal	estimated gene count	1	100+	MEDIUM	USE EXISTING - Implement in transforms immediately
4	METPO:1007013	METPO:2000716	EXISTS	has coding density value	The coding density (percentage of genome that codes for proteins) value.	biolink:OrganismTaxon	xsd:decimal	coding density	1	100+	LOW	USE EXISTING - Implement in transforms immediately
4	METPO:1007002	METPO:2000721	EXISTS	has cell length value	The cell length value in micrometers.	biolink:OrganismTaxon	xsd:decimal	cell length	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
4	METPO:1007003	METPO:2000722	EXISTS	has cell width value	The cell width value in micrometers.	biolink:OrganismTaxon	xsd:decimal	cell width	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
4	METPO:1007002	METPO:2000723	EXISTS	has minimum cell length value	The minimum cell length value in micrometers.	biolink:OrganismTaxon	xsd:decimal	cell length minimum	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
4	METPO:1007002	METPO:2000724	EXISTS	has maximum cell length value	The maximum cell length value in micrometers.	biolink:OrganismTaxon	xsd:decimal	cell length maximum	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
4	METPO:1007003	METPO:2000725	EXISTS	has minimum cell width value	The minimum cell width value in micrometers.	biolink:OrganismTaxon	xsd:decimal	cell width minimum	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
4	METPO:1007003	METPO:2000726	EXISTS	has maximum cell width value	The maximum cell width value in micrometers.	biolink:OrganismTaxon	xsd:decimal	cell width maximum	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
