phase	term_id_suggestion	term_type	label	definition	domain	range	parent	addresses_traits	trait_count	occurrences	priority	notes
2	METPO:2000022	ObjectProperty	uses as energy source	A relation between an organism and a chemical entity, where the organism oxidizes or catabolizes the chemical primarily for energy (ATP) generation.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000001	energy source: [chemical]	97	41000+	CRITICAL	Distinct from carbon source (biomass) and electron donor/acceptor
2	METPO:2000023	ObjectProperty	uses as nitrogen source	A relation between an organism and a nitrogen-containing chemical, where the organism assimilates the nitrogen for biosynthesis.	biolink:OrganismTaxon	CHEBI:51143	METPO:2000001	nitrogen source: [chemical]	57	41000+	HIGH	May already exist as METPO:2000014 - verify
2	METPO:2000024	ObjectProperty	uses as electron donor	A relation between an organism and a chemical entity, where the organism oxidizes the chemical to obtain electrons for energy metabolism.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000001	electron donor: [chemical]	53	41000+	HIGH	Complements METPO:2000008 (electron acceptor)
3	METPO:2000025	ObjectProperty	produces acid from	Organism produces acid from substrate via fermentation or metabolism.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000202	builds acid from: [substrate]	28	41000+	HIGH	Specific metabolic outcome; more specific than METPO:2000202 (produces)
3	METPO:2000026	ObjectProperty	produces gas from	Organism produces gas (CO2, H2, CH4, etc.) from substrate.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000202	builds gas from: [substrate]	16	41000+	MEDIUM	Specific metabolic outcome
3	METPO:2000027	ObjectProperty	produces base from	Organism produces base/alkaline products from substrate.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000202	builds base from: [substrate]	7	41000+	LOW	Specific metabolic outcome
4	METPO:1007001	Class	cell shape	A phenotypic quality that describes the geometric shape of a bacterial or archaeal cell.	biolink:OrganismTaxon		METPO:1000000	cell shape	1	100+	HIGH	Values: rod, coccus, spiral, filamentous, pleomorphic
4	METPO:1007002	Class	cell length	A phenotypic quality that describes the length of a bacterial or archaeal cell, typically measured in micrometers.	biolink:OrganismTaxon		METPO:1000000	cell length, cell length min/max	3	300+	HIGH	Unit: UO:0000017 (micrometer)
4	METPO:1007003	Class	cell width	A phenotypic quality that describes the width or diameter of a bacterial or archaeal cell, typically measured in micrometers.	biolink:OrganismTaxon		METPO:1000000	cell width, cell width min/max	3	300+	HIGH	Unit: UO:0000017 (micrometer)
4	METPO:1007004	Class	cell color	A phenotypic quality that describes the color or pigmentation of bacterial or archaeal cells.	biolink:OrganismTaxon		METPO:1000000	cell color	2	200+	MEDIUM	Values: yellow, white, cream, orange, red, pink, purple, green, brown
4	METPO:1007005	Class	flagellar arrangement	A phenotypic quality that describes the arrangement pattern of flagella on a cell.	biolink:OrganismTaxon		METPO:1000000	flagellum arrangement	1	100+	MEDIUM	Values: monotrichous, peritrichous, lophotrichous, amphitrichous, polar
4	METPO:1007010	Class	GC content percentage	A genomic quality that describes the percentage of guanine-cytosine base pairs in the genome.	biolink:OrganismTaxon		METPO:1000000	GC percentage	1	100+	HIGH	Key taxonomic marker; unit: percent; typical range 25-75%
4	METPO:1007011	Class	genome size	A genomic quality that describes the total size of the genome in base pairs.	biolink:OrganismTaxon		METPO:1000000	genome size, estimated genome size	2	200+	HIGH	Unit: UO:0000329 (base pair); typical bacterial range 0.5-10 Mbp
4	METPO:1007012	Class	gene count	A genomic quality that describes the total number of genes in the genome.	biolink:OrganismTaxon		METPO:1000000	gene count, estimated gene count	2	200+	MEDIUM	Annotated or predicted; typical bacterial range 500-10,000 genes
4	METPO:1007013	Class	coding density	A genomic quality that describes the percentage of the genome that codes for proteins.	biolink:OrganismTaxon		METPO:1000000	coding density	1	100+	LOW	Unit: percent; typical bacterial range 80-95%
4	METPO:1007020	Class	oxygen requirement	A phenotypic quality that describes the oxygen requirement for growth.	biolink:OrganismTaxon		METPO:1000000	oxygen preference	1	100+	HIGH	Values: obligate aerobe, facultative, obligate anaerobe, microaerophile
4	METPO:1007021	Class	pH tolerance range	An environmental quality that describes the range of pH values that support growth.	biolink:OrganismTaxon		METPO:1000000	pH growth	1	100+	HIGH	Scaffolding for Phase 1 pH data properties
4	METPO:1007022	Class	pH minimum tolerance	An environmental quality that describes the minimum pH value that supports growth.	biolink:OrganismTaxon		METPO:1007021	pH minimum	1	100+	HIGH	Works with METPO:has_pH_minimum property
4	METPO:1007023	Class	pH maximum tolerance	An environmental quality that describes the maximum pH value that supports growth.	biolink:OrganismTaxon		METPO:1007021	pH maximum	1	100+	HIGH	Works with METPO:has_pH_maximum property
4	METPO:1007024	Class	pH optimum	An environmental quality that describes the optimal pH value for growth.	biolink:OrganismTaxon		METPO:1007021	pH preference	1	100+	HIGH	Works with METPO:has_pH_optimum property
4	METPO:1007025	Class	temperature tolerance range	An environmental quality that describes the range of temperatures that support growth.	biolink:OrganismTaxon		METPO:1000000	temperature growth	1	100+	HIGH	Scaffolding for Phase 1 temperature data properties
4	METPO:1007026	Class	temperature minimum tolerance	An environmental quality that describes the minimum temperature that supports growth.	biolink:OrganismTaxon		METPO:1007025	temperature minimum	1	100+	HIGH	Works with METPO:has_growth_temperature_minimum property
4	METPO:1007027	Class	temperature maximum tolerance	An environmental quality that describes the maximum temperature that supports growth.	biolink:OrganismTaxon		METPO:1007025	temperature maximum	1	100+	HIGH	Works with METPO:has_growth_temperature_maximum property
4	METPO:1007028	Class	temperature optimum	An environmental quality that describes the optimal temperature for growth.	biolink:OrganismTaxon		METPO:1007025	temperature preference	1	100+	HIGH	Works with METPO:has_growth_temperature_optimum property
4	METPO:1007029	Class	salinity tolerance range	An environmental quality that describes the range of salt concentrations that support growth.	biolink:OrganismTaxon		METPO:1000000	salinity growth	1	100+	MEDIUM	Scaffolding for Phase 1 NaCl data properties
4	METPO:1007030	Class	salinity minimum tolerance	An environmental quality that describes the minimum salinity/NaCl concentration that supports growth.	biolink:OrganismTaxon		METPO:1007029	salinity minimum	1	100+	MEDIUM	Works with METPO:has_NaCl_concentration_minimum property
4	METPO:1007031	Class	salinity maximum tolerance	An environmental quality that describes the maximum salinity/NaCl concentration that supports growth.	biolink:OrganismTaxon		METPO:1007029	salinity maximum	1	100+	MEDIUM	Works with METPO:has_NaCl_concentration_maximum property
4	METPO:1007032	Class	salinity optimum	An environmental quality that describes the optimal salinity/NaCl concentration for growth.	biolink:OrganismTaxon		METPO:1007029	salinity preference	1	100+	MEDIUM	Works with METPO:has_NaCl_concentration_optimum property
4	METPO:1007040	Class	indole production capability	A phenotypic capability describing the production of indole from tryptophan via tryptophanase.	biolink:OrganismTaxon		METPO:1000000	indole test	1	100+	MEDIUM	Standard biochemical test; see CHEBI:16881, GO:0050048
4	METPO:1007041	Class	methyl red test positive	A phenotypic quality indicating a positive methyl red test (mixed acid fermentation).	biolink:OrganismTaxon		METPO:1000000	methyl red test	1	100+	MEDIUM	Part of IMViC test series for Enterobacteriaceae
4	METPO:1007042	Class	hemolytic activity	A phenotypic quality describing the ability to lyse red blood cells (alpha/beta/gamma hemolysis).	biolink:OrganismTaxon		METPO:1000000	presence of hemolysis	1	100+	MEDIUM	Standard blood agar test; alpha/beta/gamma classification
4	METPO:1007050	Class	selective media growth capability	A phenotypic capability describing the ability to grow on selective or differential media.	biolink:OrganismTaxon		METPO:1000000	growth: MacConkey/blood/EMB agar	3	300+	LOW	Examples: MacConkey, EMB, blood agar
4	METPO:1007051	Class	bile resistance	A phenotypic quality describing the ability to grow in the presence of bile acids or bile salts.	biolink:OrganismTaxon		METPO:1000000	bile-related growth	1	100+	LOW	Important for gut microbiome organisms; 0.3-2% bile
4	METPO:1007052	Class	biosafety level classification	A risk assessment quality describing the biosafety level (BSL-1 to BSL-4) assigned to an organism.	biolink:OrganismTaxon		METPO:1000000	biosafety level	1	100+	LOW	May be outside METPO scope (regulatory vs biological)
5	N/A - ChEBI improvements only	Infrastructure	ChEBI synonym expansion	Expand ChEBI synonym matching to include variant names and stereochemistry normalization.	N/A	N/A	N/A	produces/carbon source/fermentation failures	151	7500+	HIGH	NO NEW METPO TERMS - Code changes only in ChemicalMappingLoader
5	N/A - ChEBI improvements only	Infrastructure	Stereochemistry normalization	Remove (R)/(S)/(+)/(-) prefixes for broader ChEBI matching.	N/A	N/A	N/A	carbon source failures	27	3000+	HIGH	NO NEW METPO TERMS - Code changes only
5	N/A - ChEBI improvements only	Infrastructure	ENVO material fallback	Use ENVO ontology for material degradation (plastic, aromatic compounds).	N/A	N/A	N/A	degradation: plastic/aromatic	12	1000+	HIGH	NO NEW METPO TERMS - Code changes only
5	N/A - ChEBI improvements only	Infrastructure	Complex substrate manual mapping	Add manual mapping file for protein/polymer substrates (casein, gelatin).	N/A	N/A	N/A	hydrolysis: casein/gelatin	9	900+	HIGH	NO NEW METPO TERMS - New mapping file: complex_substrate_mappings.tsv
6	METPO:1007060	Class	barophile phenotype	A phenotypic quality describing the ability to grow under high pressure conditions.	biolink:OrganismTaxon		METPO:1000000	pressure tolerance	1	50+	MEDIUM	OPTIONAL - Phase 6 (deferred)
6	METPO:1007061	Class	radioresistant phenotype	A phenotypic quality describing resistance to ionizing radiation.	biolink:OrganismTaxon		METPO:1000000	radiation tolerance	1	50+	MEDIUM	OPTIONAL - Phase 6
6	METPO:1007062	Class	osmophile phenotype	A phenotypic quality describing the ability to grow in high osmotic pressure environments.	biolink:OrganismTaxon		METPO:1000000	osmotic tolerance	1	50+	MEDIUM	OPTIONAL - Phase 6
6	METPO:1007063	Class	metallophile phenotype	A phenotypic quality describing tolerance to heavy metals.	biolink:OrganismTaxon		METPO:1000000	metal tolerance	1	50+	LOW	OPTIONAL - Phase 6
6	METPO:1007070	Class	spore formation capability	A phenotypic capability describing the ability to form endospores or exospores.	biolink:OrganismTaxon		METPO:1000000	spore formation	1	50+	MEDIUM	OPTIONAL - Phase 6
6	METPO:1007071	Class	capsule presence	A phenotypic quality indicating the presence of a polysaccharide capsule.	biolink:OrganismTaxon		METPO:1000000	capsule	1	50+	MEDIUM	OPTIONAL - Phase 6
6	METPO:1007072	Class	biofilm formation capability	A phenotypic capability describing the ability to form biofilms.	biolink:OrganismTaxon		METPO:1000000	biofilm formation	1	50+	MEDIUM	OPTIONAL - Phase 6
6	METPO:1007080	Class	catalase activity	A phenotypic capability indicating catalase enzyme activity.	biolink:OrganismTaxon		METPO:1000000	catalase test	1	50+	MEDIUM	OPTIONAL - Phase 6; may overlap with enzyme activity terms
6	METPO:1007081	Class	oxidase activity	A phenotypic capability indicating cytochrome oxidase activity.	biolink:OrganismTaxon		METPO:1000000	oxidase test	1	50+	MEDIUM	OPTIONAL - Phase 6
6	METPO:1007082	Class	urease activity	A phenotypic capability indicating urease enzyme activity.	biolink:OrganismTaxon		METPO:1000000	urease test	1	50+	MEDIUM	OPTIONAL - Phase 6
6	METPO:2000030	ObjectProperty	capable of denitrification	Organism can perform denitrification (reduction of nitrate to nitrogen gas).	biolink:OrganismTaxon	GO:0019333	METPO:2000103	denitrification	1	100+	MEDIUM	OPTIONAL - Phase 6; links to GO:0019333 (denitrification)
6	METPO:2000031	ObjectProperty	capable of nitrogen fixation	Organism can perform biological nitrogen fixation (N2 to NH3).	biolink:OrganismTaxon	GO:0009399	METPO:2000103	nitrogen fixation	1	100+	MEDIUM	OPTIONAL - Phase 6; links to GO:0009399 (nitrogen fixation)
