identifier	current_producer_edge_rows	producer_counts	sample_edges
cas:10039-56-2	0	{}	[]
cas:10049-21-5	0	{}	[]
cas:10124-27-3	0	{}	[]
cas:1030365-02-6	0	{}	[]
cas:1040352-40-6	0	{}	[]
cas:1075236-89-3	0	{}	[]
cas:108321-42-2	0	{}	[]
cas:11078-27-6	0	{}	[]
cas:11078-30-1	0	{}	[]
cas:11078-31-2	0	{}	[]
cas:11138-66-2	0	{}	[]
cas:1115-63-5	0	{}	[]
cas:12054-85-2	0	{}	[]
cas:120618-65-7	0	{}	[]
cas:12135-76-1	0	{}	[]
cas:123333-66-4	0	{}	[]
cas:123409-00-7	0	{}	[]
cas:124-09-4	0	{}	[]
cas:128596-80-5	0	{}	[]
cas:13235-36-4	0	{}	[]
cas:13408-09-8	0	{}	[]
cas:13446-18-9	0	{}	[]
cas:138-86-7	0	{}	[]
cas:139893-43-9	0	{}	[]
cas:1405-97-6	0	{}	[]
cas:143314-17-4	0	{}	[]
cas:145224-92-6	0	{}	[]
cas:145224-94-8	2	"{""mediadive"": 2}"	"[{""object"": ""cas:145224-94-8"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:6422""}, {""object"": ""cas:145224-94-8"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:6445""}]"
cas:14586-35-7	0	{}	[]
cas:150-90-3	0	{}	[]
cas:15467-20-6	0	{}	[]
cas:154804-51-0	0	{}	[]
cas:157574-76-0	0	{}	[]
cas:16788-57-1	0	{}	[]
cas:172669-64-6	0	{}	[]
cas:17603-42-8	0	{}	[]
cas:17629-30-0	0	{}	[]
cas:17659-49-3	0	{}	[]
cas:17989-41-2	0	{}	[]
cas:184901-84-6	0	{}	[]
cas:19046-60-7	0	{}	[]
cas:1924-24-9	0	{}	[]
cas:201417-01-8	0	{}	[]
cas:20211-76-1	0	{}	[]
cas:202185-84-0	2	"{""mediadive"": 2}"	"[{""object"": ""cas:202185-84-0"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:2562""}, {""object"": ""cas:202185-84-0"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:4928""}]"
cas:206986-87-0	0	{}	[]
cas:207291-81-4	0	{}	[]
cas:207511-06-6	0	{}	[]
cas:207511-10-2	0	{}	[]
cas:21288-61-9	0	{}	[]
cas:23537-25-9	0	{}	[]
cas:2451-01-6	0	{}	[]
cas:25541-09-7	0	{}	[]
cas:26016-99-9	0	{}	[]
cas:26177-86-6	0	{}	[]
cas:28643-80-3	0	{}	[]
cas:2922-28-3	0	{}	[]
cas:29435-48-1	0	{}	[]
cas:29849-82-9	0	{}	[]
cas:303-07-1	0	{}	[]
cas:30462-35-2	0	{}	[]
cas:305-01-1	0	{}	[]
cas:305-72-6	0	{}	[]
cas:308066-66-2	0	{}	[]
cas:312693-63-3	0	{}	[]
cas:314041-10-6	0	{}	[]
cas:323194-76-9	0	{}	[]
cas:3287-99-8	0	{}	[]
cas:333-93-7	0	{}	[]
cas:3374-05-8	0	{}	[]
cas:343336-76-5	0	{}	[]
cas:34393-27-6	0	{}	[]
cas:3470-37-9	0	{}	[]
cas:36064-19-4	0	{}	[]
cas:37294-28-3	0	{}	[]
cas:37331-28-5	0	{}	[]
cas:3759-92-1	0	{}	[]
cas:392-12-1	0	{}	[]
cas:39280-21-2	0	{}	[]
cas:39455-18-0	0	{}	[]
cas:4502-00-5	0	{}	[]
cas:461-06-3	0	{}	[]
cas:50-01-1	0	{}	[]
cas:5094-24-6	0	{}	[]
cas:520-43-4	0	{}	[]
cas:52698-84-7	0	{}	[]
cas:5285-18-7	0	{}	[]
cas:53179-09-2	0	{}	[]
cas:541-09-3	0	{}	[]
cas:54261-98-2	0	{}	[]
cas:54724-00-4	0	{}	[]
cas:55073-41-1	0	{}	[]
cas:564-20-5	0	{}	[]
cas:5728-44-9	0	{}	[]
cas:5743-04-4	0	{}	[]
cas:590-46-5	1	"{""mediadive"": 1}"	"[{""object"": ""cas:590-46-5"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:2115""}]"
cas:5968-11-6	0	{}	[]
cas:6119-47-7	0	{}	[]
cas:612-05-5	0	{}	[]
cas:6342-92-3	0	{}	[]
cas:6363-53-7	0	{}	[]
cas:6382-01-0	0	{}	[]
cas:64309-00-8	0	{}	[]
cas:6487-48-5	0	{}	[]
cas:65710-07-8	0	{}	[]
cas:66455-27-4	0	{}	[]
cas:66508-37-0	0	{}	[]
cas:66768-39-6	0	{}	[]
cas:69004-03-1	0	{}	[]
cas:70442-25-0	0	{}	[]
cas:71592-46-6	0	{}	[]
cas:7284-15-3	0	{}	[]
cas:74978-20-4	0	{}	[]
cas:751-94-0	0	{}	[]
cas:7578-25-8	0	{}	[]
cas:7787-60-2	0	{}	[]
cas:7791-07-3	0	{}	[]
cas:79645-27-5	0	{}	[]
cas:8002-48-0	0	{}	[]
cas:8013-01-2	0	{}	[]
cas:8025-81-8	0	{}	[]
cas:8068-05-1	0	{}	[]
cas:84082-64-4	1	"{""mediadive"": 1}"	"[{""object"": ""cas:84082-64-4"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3267""}]"
cas:84843-69-6	0	{}	[]
cas:85144-11-2	0	{}	[]
cas:853-68-9	4	"{""mediadive"": 4}"	"[{""object"": ""cas:853-68-9"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1113""}, {""object"": ""cas:853-68-9"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1581""}, {""object"": ""cas:853-68-9"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1582""}]"
cas:86482-18-0	0	{}	[]
cas:9000-01-5	0	{}	[]
cas:9004-95-9	0	{}	[]
cas:9005-79-2	0	{}	[]
cas:9036-88-8	0	{}	[]
cas:9049-37-0	0	{}	[]
cas:9067-32-7	0	{}	[]
cas:91000-53-2	1	"{""mediadive"": 1}"	"[{""object"": ""cas:91000-53-2"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:2406""}]"
cas:91079-46-8	0	{}	[]
cas:91446-96-7	0	{}	[]
cas:91510-62-2	0	{}	[]
cas:967-80-6	0	{}	[]
cas:97281-52-2	0	{}	[]
cas:9789-92-0	0	{}	[]
kgmicrobe.compound:1-ethyl-3-methylimidazolium_acetate	0	{}	[]
kgmicrobe.compound:14-b-d-galactobiose	0	{}	[]
kgmicrobe.compound:2-deoxy-d-ribonic_acid_lithium_salt	0	{}	[]
kgmicrobe.compound:2-deoxyadenosine_monohydrate	0	{}	[]
kgmicrobe.compound:2-hydroxybutyric_acid_sodium_salt	0	{}	[]
kgmicrobe.compound:2-keto-d-gluconic_acid_hemicalcium_salt_hydrate	0	{}	[]
kgmicrobe.compound:24-diamino-67-di-iso-propylpteridine_phosphate	0	{}	[]
kgmicrobe.compound:3-fucosyllactose	0	{}	[]
kgmicrobe.compound:3-o-methyl_alpha-d-glucopyranoside	38	"{""metatraits"": 21, ""metatraits_gtdb"": 17}"	"[{""object"": ""kgmicrobe.compound:3-o-methyl_alpha-d-glucopyranoside"", ""predicate"": ""METPO:2000027"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:1866""}, {""object"": ""kgmicrobe.compound:3-o-methyl_alpha-d-glucopyranoside"", ""predicate"": ""METPO:2000003"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:2109337""}, {""object"": ""kgmicrobe.compound:3-o-methyl_alpha-d-glucopyranoside"", ""predicate"": ""METPO:2000011"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:356829""}]"
kgmicrobe.compound:3-sialyllactose_sodium_salt	0	{}	[]
kgmicrobe.compound:36-dihydroxyflavone	0	{}	[]
kgmicrobe.compound:4-hydroxymandelic_acid_monohydrate	0	{}	[]
kgmicrobe.compound:4-methoxyflavone	0	{}	[]
kgmicrobe.compound:4-methyl-2-oxopentanoic_acid_sodium_salt	0	{}	[]
kgmicrobe.compound:5-fluoroorotic_acid_hydrate	0	{}	[]
kgmicrobe.compound:5-keto-d-gluconic_acid_potassium_salt	0	{}	[]
kgmicrobe.compound:6-o-sialyllactose_sodium_salt	0	{}	[]
kgmicrobe.compound:6-pentyl-2h-pyran-2-one	0	{}	[]
kgmicrobe.compound:72-dihydroxyflavone	0	{}	[]
kgmicrobe.compound:84_gl_nahco3_solution	2	"{""mediadive"": 2}"	"[{""object"": ""CHEBI:32139"", ""predicate"": ""biolink:subclass_of"", ""producer"": ""mediadive"", ""subject"": ""kgmicrobe.compound:84_gl_nahco3_solution""}, {""object"": ""kgmicrobe.compound:84_gl_nahco3_solution"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:4198""}]"
kgmicrobe.compound:a-ketoglutaric_acid_disodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:abyssomicin_d	0	{}	[]
kgmicrobe.compound:actinomycin_a	1	"{""metatraits"": 1}"	"[{""object"": ""kgmicrobe.compound:actinomycin_a"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:1890""}]"
kgmicrobe.compound:actinotiocin	0	{}	[]
kgmicrobe.compound:adenine_hydrochloride_hydrate	0	{}	[]
kgmicrobe.compound:aluminum_chloride_hydrate	0	{}	[]
kgmicrobe.compound:ammonium_molybdate_tetrahydrate	0	{}	[]
kgmicrobe.compound:ammonium_sulfide_solution	0	{}	[]
kgmicrobe.compound:amphotericin_a	0	{}	[]
kgmicrobe.compound:angolamycin	0	{}	[]
kgmicrobe.compound:anisodamine_hydrobromide	0	{}	[]
kgmicrobe.compound:anisodamine_hydrobromide_~28~29	0	{}	[]
kgmicrobe.compound:apigenin_dimethyl_ether	0	{}	[]
kgmicrobe.compound:apramycin_sulfate_salt	0	{}	[]
kgmicrobe.compound:arabinotriose	0	{}	[]
kgmicrobe.compound:arginine	0	{}	[]
kgmicrobe.compound:aromatic_hydrocarbon	0	{}	[]
kgmicrobe.compound:ascorbic_acid	0	{}	[]
kgmicrobe.compound:asparagine	0	{}	[]
kgmicrobe.compound:atrop_abyssomicin_c	2	"{""metatraits"": 1, ""metatraits_gtdb"": 1}"	"[{""object"": ""kgmicrobe.compound:atrop_abyssomicin_c"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:1003110""}, {""object"": ""kgmicrobe.compound:atrop_abyssomicin_c"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits_gtdb"", ""subject"": ""NCBITaxon:84594""}]"
kgmicrobe.compound:bacillomycin	0	{}	[]
kgmicrobe.compound:bathocuproine_disulfonic_acid_disodium_salt	0	{}	[]
kgmicrobe.compound:bathophenanthrolinedisulfonic_acid_disodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:beta-glycerophosphate_disodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:beta_lipomycin	0	{}	[]
kgmicrobe.compound:betaine_hydrochloride	0	{}	[]
kgmicrobe.compound:betaine_x_h2o	0	{}	[]
kgmicrobe.compound:butyricin_7423	0	{}	[]
kgmicrobe.compound:cadmium_acetate_dihydrate	0	{}	[]
kgmicrobe.compound:candiplanecin	0	{}	[]
kgmicrobe.compound:carnitine_dl_hydrochloride	0	{}	[]
kgmicrobe.compound:carnitine_~28dl~29_hydrochloride	0	{}	[]
kgmicrobe.compound:cecl3_x_7_h2o	0	{}	[]
kgmicrobe.compound:cefsulodin_sodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:ceftazidime_hydrate	0	{}	[]
kgmicrobe.compound:cellobiose	0	{}	[]
kgmicrobe.compound:cephamycin_a	1	"{""metatraits"": 1}"	"[{""object"": ""kgmicrobe.compound:cephamycin_a"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:132470""}]"
kgmicrobe.compound:cetomacrogol_1000	0	{}	[]
kgmicrobe.compound:chlorhexidine_diacetate_salt_hydrate	0	{}	[]
kgmicrobe.compound:chondroitin_sulfate_a_sodium_salt_from_bovine_trachea	0	{}	[]
kgmicrobe.compound:chrysanthemic_acid_ethyl_ester	0	{}	[]
kgmicrobe.compound:cinerubin_a	2	"{""metatraits"": 1, ""metatraits_gtdb"": 1}"	"[{""object"": ""kgmicrobe.compound:cinerubin_a"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:67280""}, {""object"": ""kgmicrobe.compound:cinerubin_a"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits_gtdb"", ""subject"": ""NCBITaxon:67280""}]"
kgmicrobe.compound:cocl2_x_2_h2o	2	"{""mediadive"": 2}"	"[{""object"": ""kgmicrobe.compound:cocl2_x_2_h2o"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1241""}, {""object"": ""kgmicrobe.compound:cocl2_x_2_h2o"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1533""}]"
kgmicrobe.compound:cocl2_x_4_h2o	0	{}	[]
kgmicrobe.compound:congocidin	1	"{""metatraits"": 1}"	"[{""object"": ""kgmicrobe.compound:congocidin"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:1889""}]"
kgmicrobe.compound:crkso42_x_12_h2o	0	{}	[]
kgmicrobe.compound:cu_no32_x_3_h2o	0	{}	[]
kgmicrobe.compound:cucl2_x_6_h2o	0	{}	[]
kgmicrobe.compound:curdlan	0	{}	[]
kgmicrobe.compound:cystargin	0	{}	[]
kgmicrobe.compound:cysteine	0	{}	[]
kgmicrobe.compound:d-_-melezitose_hydrate	0	{}	[]
kgmicrobe.compound:d-_-melezitose_monohydrate	0	{}	[]
kgmicrobe.compound:d-fructose_6-phosphate_disodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:d-galacturonic_acid_monohydrate	0	{}	[]
kgmicrobe.compound:d-glucuronic_acid	0	{}	[]
kgmicrobe.compound:d-glucuronic_acid_sodium_salt_monohydrate	0	{}	[]
kgmicrobe.compound:d-maltose_monohydrate	0	{}	[]
kgmicrobe.compound:d-mannose_6-phosphate_sodium_salt	0	{}	[]
kgmicrobe.compound:d-raffinose_pentahydrate	0	{}	[]
kgmicrobe.compound:d-xylose_5-phosphate_lithium_salt	0	{}	[]
kgmicrobe.compound:decaplanin	0	{}	[]
kgmicrobe.compound:deuterated_glucose	0	{}	[]
kgmicrobe.compound:dimethylfraxetin	0	{}	[]
kgmicrobe.compound:disodium_phosphate_heptahydrate_002_m_stock	0	{}	[]
kgmicrobe.compound:disodium_phosphate_heptahydrate_~28002_m_stock~29	0	{}	[]
kgmicrobe.compound:dl-dithiothreitol	0	{}	[]
kgmicrobe.compound:dl-glycerol_1-phosphate_sodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:dl-isocitric_acid_trisodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:dopsisamine	0	{}	[]
kgmicrobe.compound:duartin_~28-~29	0	{}	[]
kgmicrobe.compound:edta_tetrasodium_tetrahydrate_salt	0	{}	[]
kgmicrobe.compound:etamycin	0	{}	[]
kgmicrobe.compound:ethylenediamine_n_n_disuccinic_acid	0	{}	[]
kgmicrobe.compound:ethylenediamine_n_n_prime_disuccinic_acid	2	"{""metatraits"": 1, ""metatraits_gtdb"": 1}"	"[{""object"": ""kgmicrobe.compound:ethylenediamine_n_n_prime_disuccinic_acid"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:208439""}, {""object"": ""kgmicrobe.compound:ethylenediamine_n_n_prime_disuccinic_acid"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits_gtdb"", ""subject"": ""NCBITaxon:208439""}]"
kgmicrobe.compound:fecl2_x_6_h2o	1	"{""mediadive"": 1}"	"[{""object"": ""kgmicrobe.compound:fecl2_x_6_h2o"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1191""}]"
kgmicrobe.compound:fecl3_x_4_h2o	0	{}	[]
kgmicrobe.compound:fish-sperm_dna	0	{}	[]
kgmicrobe.compound:flavofungin	0	{}	[]
kgmicrobe.compound:fosmidomycin_sodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:fradicin	0	{}	[]
kgmicrobe.compound:fructooligosaccharides_fos	0	{}	[]
kgmicrobe.compound:fructooligosaccharides_~28fos~29	0	{}	[]
kgmicrobe.compound:fucose	0	{}	[]
kgmicrobe.compound:furaltadone_hydrochloride	0	{}	[]
kgmicrobe.compound:furaxone	0	{}	[]
kgmicrobe.compound:fusidic_acid_sodium_salt	0	{}	[]
kgmicrobe.compound:galactomannan_from_guar	0	{}	[]
kgmicrobe.compound:galactose_1-phosphate_dipotassium_salt_pentahydrate	0	{}	[]
kgmicrobe.compound:gardimycin	0	{}	[]
kgmicrobe.compound:geomycin	2	"{""metatraits"": 1, ""metatraits_gtdb"": 1}"	"[{""object"": ""kgmicrobe.compound:geomycin"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:67385""}, {""object"": ""kgmicrobe.compound:geomycin"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits_gtdb"", ""subject"": ""NCBITaxon:67385""}]"
kgmicrobe.compound:gepotidacin	0	{}	[]
kgmicrobe.compound:glebomycin	2	"{""metatraits"": 1, ""metatraits_gtdb"": 1}"	"[{""object"": ""kgmicrobe.compound:glebomycin"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:249580""}, {""object"": ""kgmicrobe.compound:glebomycin"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits_gtdb"", ""subject"": ""NCBITaxon:58346""}]"
kgmicrobe.compound:glucomannan_konjac	0	{}	[]
kgmicrobe.compound:glucomannan_~28konjac~29	0	{}	[]
kgmicrobe.compound:gluconic_acid	0	{}	[]
kgmicrobe.compound:glucuronamide	0	{}	[]
kgmicrobe.compound:glutamic_acid	0	{}	[]
kgmicrobe.compound:gly-dl-asp	0	{}	[]
kgmicrobe.compound:gly-gln_monohydrate	0	{}	[]
kgmicrobe.compound:glycerol_phosphate_disodium_salt_hydrate	0	{}	[]
kgmicrobe.compound:glycogen_from_bovine_liver	0	{}	[]
kgmicrobe.compound:gold_iii_chloride_hydrate	0	{}	[]
kgmicrobe.compound:gramicidin	0	{}	[]
kgmicrobe.compound:griseolutein_a	0	{}	[]
kgmicrobe.compound:griseolutein_b	0	{}	[]
kgmicrobe.compound:guanidine_hydrochloride	0	{}	[]
kgmicrobe.compound:hitachimycin	1	"{""metatraits"": 1}"	"[{""object"": ""kgmicrobe.compound:hitachimycin"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:159449""}]"
kgmicrobe.compound:hyaluronic_acid_sodium_salt_from_streptococcus_equi	0	{}	[]
kgmicrobe.compound:hydro_methylpteroylglutamylglutamic_acid	0	{}	[]
kgmicrobe.compound:hymecromone_methyl_ether	0	{}	[]
kgmicrobe.compound:k2hpo4_x_3_h2o	0	{}	[]
kgmicrobe.compound:kanchanomycin	0	{}	[]
kgmicrobe.compound:ketomycin	0	{}	[]
kgmicrobe.compound:l-alanine_4-nitroanilide	6	"{""metatraits"": 5, ""metatraits_gtdb"": 1}"	"[{""object"": ""kgmicrobe.compound:l-alanine_4-nitroanilide"", ""predicate"": ""METPO:2000014"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:2044856""}, {""object"": ""kgmicrobe.compound:l-alanine_4-nitroanilide"", ""predicate"": ""METPO:2000002"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:2315688""}, {""object"": ""kgmicrobe.compound:l-alanine_4-nitroanilide"", ""predicate"": ""METPO:2000027"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:1892856""}]"
kgmicrobe.compound:l-aspartic_acid_potassium_salt	0	{}	[]
kgmicrobe.compound:l-aspartic_acid_sodium_salt_monohydrate	0	{}	[]
kgmicrobe.compound:l-cysteic_acid_monohydrate	0	{}	[]
kgmicrobe.compound:l-glutamic_acid_monopotassium_salt_monohydrate	0	{}	[]
kgmicrobe.compound:l-malic_acid_disodium_salt_monohydrate	0	{}	[]
kgmicrobe.compound:l-meta-tyrosine	0	{}	[]
kgmicrobe.compound:l-rhamnose_monohydrate	0	{}	[]
kgmicrobe.compound:l-~3b1-phosphatidylinositol_from_glycine_max_~28soybean~29	0	{}	[]
kgmicrobe.compound:lacto-n-fucopentaose_i	0	{}	[]
kgmicrobe.compound:lacto-n-fucopentaose_iii	0	{}	[]
kgmicrobe.compound:lacto-n-tetraose	0	{}	[]
kgmicrobe.compound:lactose	0	{}	[]
kgmicrobe.compound:lanthanum_iii_chloride	0	{}	[]
kgmicrobe.compound:lanthanum_~28iii~29_chloride	0	{}	[]
kgmicrobe.compound:levorin	1	"{""metatraits"": 1}"	"[{""object"": ""kgmicrobe.compound:levorin"", ""predicate"": ""METPO:2000202"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:67317""}]"
kgmicrobe.compound:lichenan_icelandic_moss	0	{}	[]
kgmicrobe.compound:limocrocin	0	{}	[]
kgmicrobe.compound:lithium_chloride_hydrate	0	{}	[]
kgmicrobe.compound:magnesium_nitrate_hexahydrate	0	{}	[]
kgmicrobe.compound:maltotriose_hydrate	0	{}	[]
kgmicrobe.compound:mannan_from_saccharomyces_cerevisiae	0	{}	[]
kgmicrobe.compound:mannitol	0	{}	[]
kgmicrobe.compound:menthol	0	{}	[]
kgmicrobe.compound:mes_hydrat	0	{}	[]
kgmicrobe.compound:methyl-trans-p-coumarate	0	{}	[]
kgmicrobe.compound:methyl_ferulate	0	{}	[]
kgmicrobe.compound:methylxanthoxylin	0	{}	[]
kgmicrobe.compound:mgcl2_x_7_h2o	0	{}	[]
kgmicrobe.compound:minimycin	0	{}	[]
kgmicrobe.compound:mycobacidin	0	{}	[]
kgmicrobe.compound:n_acetyl_glutamic_acid	0	{}	[]
kgmicrobe.compound:na-ascorbate	0	{}	[]
kgmicrobe.compound:na2glycerophosphate5h2o	0	{}	[]
kgmicrobe.compound:na2hpo4_x_12_h2o	0	{}	[]
kgmicrobe.compound:na2hpo4_x_2_h2o	0	{}	[]
