proposed_id	kind	label_proposed	label_release	n_diffs	diffs
METPO:1007074	class	metal tolerance	metal tolerance	2	DEFINITION: proposed='A phenotypic quality describing the ability to grow in the presence of elevated metal concentrations.' | release='A phenotype characterized by the ability to grow in the presence of elevated metal concentrations.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:1007076	class	capsule presence	capsule presence	3	DEFINITION: proposed='A phenotypic quality describing the presence of an extracellular polysaccharide capsule.' | release='A phenotype characterized by the presence of an extracellular polysaccharide capsule.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059'] ;; XREFS: proposed_only=['GO:0042597'] | release_only=[]
METPO:1007077	class	biofilm formation capability	biofilm formation capability	3	DEFINITION: proposed='A phenotypic capability describing the ability to form surface-attached biofilms.' | release='A phenotype characterized by the ability to form surface-attached biofilms.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059'] ;; XREFS: proposed_only=['GO:0042710'] | release_only=[]
METPO:1007080	class	catalase test	catalase test	1	PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:1007083	class	catalase positive	catalase positive	1	XREFS: proposed_only=['GO:0004096'] | release_only=[]
METPO:1007081	class	oxidase test	oxidase test	1	PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:1007085	class	oxidase positive	oxidase positive	1	XREFS: proposed_only=['GO:0004129'] | release_only=[]
METPO:1007082	class	urease test	urease test	1	PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:1007087	class	urease positive	urease positive	1	XREFS: proposed_only=['GO:0009039'] | release_only=[]
METPO:1007089	class	coagulase activity	coagulase activity	2	DEFINITION: proposed='A phenotypic quality describing coagulase enzyme activity (clotting of blood plasma). Diagnostic marker, e.g. for Staphylococcus aureus.' | release='A phenotype characterized by coagulase enzyme activity (clotting of blood plasma); a diagnostic marker, e.g. for Staphylococcus aureus.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:1007092	class	xerophilic phenotype	xerophilic phenotype	2	DEFINITION: proposed='A phenotypic quality describing a microbe that thrives in low water-activity environments (typically aw < 0.85). Sibling concept of osmotic and metal tolerance; distinct from halophily and from osmotic tolerance because the limiting factor is water activity (aw) rather than solute concentration.' | release='A phenotype characterized by a microbe that thrives in low water-activity environments (typically aw < 0.85), where the limiting factor is water activity (aw) rather than solute concentration; distinct from halophily and osmotic tolerance.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:1007093	class	epibiont phenotype	epibiont phenotype	2	DEFINITION: proposed='A phenotypic quality describing a microbe that lives on the external surface of a host organism or substrate, as distinct from endosymbionts (which live inside the host). Captures host-association mode, not specific host taxonomy.' | release='A phenotype characterized by a microbe that lives on the external surface of a host organism or substrate, as distinct from endosymbionts (which live inside the host); captures host-association mode, not specific host taxonomy.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:2000067	property	isolated from host with quality	isolated from host with quality	1	RANGE: proposed=PATO:0000001 | release=METPO:1000188
METPO:2000068	property	isolated from environment with quality	isolated from environment with quality	2	"DEFINITION: proposed=""A relation between a microbe and a quality of the environment from which the microbe was isolated. Examples: a microbe isolated from an acidic environment has the relation `<microbe> METPO:2000068 PATO:0001429 'acidic'`; a microbe isolated from an anaerobic environment has `<microbe> METPO:2000068 PATO:0001456 'anaerobic'`. The relation does not by itself entail that the microbe is acidophilic, anaerobic, etc. as a phenotype — it only records the environment's quality at the time of isolation. Microbe phenotype assertions belong on a separate edge (e.g. METPO:1000615 acidophilic via has_phenotype)."" | release=""A relation between a microbe and a quality of the environment from which the microbe was isolated. Examples: a microbe isolated from an acidic environment has the relation `<microbe> METPO:2000068 PATO:0001429 'acidic'`; a microbe isolated from an anaerobic environment has `<microbe> METPO:2000068 PATO:0001456 'anaerobic'`. The relation does not by itself entail that the microbe is acidophilic, anaerobic, etc. as a phenotype; it only records the environment's quality at the time of isolation. Microbe phenotype assertions belong on a separate edge (e.g. METPO:1000615 acidophilic via has_phenotype)."" ;; RANGE: proposed=PATO:0000001 | release=METPO:1000188"
METPO:1007084	class	catalase negative	catalase negative	0	
METPO:1007086	class	oxidase negative	oxidase negative	0	
METPO:1007088	class	urease negative	urease negative	0	
METPO:1007090	class	coagulase positive	coagulase positive	0	
METPO:1007091	class	coagulase negative	coagulase negative	0	
METPO:2000064	property	tolerates	tolerates	0	
METPO:2000065	property	does not tolerate	does not tolerate	0	
